#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CON,2017-04-01 00:00,-71.5011,43.1953,M,M,M,80.00,6.00,0.01,30.08,M,1.25,M,FEW,BKN,OVC,M,1100.00,1699.00,2300.00,M,-SN BR,KCON 010000Z AUTO 08006KT 1 1/2SM -SN BR FEW011 BKN016 OVC023 A3008 RMK P0001 MADISHF
CON,2017-04-01 00:05,-71.5011,43.1953,M,M,M,80.00,6.00,0.01,30.08,M,1.25,M,FEW,BKN,OVC,M,1100.00,1999.00,2400.00,M,-SN BR,KCON 010005Z AUTO 08006KT 1 1/2SM -SN BR FEW011 BKN019 OVC024 A3008 RMK P0001 MADISHF
CON,2017-04-01 00:10,-71.5011,43.1953,M,M,M,70.00,9.00,0.02,30.07,M,1.25,M,BKN,OVC,M,M,1999.00,2600.00,M,M,-SN BR,KCON 010010Z AUTO 07009KT 1 1/2SM -SN BR BKN019 OVC026 A3007 RMK P0002 MADISHF
CON,2017-04-01 00:15,-71.5011,43.1953,M,M,M,70.00,6.00,0.02,30.07,M,1.25,M,BKN,OVC,M,M,1999.00,2600.00,M,M,-SN BR,KCON 010015Z AUTO 07006KT 1 1/2SM -SN BR BKN019 OVC026 A3007 RMK P0002 MADISHF
CON,2017-04-01 00:20,-71.5011,43.1953,M,M,M,70.00,6.00,0.02,30.07,M,1.25,M,BKN,OVC,M,M,1800.00,2500.00,M,M,-SN BR,KCON 010020Z AUTO 07006KT 1 1/2SM -SN BR BKN018 OVC025 A3007 RMK P0002 MADISHF
CON,2017-04-01 00:25,-71.5011,43.1953,M,M,M,70.00,6.00,0.03,30.07,M,1.25,M,BKN,OVC,M,M,1800.00,2500.00,M,M,-SN BR,KCON 010025Z AUTO 07006KT 1 1/2SM -SN BR BKN018 OVC025 A3007 RMK P0003 MADISHF
CON,2017-04-01 00:30,-71.5011,43.1953,M,M,M,70.00,6.00,0.03,30.07,M,1.25,M,BKN,OVC,M,M,1999.00,2500.00,M,M,-SN BR,KCON 010030Z AUTO 07006KT 1 1/2SM -SN BR BKN019 OVC025 A3007 RMK P0003 MADISHF
CON,2017-04-01 00:35,-71.5011,43.1953,M,M,M,70.00,4.00,0.03,30.07,M,1.25,M,OVC,M,M,M,1800.00,M,M,M,-SN BR,KCON 010035Z AUTO 07004KT 1 1/2SM -SN BR OVC018 A3007 RMK P0003 MADISHF
CON,2017-04-01 00:40,-71.5011,43.1953,M,M,M,70.00,5.00,0.04,30.07,M,1.00,M,VV ,M,M,M,1699.00,M,M,M,-SN BR,KCON 010040Z AUTO 07005KT 1SM -SN BR VV016 A3007 RMK P0004 MADISHF
CON,2017-04-01 00:45,-71.5011,43.1953,M,M,M,80.00,5.00,0.04,30.07,M,1.00,M,VV ,M,M,M,1500.00,M,M,M,-SN BR,KCON 010045Z AUTO 08005KT 1SM -SN BR VV015 A3007 RMK P0004 MADISHF
CON,2017-04-01 00:50,-71.5011,43.1953,M,M,M,80.00,3.00,0.05,30.07,M,0.75,M,FEW,OVC,M,M,999.00,1500.00,M,M,-SN BR,KCON 010050Z AUTO 08003KT 1SM -SN BR FEW009 OVC015 A3007 RMK P0005 MADISHF
CON,2017-04-01 00:51,-71.5011,43.1953,30.90,28.00,88.84,70.00,3.00,0.05,30.07,1018.80,0.75,M,FEW,OVC,M,M,1000.00,1500.00,M,M,-SN BR,KCON 010051Z AUTO 07003KT 3/4SM -SN BR FEW010 OVC015 M01/M02 A3007 RMK AO2 SLP188 P0005 T10061022
CON,2017-04-01 00:55,-71.5011,43.1953,M,M,M,60.00,3.00,0.01,30.07,M,0.75,M,VV ,M,M,M,1500.00,M,M,M,-SN BR,KCON 010055Z AUTO 06003KT 1SM -SN BR VV015 A3007 RMK P0001 MADISHF
CON,2017-04-01 00:57,-71.5011,43.1953,30.90,28.00,88.84,0.00,0.00,0.01,30.07,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KCON 010057Z AUTO 00000KT 1SM -SN BR VV013 M01/M02 A3007 RMK AO2 P0001 T10061022
CON,2017-04-01 01:00,-71.5011,43.1953,M,M,M,0.00,0.00,0.01,30.07,M,1.00,M,FEW,OVC,M,M,999.00,1400.00,M,M,-SN BR,KCON 010100Z AUTO 00000KT 1SM -SN BR FEW009 OVC014 A3007 RMK P0001 MADISHF
CON,2017-04-01 01:05,-71.5011,43.1953,M,M,M,80.00,4.00,0.02,30.07,M,1.00,M,VV ,M,M,M,1200.00,M,M,M,-SN BR,KCON 010105Z AUTO 08004KT 1SM -SN BR VV012 A3007 RMK P0002 MADISHF
CON,2017-04-01 01:10,-71.5011,43.1953,M,M,M,60.00,4.00,0.02,30.07,M,0.75,M,VV ,M,M,M,1200.00,M,M,M,-SN BR,KCON 010110Z AUTO 06004KT 1SM -SN BR VV012 A3007 RMK P0002 MADISHF
