#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
COS,2017-04-01 00:00,-104.7008,38.8058,M,M,M,90.00,10.00,M,29.92,M,1.75,M,BKN,OVC,M,M,700.00,1200.00,M,M,-RA BR,KCOS 010000Z AUTO 09010KT 2SM -RA BR BKN007 OVC012 A2992 RMK MADISHF
COS,2017-04-01 00:05,-104.7008,38.8058,M,M,M,100.00,10.00,M,29.92,M,1.75,M,BKN,OVC,M,M,700.00,999.00,M,M,-RA BR,KCOS 010005Z AUTO 10010KT 2SM -RA BR BKN007 OVC009 A2992 RMK MADISHF
COS,2017-04-01 00:10,-104.7008,38.8058,M,M,M,M,M,M,29.92,M,1.75,M,OVC,M,M,M,600.00,M,M,M,-RA BR,KCOS 010010Z AUTO /////KT 2SM -RA BR OVC006 A2992 RMK MADISHF
COS,2017-04-01 00:15,-104.7008,38.8058,M,M,M,90.00,10.00,M,29.92,M,1.75,M,BKN,OVC,M,M,600.00,999.00,M,M,-RA BR,KCOS 010015Z AUTO 09010KT 2SM -RA BR BKN006 OVC009 A2992 RMK MADISHF
COS,2017-04-01 00:20,-104.7008,38.8058,M,M,M,90.00,9.00,M,29.92,M,1.50,M,BKN,OVC,M,M,600.00,999.00,M,M,-DZ BR,KCOS 010020Z AUTO 09009KT 1 1/2SM -DZ BR BKN006 OVC009 A2992 RMK MADISHF
COS,2017-04-01 00:25,-104.7008,38.8058,M,M,M,100.00,9.00,M,29.92,M,1.50,M,BKN,OVC,M,M,600.00,999.00,M,M,-DZ BR,KCOS 010025Z AUTO 10009KT 1 1/2SM -DZ BR BKN006 OVC009 A2992 RMK MADISHF
COS,2017-04-01 00:30,-104.7008,38.8058,M,M,M,80.00,9.00,M,29.92,M,1.50,M,BKN,OVC,M,M,600.00,999.00,M,M,-DZ BR,KCOS 010030Z AUTO 08009KT 1 1/2SM -DZ BR BKN006 OVC009 A2992 RMK MADISHF
COS,2017-04-01 00:35,-104.7008,38.8058,M,M,M,70.00,11.00,M,29.93,M,1.50,M,BKN,OVC,M,M,600.00,999.00,M,M,-DZ BR,KCOS 010035Z AUTO 07011KT 1 1/2SM -DZ BR BKN006 OVC009 A2993 RMK MADISHF
COS,2017-04-01 00:40,-104.7008,38.8058,M,M,M,80.00,9.00,M,29.93,M,3.00,M,BKN,OVC,M,M,600.00,999.00,M,M,-DZ BR,KCOS 010040Z AUTO 08009KT 3SM -DZ BR BKN006 OVC009 A2993 RMK MADISHF
COS,2017-04-01 00:45,-104.7008,38.8058,M,M,M,60.00,10.00,M,29.92,M,5.00,M,BKN,OVC,M,M,600.00,999.00,M,M,BR,KCOS 010045Z AUTO 06010KT 5SM BR BKN006 OVC009 A2992 RMK MADISHF
