#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CPC,2017-04-01 00:00,-78.7146,34.2753,74.30,54.10,49.31,230.00,4.00,0.00,29.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010000Z AUTO 23004KT 10SM CLR 24/12 A2967 RMK AO2 T02350123
CPC,2017-04-01 00:20,-78.7146,34.2753,74.10,54.10,49.64,220.00,5.00,0.00,29.68,M,10.00,M,SCT,BKN,M,M,7000.00,9000.00,M,M,M,KCPC 010020Z AUTO 22005KT 10SM SCT070 BKN090 23/12 A2968 RMK AO2 T02340123
CPC,2017-04-01 00:40,-78.7146,34.2753,73.40,54.50,51.57,260.00,4.00,0.00,29.69,M,10.00,M,SCT,BKN,M,M,7000.00,9000.00,M,M,M,KCPC 010040Z AUTO 26004KT 10SM SCT070 BKN090 23/13 A2969 RMK AO2 T02300125
CPC,2017-04-01 01:00,-78.7146,34.2753,72.30,55.00,54.51,260.00,4.00,0.00,29.71,M,10.00,M,SCT,SCT,M,M,7000.00,8000.00,M,M,M,KCPC 010100Z AUTO 26004KT 10SM SCT070 SCT080 22/13 A2971 RMK AO2 T02240128
CPC,2017-04-01 01:20,-78.7146,34.2753,73.80,50.90,44.58,270.00,6.00,0.00,29.72,M,10.00,M,SCT,BKN,M,M,7000.00,8000.00,M,M,M,KCPC 010120Z AUTO 27006KT 10SM SCT070 BKN080 23/11 A2972 RMK AO2 T02320105
CPC,2017-04-01 01:40,-78.7146,34.2753,72.70,49.10,43.26,260.00,5.00,0.00,29.73,M,10.00,M,SCT,SCT,M,M,7000.00,8000.00,M,M,M,KCPC 010140Z AUTO 26005KT 10SM SCT070 SCT080 23/10 A2973 RMK AO2 T02260095
CPC,2017-04-01 02:00,-78.7146,34.2753,71.60,49.10,44.90,250.00,4.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010200Z AUTO 25004KT 10SM CLR 22/10 A2975 RMK AO2 T02200095
CPC,2017-04-01 02:20,-78.7146,34.2753,70.00,48.90,47.06,250.00,3.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010220Z AUTO 25003KT 10SM CLR 21/09 A2975 RMK AO2 T02110094
CPC,2017-04-01 02:40,-78.7146,34.2753,69.60,47.80,45.78,260.00,5.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010240Z AUTO 26005KT 10SM CLR 21/09 A2976 RMK AO2 T02090088
CPC,2017-04-01 03:00,-78.7146,34.2753,69.10,47.50,46.05,270.00,5.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010300Z AUTO 27005KT 10SM CLR 21/09 A2977 RMK AO2 T02060086
CPC,2017-04-01 03:20,-78.7146,34.2753,68.70,47.50,46.69,260.00,4.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010320Z AUTO 26004KT 10SM CLR 20/09 A2978 RMK AO2 T02040086
CPC,2017-04-01 03:40,-78.7146,34.2753,67.80,47.50,48.15,290.00,5.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010340Z AUTO 29005KT 10SM CLR 20/09 A2979 RMK AO2 T01990086
CPC,2017-04-01 04:00,-78.7146,34.2753,65.70,48.60,53.97,0.00,0.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010400Z AUTO 00000KT 10SM CLR 19/09 A2980 RMK AO2 T01870092
CPC,2017-04-01 04:20,-78.7146,34.2753,64.40,48.70,56.68,0.00,0.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010420Z AUTO 00000KT 10SM CLR 18/09 A2980 RMK AO2 T01800093
CPC,2017-04-01 04:40,-78.7146,34.2753,63.90,48.20,56.61,0.00,0.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010440Z AUTO 00000KT 10SM CLR 18/09 A2981 RMK AO2 T01770090
CPC,2017-04-01 05:00,-78.7146,34.2753,62.80,48.20,58.84,0.00,0.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010500Z AUTO 00000KT 10SM CLR 17/09 A2981 RMK AO2 T01710090
CPC,2017-04-01 05:20,-78.7146,34.2753,62.40,47.50,58.13,300.00,3.00,0.00,29.82,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KCPC 010520Z AUTO 30003KT 10SM SCT110 17/09 A2982 RMK AO2 T01690086
CPC,2017-04-01 05:40,-78.7146,34.2753,62.60,46.00,54.54,0.00,0.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010540Z AUTO 00000KT 10SM CLR 17/08 A2982 RMK AO2 T01700078
CPC,2017-04-01 06:00,-78.7146,34.2753,62.20,45.00,53.26,0.00,0.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010600Z AUTO 00000KT 10SM CLR 17/07 A2982 RMK AO2 T01680072
CPC,2017-04-01 06:20,-78.7146,34.2753,61.20,44.80,54.76,0.00,0.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010620Z AUTO 00000KT 10SM CLR 16/07 A2982 RMK AO2 T01620071
CPC,2017-04-01 06:40,-78.7146,34.2753,59.70,45.70,59.76,0.00,0.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010640Z AUTO 00000KT 10SM CLR 15/08 A2983 RMK AO2 T01540076
CPC,2017-04-01 07:00,-78.7146,34.2753,58.60,46.00,62.87,0.00,0.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010700Z AUTO 00000KT 10SM CLR 15/08 A2982 RMK AO2 T01480078
CPC,2017-04-01 07:20,-78.7146,34.2753,57.40,46.20,66.14,0.00,0.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010720Z AUTO 00000KT 10SM CLR 14/08 A2983 RMK AO2 T01410079
CPC,2017-04-01 07:40,-78.7146,34.2753,55.80,46.90,71.95,0.00,0.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010740Z AUTO 00000KT 10SM CLR 13/08 A2983 RMK AO2 T01320083
CPC,2017-04-01 08:00,-78.7146,34.2753,56.80,45.70,66.32,0.00,0.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010800Z AUTO 00000KT 10SM CLR 14/08 A2983 RMK AO2 T01380076
CPC,2017-04-01 08:20,-78.7146,34.2753,55.90,46.00,69.30,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010820Z AUTO 00000KT 10SM CLR 13/08 A2984 RMK AO2 T01330078
CPC,2017-04-01 08:40,-78.7146,34.2753,56.30,45.70,67.53,0.00,0.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010840Z AUTO 00000KT 10SM CLR 14/08 A2985 RMK AO2 T01350076
CPC,2017-04-01 09:00,-78.7146,34.2753,56.50,45.50,66.54,0.00,0.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010900Z AUTO 00000KT 10SM CLR 14/08 A2985 RMK AO2 T01360075
CPC,2017-04-01 09:20,-78.7146,34.2753,55.90,45.50,68.00,280.00,3.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010920Z AUTO 28003KT 10SM CLR 13/08 A2986 RMK AO2 T01330075
CPC,2017-04-01 09:40,-78.7146,34.2753,55.80,45.70,68.76,0.00,0.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 010940Z AUTO 00000KT 10SM CLR 13/08 A2986 RMK AO2 T01320076
CPC,2017-04-01 10:00,-78.7146,34.2753,55.40,45.90,70.30,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 011000Z AUTO 00000KT 10SM CLR 13/08 A2987 RMK AO2 T01300077
CPC,2017-04-01 10:20,-78.7146,34.2753,55.90,45.10,66.97,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 011020Z AUTO 00000KT 10SM CLR 13/07 A2988 RMK AO2 T01330073
CPC,2017-04-01 10:40,-78.7146,34.2753,54.50,45.70,72.09,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 011040Z AUTO 00000KT 10SM CLR 13/08 A2988 RMK AO2 T01250076
CPC,2017-04-01 11:00,-78.7146,34.2753,54.30,45.50,72.07,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 011100Z AUTO 00000KT 10SM CLR 12/08 A2989 RMK AO2 T01240075
CPC,2017-04-01 11:20,-78.7146,34.2753,54.00,45.50,72.87,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPC 011120Z AUTO 00000KT 10SM CLR 12/08 A2990 RMK AO2 T01220075
