#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CPK,2017-04-01 00:15,-76.3207,36.6656,59.00,57.20,93.74,220.00,5.00,0.01,29.60,M,10.00,M,SCT,BKN,OVC,M,1100.00,10000.00,12000.00,M,-VCTSRA,KCPK 010015Z AUTO 22005KT 10SM -VCTSRA SCT011 BKN100 OVC120 15/14 A2960 RMK AO2 LTG DSNT ALQS P0001 T01500140
CPK,2017-04-01 00:35,-76.3207,36.6656,58.30,56.70,94.40,220.00,8.00,0.01,29.62,M,10.00,M,SCT,SCT,M,M,7000.00,11000.00,M,M,VCTS,KCPK 010035Z AUTO 22008KT 10SM VCTS SCT070 SCT110 15/14 A2962 RMK AO2 LTG DSNT E AND S P0001 T01460137
CPK,2017-04-01 00:55,-76.3207,36.6656,58.50,56.50,93.05,230.00,4.00,0.01,29.62,M,10.00,M,BKN,BKN,M,M,7000.00,8000.00,M,M,M,KCPK 010055Z AUTO 23004KT 10SM BKN070 BKN080 15/14 A2962 RMK AO2 LTG DSNT E THRU SW P0001 T01470136
CPK,2017-04-01 01:15,-76.3207,36.6656,58.30,56.70,94.40,210.00,6.00,0.00,29.63,M,10.00,M,SCT,OVC,M,M,1200.00,7000.00,M,M,M,KCPK 010115Z AUTO 21006KT 10SM SCT012 OVC070 15/14 A2963 RMK AO2 T01460137
CPK,2017-04-01 01:35,-76.3207,36.6656,58.50,56.80,94.07,250.00,4.00,0.00,29.63,M,10.00,M,SCT,BKN,OVC,M,1400.00,8000.00,9500.00,M,-RA,KCPK 010135Z AUTO 25004KT 10SM -RA SCT014 BKN080 OVC095 15/14 A2963 RMK AO2 LTG DSNT SE T01470138
CPK,2017-04-01 01:55,-76.3207,36.6656,58.10,56.80,95.43,190.00,4.00,0.00,29.64,M,10.00,M,SCT,BKN,OVC,M,4500.00,8000.00,11000.00,M,RA,KCPK 010155Z AUTO 19004KT 10SM RA SCT045 BKN080 OVC110 15/14 A2964 RMK AO2 LTG DSNT S T01450138
CPK,2017-04-01 02:15,-76.3207,36.6656,58.50,57.20,95.43,230.00,4.00,0.01,29.65,M,10.00,M,SCT,SCT,OVC,M,5500.00,8000.00,9000.00,M,-RA,KCPK 010215Z AUTO 23004KT 10SM -RA SCT055 SCT080 OVC090 15/14 A2965 RMK AO2 P0001 T01470140
CPK,2017-04-01 02:35,-76.3207,36.6656,58.50,57.40,96.12,230.00,5.00,0.01,29.66,M,10.00,M,SCT,BKN,OVC,M,2600.00,7000.00,10000.00,M,-DZ,KCPK 010235Z AUTO 23005KT 10SM -DZ SCT026 BKN070 OVC100 15/14 A2966 RMK AO2 P0001 T01470141
CPK,2017-04-01 02:55,-76.3207,36.6656,59.00,58.10,96.83,270.00,8.00,0.02,29.67,M,10.00,M,SCT,BKN,OVC,M,700.00,2500.00,7500.00,M,-RA,KCPK 010255Z AUTO 27008KT 10SM -RA SCT007 BKN025 OVC075 15/15 A2967 RMK AO2 LTG DSNT SE P0002 60003 T01500145
CPK,2017-04-01 03:15,-76.3207,36.6656,59.00,57.90,96.13,280.00,6.00,0.01,29.66,M,10.00,M,SCT,SCT,OVC,M,700.00,7500.00,9000.00,M,-RA,KCPK 010315Z AUTO 28006KT 10SM -RA SCT007 SCT075 OVC090 15/14 A2966 RMK AO2 P0001 T01500144
CPK,2017-04-01 03:35,-76.3207,36.6656,59.00,57.20,93.74,270.00,7.00,0.01,29.67,M,10.00,M,SCT,OVC,M,M,6000.00,9000.00,M,M,M,KCPK 010335Z AUTO 27007KT 10SM SCT060 OVC090 15/14 A2967 RMK AO2 P0001 T01500140
CPK,2017-04-01 03:55,-76.3207,36.6656,59.00,56.70,92.06,260.00,7.00,0.01,29.68,M,10.00,M,SCT,BKN,OVC,M,7000.00,8000.00,10000.00,M,M,KCPK 010355Z AUTO 26007KT 10SM SCT070 BKN080 OVC100 15/14 A2968 RMK AO2 P0001 T01500137
CPK,2017-04-01 04:15,-76.3207,36.6656,58.50,55.80,90.72,280.00,8.00,0.00,29.68,M,10.00,M,SCT,OVC,M,M,7000.00,10000.00,M,M,M,KCPK 010415Z AUTO 28008KT 10SM SCT070 OVC100 15/13 A2968 RMK AO2 T01470132
CPK,2017-04-01 04:35,-76.3207,36.6656,57.90,55.40,91.36,280.00,6.00,0.00,29.69,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KCPK 010435Z AUTO 28006KT 10SM OVC090 14/13 A2969 RMK AO2 T01440130
CPK,2017-04-01 04:55,-76.3207,36.6656,57.20,55.60,94.38,270.00,6.00,0.00,29.70,M,10.00,M,SCT,SCT,OVC,M,1200.00,8000.00,11000.00,M,M,KCPK 010455Z AUTO 27006KT 10SM SCT012 SCT080 OVC110 14/13 A2970 RMK AO2 T01400131
CPK,2017-04-01 05:15,-76.3207,36.6656,56.50,55.00,94.70,270.00,8.00,0.00,29.70,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,KCPK 010515Z AUTO 27008KT 10SM SCT100 14/13 A2970 RMK AO2 LTG DSNT SE T01360128
CPK,2017-04-01 05:35,-76.3207,36.6656,56.10,54.30,93.66,270.00,7.00,0.00,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPK 010535Z AUTO 27007KT 10SM CLR 13/12 A2970 RMK AO2 LTG DSNT SE T01340124
CPK,2017-04-01 05:55,-76.3207,36.6656,55.60,54.00,94.34,270.00,6.00,0.00,29.71,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,KCPK 010555Z AUTO 27006KT 10SM SCT050 13/12 A2971 RMK AO2 60004 T01310122 10160 20130
CPK,2017-04-01 06:15,-76.3207,36.6656,55.20,53.80,95.02,260.00,5.00,0.00,29.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPK 010615Z AUTO 26005KT 10SM CLR 13/12 A2971 RMK AO2 LTG DSNT SE T01290121
CPK,2017-04-01 06:35,-76.3207,36.6656,54.70,53.60,96.06,270.00,5.00,0.00,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPK 010635Z AUTO 27005KT 10SM CLR 13/12 A2970 RMK AO2 T01260120
CPK,2017-04-01 06:55,-76.3207,36.6656,54.00,53.10,96.76,260.00,5.00,0.00,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPK 010655Z AUTO 26005KT 10SM CLR 12/12 A2970 RMK AO2 T01220117
CPK,2017-04-01 07:15,-76.3207,36.6656,54.50,52.70,93.62,260.00,8.00,0.00,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPK 010715Z AUTO 26008KT 10SM CLR 13/12 A2970 RMK AO2 T01250115
CPK,2017-04-01 07:35,-76.3207,36.6656,54.30,52.00,91.91,250.00,6.00,0.00,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPK 010735Z AUTO 25006KT 10SM CLR 12/11 A2970 RMK AO2 T01240111
CPK,2017-04-01 07:55,-76.3207,36.6656,54.00,51.30,90.55,250.00,7.00,0.00,29.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCPK 010755Z AUTO 25007KT 10SM CLR 12/11 A2971 RMK AO2 T01220107
