#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CQC,2017-04-01 00:53,-105.6628,35.0028,45.00,26.10,47.23,320.00,6.00,0.00,29.77,1003.50,10.00,M,FEW,SCT,SCT,M,7500.00,9000.00,11000.00,M,M,KCQC 010053Z AUTO 32006KT 10SM FEW075 SCT090 SCT110 07/M03 A2977 RMK AO2 SLP035 T00721033
CQC,2017-04-01 01:53,-105.6628,35.0028,39.00,28.00,64.37,20.00,9.00,0.00,29.79,1005.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQC 010153Z AUTO 02009KT 10SM CLR 04/M02 A2979 RMK AO2 SLP054 T00391022
CQC,2017-04-01 02:53,-105.6628,35.0028,37.90,27.00,64.49,330.00,9.00,0.00,29.85,1006.30,10.00,M,FEW,FEW,M,M,2000.00,2800.00,M,M,M,KCQC 010253Z AUTO 33009KT 10SM FEW020 FEW028 03/M03 A2985 RMK AO2 SLP063 T00331028 53024
CQC,2017-04-01 03:08,-105.6628,35.0028,41.00,28.00,59.55,40.00,4.00,0.00,29.85,M,10.00,M,FEW,BKN,M,M,1400.00,2300.00,M,M,M,KCQC 010308Z AUTO 04004KT 10SM FEW014 BKN023 05/M02 A2985 RMK AO2 T00501022
CQC,2017-04-01 03:39,-105.6628,35.0028,37.90,24.10,57.18,360.00,4.00,0.00,29.85,M,10.00,M,FEW,SCT,M,M,1800.00,2500.00,M,M,M,KCQC 010339Z AUTO 36004KT 10SM FEW018 SCT025 03/M04 A2985 RMK AO2 T00331044
CQC,2017-04-01 03:53,-105.6628,35.0028,39.00,24.10,54.77,30.00,5.00,0.00,29.86,1005.70,10.00,M,BKN,BKN,M,M,1400.00,2100.00,M,M,M,KCQC 010353Z AUTO 03005KT 10SM BKN014 BKN021 04/M04 A2986 RMK AO2 SLP057 T00391044
CQC,2017-04-01 04:28,-105.6628,35.0028,39.00,35.10,85.76,80.00,7.00,0.00,29.87,M,10.00,M,BKN,BKN,M,M,1600.00,2200.00,M,M,M,KCQC 010428Z AUTO 08007KT 10SM BKN016 BKN022 04/02 A2987 RMK AO2 T00390017
CQC,2017-04-01 04:55,-105.6628,35.0028,39.00,36.00,88.87,80.00,8.00,0.00,29.88,M,10.00,M,FEW,BKN,OVC,M,700.00,1300.00,1700.00,M,M,KCQC 010455Z AUTO 08008KT 10SM FEW007 BKN013 OVC017 04/02 A2988 RMK AO2 T00390022
CQC,2017-04-01 05:12,-105.6628,35.0028,39.00,36.00,88.87,70.00,11.00,0.00,29.88,M,9.00,M,BKN,OVC,M,M,500.00,1000.00,M,M,-RA,KCQC 010512Z AUTO 07011KT 9SM -RA BKN005 OVC010 04/02 A2988 RMK AO2 RAB08 P0000 T00390022
CQC,2017-04-01 05:19,-105.6628,35.0028,39.00,36.00,88.87,90.00,17.00,0.00,29.87,M,10.00,20.00,BKN,BKN,OVC,M,400.00,1000.00,1700.00,M,-RA,KCQC 010519Z AUTO 09017G20KT 10SM -RA BKN004 BKN010 OVC017 04/02 A2987 RMK AO2 RAB08 CIG 003V008 P0000 T00390022
CQC,2017-04-01 05:53,-105.6628,35.0028,37.90,36.00,92.78,90.00,11.00,0.00,29.88,1006.30,10.00,M,OVC,M,M,M,400.00,M,M,M,M,KCQC 010553Z AUTO 09011KT 10SM OVC004 03/02 A2988 RMK AO2 RAB08E20 SLP063 P0000 60000 T00330022 10083 20017 52007
CQC,2017-04-01 06:35,-105.6628,35.0028,37.90,36.00,92.78,110.00,9.00,0.00,29.90,M,9.00,M,BKN,OVC,M,M,500.00,1000.00,M,M,-RA,KCQC 010635Z AUTO 11009KT 9SM -RA BKN005 OVC010 03/02 A2990 RMK AO2 RAB30 CIG 003V009 P0000 T00330022
CQC,2017-04-01 06:43,-105.6628,35.0028,37.90,36.00,92.78,100.00,14.00,0.00,29.89,M,10.00,M,BKN,OVC,M,M,300.00,900.00,M,M,M,KCQC 010643Z AUTO 10014KT 10SM BKN003 OVC009 03/02 A2989 RMK AO2 RAB30E43 CIG 002V007 P0000 T00330022
CQC,2017-04-01 06:53,-105.6628,35.0028,37.90,35.10,89.53,100.00,10.00,0.00,29.90,1006.50,10.00,M,BKN,OVC,M,M,400.00,900.00,M,M,M,KCQC 010653Z AUTO 10010KT 10SM BKN004 OVC009 03/02 A2990 RMK AO2 RAB30E43 CIG 002V006 SLP065 P0000 T00330017 401670017
CQC,2017-04-01 07:11,-105.6628,35.0028,37.00,35.10,92.76,90.00,12.00,0.00,29.90,M,1.75,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KCQC 010711Z AUTO 09012KT 1 3/4SM -RA BR OVC004 03/02 A2990 RMK AO2 RAB08 P0000 T00280017
CQC,2017-04-01 07:21,-105.6628,35.0028,37.00,36.00,96.13,90.00,13.00,0.00,29.91,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCQC 010721Z AUTO 09013KT 1/2SM -RA FG VV002 03/02 A2991 RMK AO2 RAB08 P0000 T00280022
CQC,2017-04-01 07:36,-105.6628,35.0028,36.00,35.10,96.49,90.00,17.00,0.00,29.91,M,0.25,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCQC 010736Z AUTO 09017KT 1/4SM -RA FG VV002 02/02 A2991 RMK AO2 RAB08 P0000 T00220017
