#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CQW,2017-04-01 00:15,-79.9570,34.7129,69.80,37.40,30.49,260.00,7.00,0.00,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQW 010015Z AUTO 26007KT 10SM CLR 21/03 A2972 RMK AO2
CQW,2017-04-01 00:35,-79.9570,34.7129,68.00,37.40,32.43,250.00,6.00,0.00,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQW 010035Z AUTO 25006KT 10SM CLR 20/03 A2973 RMK AO2
CQW,2017-04-01 00:55,-79.9570,34.7129,68.00,35.60,30.20,240.00,7.00,0.00,29.74,M,10.00,M,BKN,M,M,M,8000.00,M,M,M,M,KCQW 010055Z AUTO 24007KT 10SM BKN080 20/02 A2974 RMK AO2
CQW,2017-04-01 01:15,-79.9570,34.7129,68.00,37.40,32.43,240.00,5.00,0.00,29.75,M,10.00,M,BKN,M,M,M,8000.00,M,M,M,M,KCQW 010115Z AUTO 24005KT 10SM BKN080 20/03 A2975 RMK AO2
CQW,2017-04-01 01:35,-79.9570,34.7129,66.20,37.40,34.51,290.00,6.00,0.00,29.78,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,KCQW 010135Z AUTO 29006KT 10SM BKN070 19/03 A2978 RMK AO2
CQW,2017-04-01 01:55,-79.9570,34.7129,66.20,35.60,32.14,310.00,6.00,0.00,29.79,M,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,KCQW 010155Z AUTO 31006KT 10SM FEW070 19/02 A2979 RMK AO2
CQW,2017-04-01 02:15,-79.9570,34.7129,66.20,33.80,29.92,310.00,8.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQW 010215Z AUTO 31008KT 10SM CLR 19/01 A2980 RMK AO2
CQW,2017-04-01 02:35,-79.9570,34.7129,64.40,33.80,31.85,320.00,5.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQW 010235Z AUTO 32005KT 10SM CLR 18/01 A2981 RMK AO2
CQW,2017-04-01 02:55,-79.9570,34.7129,64.40,35.60,34.22,320.00,7.00,0.00,29.81,M,10.00,M,FEW,M,M,M,8000.00,M,M,M,M,KCQW 010255Z AUTO 32007KT 10SM FEW080 18/02 A2981 RMK AO2
CQW,2017-04-01 03:15,-79.9570,34.7129,64.40,33.80,31.85,310.00,7.00,0.00,29.82,M,10.00,M,FEW,M,M,M,8000.00,M,M,M,M,KCQW 010315Z AUTO 31007KT 10SM FEW080 18/01 A2982 RMK AO2
