#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CQX,2017-04-01 00:00,-69.9933,41.6875,M,M,M,100.00,11.00,0.01,30.07,M,7.00,M,SCT,BKN,OVC,M,1200.00,1699.00,3500.00,M,-RA,KCQX 010000Z AUTO 10011KT 7SM -RA SCT012 BKN016 OVC035 A3007 RMK P0001 MADISHF
CQX,2017-04-01 00:05,-69.9933,41.6875,M,M,M,100.00,10.00,0.02,30.07,M,8.00,M,SCT,BKN,OVC,M,1200.00,1699.00,3500.00,M,-RA,KCQX 010005Z AUTO 10010KT 8SM -RA SCT012 BKN016 OVC035 A3007 RMK P0002 MADISHF
CQX,2017-04-01 00:10,-69.9933,41.6875,M,M,M,90.00,11.00,0.02,30.06,M,8.00,16.00,SCT,BKN,OVC,M,1200.00,1999.00,4200.00,M,-RA,KCQX 010010Z AUTO 09011G16KT 8SM -RA SCT012 BKN019 OVC042 A3006 RMK P0002 MADISHF
CQX,2017-04-01 00:15,-69.9933,41.6875,M,M,M,100.00,12.00,0.02,30.06,M,7.00,M,FEW,BKN,OVC,M,1200.00,3399.00,4200.00,M,-RA,KCQX 010015Z AUTO 10012KT 7SM -RA FEW012 BKN033 OVC042 A3006 RMK P0002 MADISHF
CQX,2017-04-01 00:20,-69.9933,41.6875,37.00,35.10,92.76,100.00,10.00,0.03,30.06,M,6.00,20.00,SCT,SCT,OVC,M,1200.00,1700.00,3600.00,M,-RA BR,KCQX 010020Z AUTO 10010G20KT 6SM -RA BR SCT012 SCT017 OVC036 03/02 A3006 RMK AO2 P0003 T00280017
CQX,2017-04-01 00:25,-69.9933,41.6875,M,M,M,100.00,9.00,0.03,30.06,M,6.00,M,FEW,SCT,OVC,M,999.00,1400.00,3800.00,M,-RA BR,KCQX 010025Z AUTO 10009KT 6SM -RA BR FEW009 SCT014 OVC038 A3006 RMK P0003 MADISHF
CQX,2017-04-01 00:30,-69.9933,41.6875,M,M,M,110.00,12.00,0.04,30.06,M,6.00,M,FEW,SCT,OVC,M,999.00,1600.00,3800.00,M,-RA BR,KCQX 010030Z AUTO 11012KT 6SM -RA BR FEW009 SCT016 OVC038 A3006 RMK P0004 MADISHF
CQX,2017-04-01 00:35,-69.9933,41.6875,M,M,M,100.00,11.00,0.04,30.05,M,6.00,16.00,SCT,OVC,M,M,1200.00,3800.00,M,M,-RA BR,KCQX 010035Z AUTO 10011G16KT 6SM -RA BR SCT012 OVC038 A3005 RMK P0004 MADISHF
CQX,2017-04-01 00:40,-69.9933,41.6875,M,M,M,100.00,10.00,0.04,30.05,M,5.00,M,SCT,OVC,M,M,1200.00,3800.00,M,M,-RA BR,KCQX 010040Z AUTO 10010KT 5SM -RA BR SCT012 OVC038 A3005 RMK P0004 MADISHF
CQX,2017-04-01 00:45,-69.9933,41.6875,M,M,M,100.00,11.00,0.05,30.05,M,5.00,M,SCT,OVC,M,M,1200.00,3700.00,M,M,-RA BR,KCQX 010045Z AUTO 10011KT 5SM -RA BR SCT012 OVC037 A3005 RMK P0005 MADISHF
CQX,2017-04-01 00:50,-69.9933,41.6875,M,M,M,100.00,12.00,0.05,30.05,M,6.00,18.00,SCT,BKN,OVC,M,999.00,1600.00,3700.00,M,-RA BR,KCQX 010050Z AUTO 10012G18KT 6SM -RA BR SCT009 BKN016 OVC037 A3005 RMK P0005 MADISHF
CQX,2017-04-01 00:52,-69.9933,41.6875,37.00,35.10,92.76,110.00,14.00,0.06,30.05,1017.80,6.00,18.00,FEW,SCT,OVC,M,1000.00,1600.00,3700.00,M,-RA BR,KCQX 010052Z AUTO 11014G18KT 6SM -RA BR FEW010 SCT016 OVC037 03/02 A3005 RMK AO2 SLP178 P0006 T00280017
CQX,2017-04-01 00:55,-69.9933,41.6875,M,M,M,100.00,12.00,M,30.05,M,6.00,M,FEW,SCT,OVC,M,999.00,1600.00,3700.00,M,-RA BR,KCQX 010055Z AUTO 10012KT 6SM -RA BR FEW009 SCT016 OVC037 A3005 RMK MADISHF
CQX,2017-04-01 01:00,-69.9933,41.6875,M,M,M,110.00,14.00,0.01,30.05,M,6.00,M,FEW,SCT,OVC,M,1200.00,1699.00,3700.00,M,-RA BR,KCQX 010100Z AUTO 11014KT 6SM -RA BR FEW012 SCT016 OVC037 A3005 RMK P0001 MADISHF
