#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CRX,2017-04-01 00:15,-88.6035,34.9150,66.20,48.20,52.25,340.00,5.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010015Z AUTO 34005KT 10SM CLR 19/09 A2989 RMK AO2
CRX,2017-04-01 00:35,-88.6035,34.9150,66.20,46.40,48.83,10.00,4.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010035Z AUTO 01004KT 10SM CLR 19/08 A2989 RMK AO2
CRX,2017-04-01 00:55,-88.6035,34.9150,64.40,48.20,55.63,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010055Z AUTO 00000KT 10SM CLR 18/09 A2990 RMK AO2
CRX,2017-04-01 01:15,-88.6035,34.9150,62.60,48.20,59.26,0.00,0.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010115Z AUTO 00000KT 10SM CLR 17/09 A2991 RMK AO2
CRX,2017-04-01 01:35,-88.6035,34.9150,62.60,48.20,59.26,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010135Z AUTO 00000KT 10SM CLR 17/09 A2992 RMK AO2
CRX,2017-04-01 01:55,-88.6035,34.9150,60.80,48.20,63.15,330.00,4.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010155Z AUTO 33004KT 10SM CLR 16/09 A2994 RMK AO2
CRX,2017-04-01 02:15,-88.6035,34.9150,60.80,48.20,63.15,340.00,3.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010215Z AUTO 34003KT 10SM CLR 16/09 A2994 RMK AO2
CRX,2017-04-01 02:35,-88.6035,34.9150,60.80,48.20,63.15,350.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010235Z AUTO 35004KT 10SM CLR 16/09 A2995 RMK AO2
CRX,2017-04-01 02:55,-88.6035,34.9150,59.00,48.20,67.33,350.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010255Z AUTO 35004KT 10SM CLR 15/09 A2996 RMK AO2
CRX,2017-04-01 03:15,-88.6035,34.9150,59.00,48.20,67.33,10.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010315Z AUTO 01005KT 10SM CLR 15/09 A2997 RMK AO2
CRX,2017-04-01 03:35,-88.6035,34.9150,59.00,48.20,67.33,10.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010335Z AUTO 01005KT 10SM CLR 15/09 A2997 RMK AO2
CRX,2017-04-01 03:55,-88.6035,34.9150,57.20,48.20,71.83,20.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCRX 010355Z AUTO 02005KT 10SM CLR 14/09 A2997 RMK AO2
