#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CSM,2017-04-01 00:00,-99.2005,35.3398,M,M,M,40.00,18.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010000Z AUTO 04018KT 10SM CLR A2979 RMK MADISHF
CSM,2017-04-01 00:05,-99.2005,35.3398,M,M,M,40.00,18.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010005Z AUTO 04018KT 10SM CLR A2979 RMK MADISHF
CSM,2017-04-01 00:10,-99.2005,35.3398,M,M,M,40.00,20.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010010Z AUTO 04020KT 10SM CLR A2979 RMK MADISHF
CSM,2017-04-01 00:15,-99.2005,35.3398,M,M,M,40.00,18.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010015Z AUTO 04018KT 10SM CLR A2979 RMK MADISHF
CSM,2017-04-01 00:20,-99.2005,35.3398,M,M,M,40.00,16.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010020Z AUTO 04016KT 10SM CLR A2979 RMK MADISHF
CSM,2017-04-01 00:25,-99.2005,35.3398,M,M,M,50.00,20.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010025Z AUTO 05020KT 10SM CLR A2980 RMK MADISHF
CSM,2017-04-01 00:30,-99.2005,35.3398,M,M,M,40.00,19.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010030Z AUTO 04019KT 10SM CLR A2980 RMK MADISHF
CSM,2017-04-01 00:35,-99.2005,35.3398,M,M,M,40.00,17.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010035Z AUTO 04017KT 10SM CLR A2980 RMK MADISHF
CSM,2017-04-01 00:40,-99.2005,35.3398,M,M,M,40.00,19.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010040Z AUTO 04019KT 10SM CLR A2980 RMK MADISHF
CSM,2017-04-01 00:45,-99.2005,35.3398,M,M,M,40.00,16.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010045Z AUTO 04016KT 10SM CLR A2980 RMK MADISHF
CSM,2017-04-01 00:50,-99.2005,35.3398,M,M,M,40.00,15.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010050Z AUTO 04015KT 10SM CLR A2981 RMK MADISHF
CSM,2017-04-01 00:53,-99.2005,35.3398,55.90,46.90,71.69,40.00,17.00,0.00,29.81,1009.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010053Z 04017KT 10SM CLR 13/08 A2981 RMK AO2 SLP090 T01330083
CSM,2017-04-01 00:55,-99.2005,35.3398,M,M,M,40.00,17.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCSM 010055Z AUTO 04017KT 10SM CLR A2981 RMK MADISHF
