#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CTY,2017-04-01 00:15,-83.1047,29.6355,69.80,62.60,77.90,250.00,5.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010015Z AUTO 25005KT 10SM CLR 21/17 A2988 RMK AO2
CTY,2017-04-01 00:35,-83.1047,29.6355,69.80,62.60,77.90,230.00,5.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010035Z AUTO 23005KT 10SM CLR 21/17 A2989 RMK AO2
CTY,2017-04-01 00:55,-83.1047,29.6355,68.00,62.60,82.86,250.00,6.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010055Z AUTO 25006KT 10SM CLR 20/17 A2990 RMK AO2
CTY,2017-04-01 01:15,-83.1047,29.6355,68.00,62.60,82.86,240.00,5.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010115Z AUTO 24005KT 10SM CLR 20/17 A2990 RMK AO2
CTY,2017-04-01 01:35,-83.1047,29.6355,66.20,62.60,88.18,230.00,5.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010135Z AUTO 23005KT 10SM CLR 19/17 A2991 RMK AO2
CTY,2017-04-01 01:55,-83.1047,29.6355,64.40,62.60,93.88,210.00,5.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010155Z AUTO 21005KT 10SM CLR 18/17 A2992 RMK AO2
CTY,2017-04-01 02:15,-83.1047,29.6355,64.40,62.60,93.88,240.00,4.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010215Z AUTO 24004KT 10SM CLR 18/17 A2993 RMK AO2
CTY,2017-04-01 02:35,-83.1047,29.6355,64.40,62.60,93.88,210.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010235Z AUTO 21005KT 10SM CLR 18/17 A2993 RMK AO2
CTY,2017-04-01 02:55,-83.1047,29.6355,64.40,62.60,93.88,230.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010255Z AUTO 23005KT 10SM CLR 18/17 A2993 RMK AO2
CTY,2017-04-01 03:15,-83.1047,29.6355,64.40,62.60,93.88,240.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTY 010315Z AUTO 24005KT 10SM CLR 18/17 A2994 RMK AO2
