#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CTZ,2017-04-01 00:00,-78.3644,34.9756,73.00,56.50,56.21,240.00,3.00,0.00,29.65,M,10.00,M,SCT,M,M,M,8500.00,M,M,M,M,KCTZ 010000Z AUTO 24003KT 10SM SCT085 23/14 A2965 RMK AO2 T02280136
CTZ,2017-04-01 00:20,-78.3644,34.9756,72.00,56.70,58.56,240.00,7.00,0.00,29.67,M,10.00,M,SCT,SCT,M,M,7000.00,9000.00,M,M,M,KCTZ 010020Z AUTO 24007KT 10SM SCT070 SCT090 22/14 A2967 RMK AO2 T02220137
CTZ,2017-04-01 00:40,-78.3644,34.9756,73.40,54.90,52.33,250.00,9.00,0.00,29.68,M,10.00,M,SCT,SCT,M,M,7000.00,9000.00,M,M,M,KCTZ 010040Z AUTO 25009KT 10SM SCT070 SCT090 23/13 A2968 RMK AO2 T02300127
CTZ,2017-04-01 01:00,-78.3644,34.9756,72.90,53.10,49.83,260.00,8.00,0.00,29.69,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,KCTZ 010100Z AUTO 26008G14KT 10SM CLR 23/12 A2969 RMK AO2 T02270117
CTZ,2017-04-01 01:20,-78.3644,34.9756,72.00,54.00,53.09,320.00,11.00,0.00,29.71,M,10.00,19.00,SCT,SCT,M,M,7500.00,9500.00,M,M,M,KCTZ 010120Z AUTO 32011G19KT 10SM SCT075 SCT095 22/12 A2971 RMK AO2 T02220122
CTZ,2017-04-01 01:40,-78.3644,34.9756,68.90,55.40,62.09,310.00,8.00,0.00,29.73,M,10.00,14.00,SCT,M,M,M,7500.00,M,M,M,M,KCTZ 010140Z AUTO 31008G14KT 10SM SCT075 21/13 A2973 RMK AO2 T02050130
CTZ,2017-04-01 02:00,-78.3644,34.9756,67.80,54.70,62.86,310.00,6.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010200Z AUTO 31006KT 10SM CLR 20/13 A2975 RMK AO2 T01990126
CTZ,2017-04-01 02:20,-78.3644,34.9756,67.10,52.20,58.76,300.00,11.00,0.00,29.76,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,KCTZ 010220Z AUTO 30011G18KT 10SM CLR 20/11 A2976 RMK AO2 T01950112
CTZ,2017-04-01 02:40,-78.3644,34.9756,66.60,50.50,56.15,280.00,7.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010240Z AUTO 28007KT 10SM CLR 19/10 A2976 RMK AO2 T01920103
CTZ,2017-04-01 03:00,-78.3644,34.9756,65.50,48.70,54.55,290.00,6.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010300Z AUTO 29006KT 10SM CLR 19/09 A2977 RMK AO2 T01860093
CTZ,2017-04-01 03:20,-78.3644,34.9756,65.50,46.80,50.79,300.00,7.00,0.00,29.78,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,KCTZ 010320Z AUTO 30007G16KT 10SM CLR 19/08 A2978 RMK AO2 T01860082
CTZ,2017-04-01 03:40,-78.3644,34.9756,65.30,45.70,49.06,310.00,9.00,0.00,29.79,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,KCTZ 010340Z AUTO 31009G16KT 10SM CLR 19/08 A2979 RMK AO2 T01850076
CTZ,2017-04-01 04:00,-78.3644,34.9756,64.40,46.00,51.20,300.00,8.00,0.00,29.80,M,10.00,14.00,SCT,M,M,M,6500.00,M,M,M,M,KCTZ 010400Z AUTO 30008G14KT 10SM SCT065 18/08 A2980 RMK AO2 T01800078
CTZ,2017-04-01 04:20,-78.3644,34.9756,63.50,46.00,52.84,290.00,7.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010420Z AUTO 29007KT 230V330 10SM CLR 18/08 A2981 RMK AO2 T01750078
CTZ,2017-04-01 04:40,-78.3644,34.9756,62.80,46.00,54.16,290.00,5.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010440Z AUTO 29005KT 10SM CLR 17/08 A2981 RMK AO2 T01710078
CTZ,2017-04-01 05:00,-78.3644,34.9756,62.10,46.00,55.51,290.00,6.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010500Z AUTO 29006KT 10SM CLR 17/08 A2981 RMK AO2 T01670078
CTZ,2017-04-01 05:20,-78.3644,34.9756,61.70,45.90,56.09,280.00,6.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010520Z AUTO 28006KT 10SM CLR 17/08 A2982 RMK AO2 T01650077
CTZ,2017-04-01 05:40,-78.3644,34.9756,61.00,45.70,57.06,290.00,5.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010540Z AUTO 29005KT 10SM CLR 16/08 A2982 RMK AO2 T01610076
CTZ,2017-04-01 06:00,-78.3644,34.9756,60.40,45.70,58.29,280.00,4.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010600Z AUTO 28004KT 10SM CLR 16/08 A2982 RMK AO2 T01580076
CTZ,2017-04-01 06:20,-78.3644,34.9756,59.40,45.90,60.87,280.00,3.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010620Z AUTO 28003KT 10SM CLR 15/08 A2982 RMK AO2 T01520077
CTZ,2017-04-01 06:40,-78.3644,34.9756,58.80,45.90,62.19,290.00,4.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010640Z AUTO 29004KT 10SM CLR 15/08 A2982 RMK AO2 T01490077
CTZ,2017-04-01 07:00,-78.3644,34.9756,58.50,45.70,62.38,290.00,3.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010700Z AUTO 29003KT 10SM CLR 15/08 A2982 RMK AO2 T01470076
CTZ,2017-04-01 07:20,-78.3644,34.9756,58.10,45.50,62.81,290.00,3.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCTZ 010720Z AUTO 29003KT 10SM CLR 15/08 A2982 RMK AO2 T01450075
