#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CUT,2017-04-01 00:00,-103.6114,43.7331,M,M,M,70.00,6.00,M,M,M,10.00,M,FEW,FEW,OVC,M,1100.00,6000.00,7500.00,M,M,KCUT 010000Z AUTO 07006KT 10SM FEW011 FEW060 OVC075 RMK MADISHF
CUT,2017-04-01 00:05,-103.6114,43.7331,M,M,M,100.00,5.00,M,M,M,10.00,M,FEW,OVC,M,M,900.00,7500.00,M,M,M,KCUT 010005Z AUTO 10005KT 10SM FEW009 OVC075 RMK MADISHF
CUT,2017-04-01 00:08,-103.6114,43.7331,35.10,30.00,81.46,110.00,6.00,0.00,30.03,M,10.00,M,SCT,OVC,M,M,900.00,7500.00,M,M,M,KCUT 010008Z AUTO 11006KT 10SM SCT009 OVC075 02/M01 A3003 RMK AO2 T00171011
CUT,2017-04-01 00:10,-103.6114,43.7331,M,M,M,100.00,6.00,M,30.03,M,10.00,M,SCT,OVC,M,M,900.00,7500.00,M,M,M,KCUT 010010Z AUTO 10006KT 10SM SCT009 OVC075 A3003 RMK MADISHF
CUT,2017-04-01 00:15,-103.6114,43.7331,M,M,M,90.00,5.00,M,M,M,10.00,M,BKN,OVC,M,M,900.00,7500.00,M,M,M,KCUT 010015Z AUTO 09005KT 10SM BKN009 OVC075 RMK MADISHF
CUT,2017-04-01 00:20,-103.6114,43.7331,35.10,30.00,81.46,90.00,6.00,0.00,30.04,M,10.00,M,BKN,OVC,M,M,900.00,8000.00,M,M,M,KCUT 010020Z AUTO 09006KT 10SM BKN009 OVC080 02/M01 A3004 RMK AO2 T00171011
CUT,2017-04-01 00:25,-103.6114,43.7331,M,M,M,80.00,6.00,M,M,M,10.00,M,BKN,OVC,M,M,800.00,7999.00,M,M,M,KCUT 010025Z AUTO 08006KT 10SM BKN008 OVC079 RMK MADISHF
CUT,2017-04-01 00:30,-103.6114,43.7331,M,M,M,90.00,5.00,M,30.04,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KCUT 010030Z AUTO 09005KT 10SM OVC008 A3004 RMK MADISHF
CUT,2017-04-01 00:35,-103.6114,43.7331,M,M,M,90.00,6.00,M,M,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KCUT 010035Z AUTO 09006KT 10SM OVC008 RMK MADISHF
CUT,2017-04-01 00:40,-103.6114,43.7331,M,M,M,100.00,6.00,M,M,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KCUT 010040Z AUTO 10006KT 10SM OVC007 RMK MADISHF
CUT,2017-04-01 00:45,-103.6114,43.7331,M,M,M,100.00,6.00,M,M,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KCUT 010045Z AUTO 10006KT 10SM OVC007 RMK MADISHF
CUT,2017-04-01 00:50,-103.6114,43.7331,M,M,M,100.00,6.00,M,30.06,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KCUT 010050Z AUTO 10006KT 10SM OVC007 A3006 RMK MADISHF
CUT,2017-04-01 00:53,-103.6114,43.7331,34.00,30.00,85.11,100.00,5.00,0.00,30.06,1019.40,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KCUT 010053Z AUTO 10005KT 10SM OVC007 01/M01 A3006 RMK AO2 SLP194 T00111011
CUT,2017-04-01 00:55,-103.6114,43.7331,M,M,M,110.00,6.00,M,M,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KCUT 010055Z AUTO 11006KT 10SM OVC007 RMK MADISHF
CUT,2017-04-01 01:00,-103.6114,43.7331,M,M,M,120.00,6.00,M,M,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KCUT 010100Z AUTO 12006KT 10SM OVC006 RMK MADISHF
CUT,2017-04-01 01:05,-103.6114,43.7331,M,M,M,100.00,6.00,M,M,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KCUT 010105Z AUTO 10006KT 10SM OVC006 RMK MADISHF
