#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CVG,2017-04-01 00:00,-84.6717,39.0431,M,M,M,M,M,M,29.85,M,5.00,M,OVC,M,M,M,800.00,M,M,M,BR,KCVG 010000Z AUTO /////KT 5SM BR OVC008 A2985 RMK MADISHF
CVG,2017-04-01 00:05,-84.6717,39.0431,M,M,M,300.00,15.00,M,29.85,M,7.00,M,OVC,M,M,M,900.00,M,M,M,M,KCVG 010005Z AUTO 30015KT 7SM OVC009 A2985 RMK MADISHF
CVG,2017-04-01 00:10,-84.6717,39.0431,M,M,M,M,M,M,29.85,M,8.00,M,OVC,M,M,M,900.00,M,M,M,M,KCVG 010010Z AUTO /////KT 8SM OVC009 A2985 RMK MADISHF
CVG,2017-04-01 00:15,-84.6717,39.0431,M,M,M,M,M,M,29.86,M,8.00,20.00,BKN,OVC,M,M,800.00,1300.00,M,M,M,KCVG 010015Z AUTO /////G20KT 8SM BKN008 OVC013 A2986 RMK MADISHF
CVG,2017-04-01 00:16,-84.6717,39.0431,46.90,44.10,89.92,300.00,17.00,0.00,29.86,M,8.00,21.00,BKN,OVC,M,M,800.00,1300.00,M,M,M,KCVG 010016Z 30017G21KT 8SM BKN008 OVC013 08/07 A2986 RMK AO2 DZE00 P0000 T00830067
CVG,2017-04-01 00:20,-84.6717,39.0431,M,M,M,M,M,M,29.86,M,9.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,KCVG 010020Z AUTO /////KT 9SM BKN008 OVC013 A2986 RMK MADISHF
CVG,2017-04-01 00:25,-84.6717,39.0431,M,M,M,M,M,M,29.87,M,10.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,KCVG 010025Z AUTO /////KT 10SM BKN008 OVC013 A2987 RMK MADISHF
CVG,2017-04-01 00:30,-84.6717,39.0431,M,M,M,300.00,17.00,M,29.87,M,10.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,KCVG 010030Z AUTO 30017KT 10SM BKN008 OVC013 A2987 RMK MADISHF
CVG,2017-04-01 00:35,-84.6717,39.0431,M,M,M,M,M,M,29.87,M,9.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,KCVG 010035Z AUTO /////KT 9SM BKN008 OVC013 A2987 RMK MADISHF
CVG,2017-04-01 00:40,-84.6717,39.0431,M,M,M,300.00,14.00,M,29.88,M,9.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,KCVG 010040Z AUTO 30014KT 9SM BKN008 OVC013 A2988 RMK MADISHF
CVG,2017-04-01 00:45,-84.6717,39.0431,M,M,M,300.00,13.00,M,29.88,M,8.00,M,BKN,OVC,M,M,900.00,1500.00,M,M,M,KCVG 010045Z AUTO 30013KT 8SM BKN009 OVC015 A2988 RMK MADISHF
CVG,2017-04-01 00:50,-84.6717,39.0431,M,M,M,300.00,13.00,M,29.88,M,8.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,-DZ,KCVG 010050Z AUTO 30013KT 8SM -DZ BKN009 OVC014 A2988 RMK MADISHF
CVG,2017-04-01 00:52,-84.6717,39.0431,46.00,43.00,89.20,290.00,13.00,0.00,29.88,1011.80,8.00,M,OVC,M,M,M,800.00,M,M,M,-DZ,KCVG 010052Z 29013KT 8SM -DZ OVC008 08/06 A2988 RMK AO2 DZE00B47 SLP118 P0000 T00780061
CVG,2017-04-01 00:55,-84.6717,39.0431,M,M,M,290.00,12.00,M,29.89,M,8.00,M,OVC,M,M,M,900.00,M,M,M,-DZ,KCVG 010055Z AUTO 29012KT 8SM -DZ OVC009 A2989 RMK MADISHF
CVG,2017-04-01 01:00,-84.6717,39.0431,M,M,M,290.00,12.00,M,29.89,M,7.00,M,OVC,M,M,M,900.00,M,M,M,-DZ,KCVG 010100Z AUTO 29012KT 7SM -DZ OVC009 A2989 RMK MADISHF
CVG,2017-04-01 01:05,-84.6717,39.0431,M,M,M,290.00,13.00,M,29.89,M,7.00,M,OVC,M,M,M,900.00,M,M,M,-DZ,KCVG 010105Z AUTO 29013KT 7SM -DZ OVC009 A2989 RMK MADISHF
CVG,2017-04-01 01:10,-84.6717,39.0431,M,M,M,300.00,12.00,M,29.89,M,7.00,M,OVC,M,M,M,900.00,M,M,M,-DZ,KCVG 010110Z AUTO 30012KT 7SM -DZ OVC009 A2989 RMK MADISHF
CVG,2017-04-01 01:15,-84.6717,39.0431,M,M,M,300.00,14.00,M,29.89,M,8.00,M,OVC,M,M,M,900.00,M,M,M,-DZ,KCVG 010115Z AUTO 30014KT 8SM -DZ OVC009 A2989 RMK MADISHF
CVG,2017-04-01 01:20,-84.6717,39.0431,M,M,M,290.00,12.00,M,29.89,M,8.00,M,OVC,M,M,M,900.00,M,M,M,M,KCVG 010120Z AUTO 29012KT 8SM OVC009 A2989 RMK MADISHF
CVG,2017-04-01 01:25,-84.6717,39.0431,M,M,M,300.00,12.00,M,29.90,M,8.00,M,OVC,M,M,M,999.00,M,M,M,-DZ,KCVG 010125Z AUTO 30012KT 8SM -DZ OVC009 A2990 RMK MADISHF
CVG,2017-04-01 01:26,-84.6717,39.0431,45.00,42.10,89.49,290.00,11.00,0.00,29.90,M,8.00,M,OVC,M,M,M,1000.00,M,M,M,-DZ,KCVG 010126Z 29011KT 8SM -DZ OVC010 07/06 A2990 RMK AO2 P0000 T00720056
CVG,2017-04-01 01:30,-84.6717,39.0431,M,M,M,290.00,10.00,M,29.90,M,8.00,16.00,OVC,M,M,M,999.00,M,M,M,-DZ,KCVG 010130Z AUTO 29010G16KT 8SM -DZ OVC009 A2990 RMK MADISHF
CVG,2017-04-01 01:35,-84.6717,39.0431,M,M,M,300.00,13.00,M,29.90,M,8.00,M,OVC,M,M,M,999.00,M,M,M,-DZ,KCVG 010135Z AUTO 30013KT 8SM -DZ OVC009 A2990 RMK MADISHF
CVG,2017-04-01 01:40,-84.6717,39.0431,M,M,M,M,M,M,29.90,M,8.00,M,OVC,M,M,M,999.00,M,M,M,-DZ,KCVG 010140Z AUTO /////KT 8SM -DZ OVC009 A2990 RMK MADISHF
CVG,2017-04-01 01:45,-84.6717,39.0431,M,M,M,M,M,M,29.91,M,8.00,M,OVC,M,M,M,999.00,M,M,M,-DZ,KCVG 010145Z AUTO /////KT 8SM -DZ OVC009 A2991 RMK MADISHF
CVG,2017-04-01 01:50,-84.6717,39.0431,M,M,M,290.00,12.00,M,29.91,M,8.00,M,OVC,M,M,M,999.00,M,M,M,M,KCVG 010150Z AUTO 29012KT 8SM OVC009 A2991 RMK MADISHF
CVG,2017-04-01 01:52,-84.6717,39.0431,44.10,42.10,92.62,290.00,11.00,0.00,29.91,1012.80,8.00,M,OVC,M,M,M,900.00,M,M,M,M,KCVG 010152Z 29011KT 8SM OVC009 07/06 A2991 RMK AO2 DZE46 SLP128 P0000 T00670056
CVG,2017-04-01 01:55,-84.6717,39.0431,M,M,M,M,M,M,29.91,M,8.00,M,OVC,M,M,M,900.00,M,M,M,M,KCVG 010155Z AUTO /////KT 8SM OVC009 A2991 RMK MADISHF
CVG,2017-04-01 02:00,-84.6717,39.0431,M,M,M,M,M,M,29.92,M,8.00,M,OVC,M,M,M,900.00,M,M,M,M,KCVG 010200Z AUTO /////KT 8SM OVC009 A2992 RMK MADISHF
CVG,2017-04-01 02:05,-84.6717,39.0431,M,M,M,290.00,13.00,M,29.92,M,8.00,M,OVC,M,M,M,900.00,M,M,M,M,KCVG 010205Z AUTO 29013KT 8SM OVC009 A2992 RMK MADISHF
CVG,2017-04-01 02:10,-84.6717,39.0431,M,M,M,M,M,M,29.92,M,8.00,M,OVC,M,M,M,800.00,M,M,M,M,KCVG 010210Z AUTO /////KT 8SM OVC008 A2992 RMK MADISHF
CVG,2017-04-01 02:15,-84.6717,39.0431,M,M,M,310.00,12.00,M,29.92,M,8.00,M,OVC,M,M,M,800.00,M,M,M,M,KCVG 010215Z AUTO 31012KT 8SM OVC008 A2992 RMK MADISHF
CVG,2017-04-01 02:20,-84.6717,39.0431,M,M,M,310.00,10.00,M,29.92,M,8.00,M,OVC,M,M,M,800.00,M,M,M,M,KCVG 010220Z AUTO 31010KT 8SM OVC008 A2992 RMK MADISHF
CVG,2017-04-01 02:25,-84.6717,39.0431,M,M,M,300.00,10.00,M,29.92,M,8.00,M,OVC,M,M,M,800.00,M,M,M,M,KCVG 010225Z AUTO 30010KT 8SM OVC008 A2992 RMK MADISHF
CVG,2017-04-01 02:30,-84.6717,39.0431,M,M,M,290.00,12.00,M,29.92,M,7.00,M,OVC,M,M,M,800.00,M,M,M,M,KCVG 010230Z AUTO 29012KT 7SM OVC008 A2992 RMK MADISHF
CVG,2017-04-01 02:35,-84.6717,39.0431,M,M,M,290.00,10.00,M,29.92,M,7.00,M,OVC,M,M,M,800.00,M,M,M,M,KCVG 010235Z AUTO 29010KT 7SM OVC008 A2992 RMK MADISHF
CVG,2017-04-01 02:40,-84.6717,39.0431,M,M,M,M,M,M,29.92,M,8.00,M,OVC,M,M,M,700.00,M,M,M,M,KCVG 010240Z AUTO /////KT 8SM OVC007 A2992 RMK MADISHF
CVG,2017-04-01 02:45,-84.6717,39.0431,M,M,M,300.00,12.00,M,29.92,M,8.00,M,OVC,M,M,M,700.00,M,M,M,M,KCVG 010245Z AUTO 30012KT 8SM OVC007 A2992 RMK MADISHF
CVG,2017-04-01 02:50,-84.6717,39.0431,M,M,M,300.00,12.00,M,29.92,M,8.00,M,OVC,M,M,M,700.00,M,M,M,M,KCVG 010250Z AUTO 30012KT 8SM OVC007 A2992 RMK MADISHF
CVG,2017-04-01 02:52,-84.6717,39.0431,44.10,41.00,88.77,300.00,11.00,0.00,29.92,1013.30,8.00,M,OVC,M,M,M,700.00,M,M,M,M,KCVG 010252Z 30011KT 8SM OVC007 07/05 A2992 RMK AO2 SLP133 60000 T00670050 51026
CVG,2017-04-01 02:55,-84.6717,39.0431,M,M,M,310.00,11.00,M,29.93,M,8.00,M,OVC,M,M,M,700.00,M,M,M,M,KCVG 010255Z AUTO 31011KT 8SM OVC007 A2993 RMK MADISHF
