#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CVO,2017-04-01 00:00,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010000Z AUTO 00000KT 10SM CLR A3029 RMK MADISHF
CVO,2017-04-01 00:05,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010005Z AUTO 00000KT 10SM CLR A3030 RMK MADISHF
CVO,2017-04-01 00:10,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010010Z AUTO 00000KT 10SM CLR A3030 RMK MADISHF
CVO,2017-04-01 00:15,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010015Z AUTO 00000KT 10SM CLR A3030 RMK MADISHF
CVO,2017-04-01 00:20,-123.2895,44.4971,M,M,M,40.00,3.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010020Z AUTO 04003KT 10SM CLR A3030 RMK MADISHF
CVO,2017-04-01 00:25,-123.2895,44.4971,M,M,M,50.00,3.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010025Z AUTO 05003KT 10SM CLR A3029 RMK MADISHF
CVO,2017-04-01 00:30,-123.2895,44.4971,M,M,M,50.00,3.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010030Z AUTO 05003KT 10SM CLR A3029 RMK MADISHF
CVO,2017-04-01 00:35,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010035Z AUTO 00000KT 10SM CLR A3029 RMK MADISHF
CVO,2017-04-01 00:40,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010040Z AUTO 00000KT 10SM CLR A3029 RMK MADISHF
CVO,2017-04-01 00:45,-123.2895,44.4971,M,M,M,90.00,3.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010045Z AUTO 09003KT 10SM CLR A3028 RMK MADISHF
CVO,2017-04-01 00:50,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010050Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
CVO,2017-04-01 00:55,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010055Z AUTO 00000KT 10SM CLR A3028 RMK MADISHF
CVO,2017-04-01 01:00,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010100Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:05,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010105Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:10,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010110Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:15,-123.2895,44.4971,M,M,M,40.00,3.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010115Z AUTO 04003KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:20,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010120Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:25,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010125Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:30,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010130Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:35,-123.2895,44.4971,M,M,M,60.00,3.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010135Z AUTO 06003KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:40,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010140Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:45,-123.2895,44.4971,M,M,M,30.00,3.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010145Z AUTO 03003KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:50,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010150Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
CVO,2017-04-01 01:55,-123.2895,44.4971,M,M,M,0.00,0.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCVO 010155Z AUTO 00000KT 10SM CLR A3027 RMK MADISHF
