#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CVS,2017-04-01 00:58,-103.3222,34.3828,61.30,51.80,70.93,60.00,18.00,0.00,29.61,999.80,10.00,29.00,FEW,M,M,M,16000.00,M,M,M,M,KCVS 010058Z AUTO 06018G29KT 10SM FEW160 16/11 A2961 RMK AO2 PK WND 05033/44 SLP998 T01630110 $
CVS,2017-04-01 01:58,-103.3222,34.3828,59.00,52.30,78.41,60.00,22.00,0.00,29.67,1001.90,10.00,32.00,CLR,M,M,M,M,M,M,M,M,KCVS 010158Z AUTO 06022G32KT 10SM CLR 15/11 A2967 RMK AO2 PK WND 06032/43 PRESRR SLP019 T01500113 $
CVS,2017-04-01 02:58,-103.3222,34.3828,56.50,55.00,94.70,20.00,19.00,0.00,29.73,1003.40,10.00,26.00,SCT,M,M,M,2200.00,M,M,M,M,KCVS 010258Z AUTO 02019G26KT 10SM SCT022 14/13 A2973 RMK AO2 PK WND 04029/01 PRESRR SLP034 T01360128 52046 $
CVS,2017-04-01 03:03,-103.3222,34.3828,57.20,53.60,87.74,20.00,22.00,0.00,29.73,M,10.00,27.00,BKN,M,M,M,2200.00,M,M,M,M,KCVS 010303Z AUTO 02022G27KT 10SM BKN022 14/12 A2973 RMK AO2 BKN V SCT
CVS,2017-04-01 03:33,-103.3222,34.3828,50.00,50.00,100.00,10.00,22.00,0.00,29.75,M,10.00,M,SCT,M,M,M,2100.00,M,M,M,M,KCVS 010333Z AUTO 01022KT 10SM SCT021 10/10 A2975 RMK AO2
CVS,2017-04-01 03:58,-103.3222,34.3828,49.80,49.80,100.00,10.00,21.00,0.00,29.75,1004.10,10.00,25.00,CLR,M,M,M,M,M,M,M,M,KCVS 010358Z AUTO 01021G25KT 10SM CLR 10/10 A2975 RMK AO2 PK WND 03029/34 SLP041 T00990099 $
CVS,2017-04-01 04:18,-103.3222,34.3828,48.20,48.20,100.00,20.00,23.00,0.00,29.77,M,10.00,32.00,BKN,M,M,M,2200.00,M,M,M,M,KCVS 010418Z AUTO 02023G32KT 10SM BKN022 09/09 A2977 RMK AO2 BKN V SCT
CVS,2017-04-01 04:28,-103.3222,34.3828,48.20,48.20,100.00,30.00,17.00,0.00,29.78,M,10.00,30.00,SCT,M,M,M,2200.00,M,M,M,M,KCVS 010428Z AUTO 03017G30KT 10SM SCT022 09/09 A2978 RMK AO2
CVS,2017-04-01 04:43,-103.3222,34.3828,48.20,48.20,100.00,20.00,22.00,0.00,29.77,M,10.00,27.00,SCT,BKN,M,M,800.00,2200.00,M,M,M,KCVS 010443Z AUTO 02022G27KT 10SM SCT008 BKN022 09/09 A2977 RMK AO2 BKN V SCT
CVS,2017-04-01 04:47,-103.3222,34.3828,48.20,48.20,100.00,20.00,20.00,0.00,29.78,M,10.00,27.00,BKN,M,M,M,700.00,M,M,M,M,KCVS 010447Z AUTO 02020G27KT 10SM BKN007 09/09 A2978 RMK AO2 CIG 007V024
