#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CWN,2017-04-01 00:58,-104.8500,38.7500,31.80,32.00,100.81,0.00,0.00,0.05,29.88,1004.00,0.12,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCWN 010058Z AUTO 00000KT 1/8SM -RA FG VV002 00/00 A2988 RMK AO2 LTG DSNT W SHRAB09E15RAB15 SLP040 P0005 T10010000 $
CWN,2017-04-01 01:48,-104.8500,38.7500,32.00,32.00,100.00,0.00,0.00,0.00,29.90,M,0.25,M,VV ,M,M,M,500.00,M,M,M,SN,KCWN 010148Z AUTO 00000KT 1/4SM SN VV005 00/00 A2990 RMK AO2 RAE17SNB17 $
CWN,2017-04-01 01:58,-104.8500,38.7500,30.90,31.30,101.63,360.00,6.00,0.04,29.89,1004.90,0.25,M,VV ,M,M,M,500.00,M,M,M,SN FG,KCWN 010158Z AUTO 36006KT 1/4SM SN FG VV005 M01/00 A2989 RMK AO2 RAE17SNB17 SLP049 P0004 T10061004 $
CWN,2017-04-01 02:08,-104.8500,38.7500,32.00,32.00,100.00,360.00,10.00,0.00,29.89,M,0.88,M,BKN,OVC,M,M,300.00,1700.00,M,M,-RASN,KCWN 010208Z AUTO 36010KT 7/8SM -RASN BKN003 OVC017 00/00 A2989 RMK AO2 VIS 1/4V7/8 SNE0159 CIG 003V005 $
CWN,2017-04-01 02:58,-104.8500,38.7500,30.70,30.90,100.81,0.00,0.00,0.03,29.94,1006.70,0.19,M,VV ,M,M,M,200.00,M,M,M,SN,KCWN 010258Z AUTO 00000KT 3/16SM SN VV002 M01/M01 A2994 RMK AO2 SNE0159RAB44E51SNB51 PRESRR SLP067 P0003 60002 T10071006 52021 $
CWN,2017-04-01 03:58,-104.8500,38.7500,30.40,30.60,100.82,120.00,3.00,0.05,29.97,1007.70,0.19,M,VV ,M,M,M,300.00,M,M,M,SN,KCWN 010358Z AUTO 12003KT 3/16SM SN VV003 M01/M01 A2997 RMK AO2 SNE18SNB32 SLP077 P0005 T10091008 $
CWN,2017-04-01 04:43,-104.8500,38.7500,30.20,30.20,100.00,0.00,0.00,0.00,29.99,M,0.50,M,VV ,M,M,M,600.00,M,M,M,+SN,KCWN 010443Z AUTO 00000KT 1/2SM +SN VV006 M01/M01 A2999 RMK AO2 CIG 004V006 $
CWN,2017-04-01 04:58,-104.8500,38.7500,29.70,29.80,100.41,20.00,3.00,0.05,29.99,1008.50,0.31,M,VV ,M,M,M,400.00,M,M,M,SN,KCWN 010458Z AUTO 02003KT 5/16SM SN VV004 M01/M01 A2999 RMK AO2 CIG 004V006 SLP085 P0005 T10131012 $
CWN,2017-04-01 05:03,-104.8500,38.7500,30.20,30.20,100.00,50.00,4.00,0.00,29.98,M,0.31,M,VV ,M,M,M,500.00,M,M,M,SN,KCWN 010503Z AUTO 05004KT 5/16SM SN VV005 M01/M01 A2998 RMK AO2 $
CWN,2017-04-01 05:08,-104.8500,38.7500,30.20,30.20,100.00,20.00,5.00,0.00,29.98,M,0.38,M,VV ,M,M,M,400.00,M,M,M,SN,KCWN 010508Z AUTO 02005KT 3/8SM SN VV004 M01/M01 A2998 RMK AO2 $
