#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CXW,2017-04-01 00:15,-92.5551,35.0199,68.00,51.80,56.13,30.00,5.00,0.00,29.86,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010015Z AUTO 03005KT 10SM 20/11 A2986 RMK A01
CXW,2017-04-01 00:35,-92.5551,35.0199,66.20,55.40,68.15,30.00,4.00,0.00,29.86,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010035Z AUTO 03004KT 10SM 19/13 A2986 RMK A01
CXW,2017-04-01 00:55,-92.5551,35.0199,64.40,55.40,72.56,70.00,3.00,0.00,29.87,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010055Z AUTO 07003KT 10SM 18/13 A2987 RMK A01
CXW,2017-04-01 01:15,-92.5551,35.0199,62.60,55.40,77.29,80.00,5.00,0.00,29.88,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010115Z AUTO 08005KT 10SM 17/13 A2988 RMK A01
CXW,2017-04-01 01:35,-92.5551,35.0199,62.60,53.60,72.38,60.00,4.00,0.00,29.88,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010135Z AUTO 06004KT 10SM 17/12 A2988 RMK A01
CXW,2017-04-01 01:55,-92.5551,35.0199,62.60,51.80,67.75,50.00,4.00,0.00,29.89,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010155Z AUTO 05004KT 10SM 17/11 A2989 RMK A01
CXW,2017-04-01 02:15,-92.5551,35.0199,59.00,51.80,76.98,50.00,5.00,0.00,29.90,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010215Z AUTO 05005KT 10SM 15/11 A2990 RMK A01
CXW,2017-04-01 02:35,-92.5551,35.0199,60.80,50.00,67.54,60.00,3.00,0.00,29.91,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010235Z AUTO 06003KT 10SM 16/10 A2991 RMK A01
CXW,2017-04-01 02:55,-92.5551,35.0199,60.80,50.00,67.54,30.00,5.00,0.00,29.91,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010255Z AUTO 03005KT 10SM 16/10 A2991 RMK A01
CXW,2017-04-01 03:15,-92.5551,35.0199,59.00,50.00,72.01,30.00,7.00,0.00,29.92,M,10.00,M,M,M,M,M,M,M,M,M,M,KCXW 010315Z AUTO 03007KT 10SM 15/10 A2992 RMK A01
