#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
D07,2017-04-01 00:56,-102.0200,45.0300,45.00,34.00,65.13,200.00,4.00,0.00,30.11,1022.00,M,M,M,M,M,M,M,M,M,M,M,KD07 010056Z AUTO 20004KT 07/01 A3011 RMK AO1 SLP220 T00720011
D07,2017-04-01 01:56,-102.0200,45.0300,44.10,35.10,70.43,290.00,3.00,0.00,30.13,1022.30,M,M,M,M,M,M,M,M,M,M,M,KD07 010156Z AUTO 29003KT 07/02 A3013 RMK AO1 SLP223 T00670017
D07,2017-04-01 02:56,-102.0200,45.0300,43.00,36.00,76.12,280.00,6.00,0.00,30.15,1022.80,M,M,M,M,M,M,M,M,M,M,M,KD07 010256Z AUTO 28006KT 06/02 A3015 RMK AO1 SLP228 T00610022 51019
D07,2017-04-01 03:56,-102.0200,45.0300,41.00,36.00,82.22,250.00,5.00,0.00,30.16,1023.30,M,M,M,M,M,M,M,M,M,M,M,KD07 010356Z AUTO 25005KT 05/02 A3016 RMK AO1 SLP233 T00500022
D07,2017-04-01 04:56,-102.0200,45.0300,37.90,35.10,89.53,260.00,5.00,0.00,30.17,1023.60,M,M,M,M,M,M,M,M,M,M,M,KD07 010456Z AUTO 26005KT 03/02 A3017 RMK AO1 SLP236 T00330017
D07,2017-04-01 05:56,-102.0200,45.0300,37.90,35.10,89.53,260.00,6.00,0.00,30.17,1023.80,M,M,M,M,M,M,M,M,M,M,M,KD07 010556Z AUTO 26006KT 03/02 A3017 RMK AO1 SLP238 T00330017 10094 20033 51008
D07,2017-04-01 06:56,-102.0200,45.0300,37.90,34.00,85.69,250.00,5.00,0.00,30.18,1023.80,M,M,M,M,M,M,M,M,M,M,M,KD07 010656Z AUTO 25005KT 03/01 A3018 RMK AO1 SLP238 T00330011 401001017
D07,2017-04-01 07:56,-102.0200,45.0300,37.00,34.00,88.78,270.00,5.00,0.00,30.18,1023.90,M,M,M,M,M,M,M,M,M,M,M,KD07 010756Z AUTO 27005KT 03/01 A3018 RMK AO1 SLP239 T00280011
D07,2017-04-01 08:56,-102.0200,45.0300,34.00,32.00,92.29,300.00,7.00,0.00,30.19,1024.40,M,M,M,M,M,M,M,M,M,M,M,KD07 010856Z AUTO 30007KT 01/00 A3019 RMK AO1 SLP244 T00110000 53005
D07,2017-04-01 09:56,-102.0200,45.0300,34.00,32.00,92.29,260.00,3.00,0.00,30.19,1024.10,M,M,M,M,M,M,M,M,M,M,M,KD07 010956Z AUTO 26003KT 01/00 A3019 RMK AO1 SLP241 T00110000
D07,2017-04-01 10:56,-102.0200,45.0300,34.00,32.00,92.29,230.00,5.00,0.00,30.19,1024.10,M,M,M,M,M,M,M,M,M,M,M,KD07 011056Z AUTO 23005KT 01/00 A3019 RMK AO1 SLP241 T00110000
D07,2017-04-01 11:56,-102.0200,45.0300,36.00,33.10,89.09,260.00,3.00,0.00,30.18,1023.90,M,M,M,M,M,M,M,M,M,M,M,KD07 011156Z AUTO 26003KT 02/01 A3018 RMK AO1 SLP239 T00220006 10039 20006 56002
D07,2017-04-01 12:56,-102.0200,45.0300,35.10,32.00,88.33,290.00,3.00,0.00,30.19,1024.50,M,M,M,M,M,M,M,M,M,M,M,KD07 011256Z AUTO 29003KT 02/00 A3019 RMK AO1 SLP245 T00170000
D07,2017-04-01 13:56,-102.0200,45.0300,39.90,36.00,85.81,290.00,3.00,0.00,30.21,1024.90,M,M,M,M,M,M,M,M,M,M,M,KD07 011356Z AUTO 29003KT 04/02 A3021 RMK AO1 SLP249 T00440022
D07,2017-04-01 14:56,-102.0200,45.0300,45.00,39.00,79.36,220.00,7.00,0.00,30.19,1024.20,M,M,M,M,M,M,M,M,M,M,M,KD07 011456Z AUTO 22007KT 07/04 A3019 RMK AO1 SLP242 T00720039 50003
D07,2017-04-01 15:56,-102.0200,45.0300,48.90,37.90,65.62,210.00,10.00,0.00,30.19,1023.80,M,M,M,M,M,M,M,M,M,M,M,KD07 011556Z AUTO 21010KT 09/03 A3019 RMK AO1 SLP238 T00940033
D07,2017-04-01 16:56,-102.0200,45.0300,51.10,37.90,60.46,180.00,12.00,0.00,30.17,1023.30,M,19.00,M,M,M,M,M,M,M,M,M,KD07 011656Z AUTO 18012G19KT 11/03 A3017 RMK AO1 SLP233 T01060033
