#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DAB,2017-04-01 00:00,-81.0581,29.1799,M,M,M,260.00,13.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010000Z AUTO 26013KT 10SM CLR A2984 RMK MADISHF
DAB,2017-04-01 00:05,-81.0581,29.1799,M,M,M,260.00,15.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010005Z AUTO 26015KT 10SM CLR A2984 RMK MADISHF
DAB,2017-04-01 00:10,-81.0581,29.1799,M,M,M,260.00,12.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010010Z AUTO 26012KT 10SM CLR A2984 RMK MADISHF
DAB,2017-04-01 00:15,-81.0581,29.1799,M,M,M,260.00,11.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010015Z AUTO 26011KT 10SM CLR A2984 RMK MADISHF
DAB,2017-04-01 00:20,-81.0581,29.1799,M,M,M,260.00,9.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010020Z AUTO 26009KT 10SM CLR A2985 RMK MADISHF
DAB,2017-04-01 00:25,-81.0581,29.1799,M,M,M,260.00,11.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010025Z AUTO 26011KT 10SM CLR A2985 RMK MADISHF
DAB,2017-04-01 00:30,-81.0581,29.1799,M,M,M,260.00,12.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010030Z AUTO 26012KT 10SM CLR A2985 RMK MADISHF
DAB,2017-04-01 00:35,-81.0581,29.1799,M,M,M,260.00,13.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010035Z AUTO 26013KT 10SM CLR A2985 RMK MADISHF
DAB,2017-04-01 00:40,-81.0581,29.1799,M,M,M,260.00,10.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010040Z AUTO 26010KT 10SM CLR A2985 RMK MADISHF
DAB,2017-04-01 00:45,-81.0581,29.1799,M,M,M,260.00,11.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010045Z AUTO 26011KT 10SM CLR A2986 RMK MADISHF
DAB,2017-04-01 00:50,-81.0581,29.1799,M,M,M,260.00,14.00,M,29.86,M,10.00,M,M,M,M,M,M,M,M,M,M,KDAB 010050Z AUTO 26014KT 10SM A2986 RMK MADISHF
DAB,2017-04-01 00:53,-81.0581,29.1799,75.90,64.90,68.73,260.00,12.00,0.00,29.86,1011.10,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,KDAB 010053Z 26012KT 10SM SCT250 24/18 A2986 RMK AO2 SLP111 T02440183
DAB,2017-04-01 00:55,-81.0581,29.1799,M,M,M,260.00,11.00,M,29.86,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,KDAB 010055Z AUTO 26011G17KT 10SM CLR A2986 RMK MADISHF
DAB,2017-04-01 01:00,-81.0581,29.1799,M,M,M,260.00,11.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010100Z AUTO 26011KT 10SM CLR A2986 RMK MADISHF
DAB,2017-04-01 01:05,-81.0581,29.1799,M,M,M,250.00,11.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010105Z AUTO 25011KT 10SM CLR A2987 RMK MADISHF
DAB,2017-04-01 01:10,-81.0581,29.1799,M,M,M,260.00,13.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010110Z AUTO 26013KT 10SM CLR A2987 RMK MADISHF
DAB,2017-04-01 01:15,-81.0581,29.1799,M,M,M,260.00,11.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010115Z AUTO 26011KT 10SM CLR A2987 RMK MADISHF
DAB,2017-04-01 01:20,-81.0581,29.1799,M,M,M,260.00,12.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010120Z AUTO 26012KT 10SM CLR A2987 RMK MADISHF
DAB,2017-04-01 01:25,-81.0581,29.1799,M,M,M,260.00,12.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010125Z AUTO 26012KT 10SM CLR A2987 RMK MADISHF
DAB,2017-04-01 01:30,-81.0581,29.1799,M,M,M,250.00,12.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010130Z AUTO 25012KT 10SM CLR A2988 RMK MADISHF
DAB,2017-04-01 01:35,-81.0581,29.1799,M,M,M,250.00,12.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010135Z AUTO 25012KT 10SM CLR A2988 RMK MADISHF
DAB,2017-04-01 01:40,-81.0581,29.1799,M,M,M,260.00,12.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010140Z AUTO 26012KT 10SM CLR A2989 RMK MADISHF
DAB,2017-04-01 01:45,-81.0581,29.1799,M,M,M,250.00,12.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010145Z AUTO 25012KT 10SM CLR A2989 RMK MADISHF
DAB,2017-04-01 01:50,-81.0581,29.1799,M,M,M,250.00,9.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010150Z AUTO 25009KT 10SM CLR A2989 RMK MADISHF
DAB,2017-04-01 01:53,-81.0581,29.1799,73.00,64.90,75.75,250.00,10.00,0.00,29.89,1012.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010153Z 25010KT 10SM CLR 23/18 A2989 RMK AO2 SLP121 T02280183
DAB,2017-04-01 01:55,-81.0581,29.1799,M,M,M,260.00,10.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010155Z AUTO 26010KT 10SM CLR A2989 RMK MADISHF
DAB,2017-04-01 02:00,-81.0581,29.1799,M,M,M,260.00,8.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010200Z AUTO 26008KT 10SM CLR A2989 RMK MADISHF
DAB,2017-04-01 02:05,-81.0581,29.1799,M,M,M,250.00,9.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010205Z AUTO 25009KT 10SM CLR A2989 RMK MADISHF
DAB,2017-04-01 02:10,-81.0581,29.1799,M,M,M,250.00,9.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010210Z AUTO 25009KT 10SM CLR A2989 RMK MADISHF
DAB,2017-04-01 02:15,-81.0581,29.1799,M,M,M,250.00,9.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010215Z AUTO 25009KT 10SM CLR A2990 RMK MADISHF
DAB,2017-04-01 02:20,-81.0581,29.1799,M,M,M,250.00,8.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010220Z AUTO 25008KT 10SM CLR A2990 RMK MADISHF
DAB,2017-04-01 02:25,-81.0581,29.1799,M,M,M,260.00,9.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010225Z AUTO 26009KT 10SM CLR A2990 RMK MADISHF
DAB,2017-04-01 02:30,-81.0581,29.1799,M,M,M,260.00,8.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010230Z AUTO 26008KT 10SM CLR A2991 RMK MADISHF
DAB,2017-04-01 02:35,-81.0581,29.1799,M,M,M,260.00,8.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010235Z AUTO 26008KT 10SM CLR A2991 RMK MADISHF
DAB,2017-04-01 02:40,-81.0581,29.1799,M,M,M,270.00,7.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010240Z AUTO 27007KT 10SM CLR A2991 RMK MADISHF
DAB,2017-04-01 02:45,-81.0581,29.1799,M,M,M,260.00,6.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010245Z AUTO 26006KT 10SM CLR A2991 RMK MADISHF
DAB,2017-04-01 02:50,-81.0581,29.1799,M,M,M,260.00,6.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010250Z AUTO 26006KT 10SM CLR A2992 RMK MADISHF
DAB,2017-04-01 02:53,-81.0581,29.1799,70.00,64.90,83.86,260.00,8.00,0.00,29.92,1013.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010253Z 26008KT 10SM CLR 21/18 A2992 RMK AO2 SLP130 T02110183 53028
DAB,2017-04-01 02:55,-81.0581,29.1799,M,M,M,260.00,7.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010255Z AUTO 26007KT 10SM CLR A2992 RMK MADISHF
DAB,2017-04-01 03:00,-81.0581,29.1799,M,M,M,250.00,8.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010300Z AUTO 25008KT 10SM CLR A2992 RMK MADISHF
DAB,2017-04-01 03:05,-81.0581,29.1799,M,M,M,260.00,7.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010305Z AUTO 26007KT 10SM CLR A2992 RMK MADISHF
DAB,2017-04-01 03:10,-81.0581,29.1799,M,M,M,260.00,7.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010310Z AUTO 26007KT 10SM CLR A2992 RMK MADISHF
DAB,2017-04-01 03:15,-81.0581,29.1799,M,M,M,260.00,6.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAB 010315Z AUTO 26006KT 10SM CLR A2992 RMK MADISHF
