#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DAN,2017-04-01 00:00,-79.3361,36.5729,M,M,M,290.00,9.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010000Z AUTO 29009KT 10SM CLR A2969 RMK MADISHF
DAN,2017-04-01 00:05,-79.3361,36.5729,M,M,M,290.00,10.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010005Z AUTO 29010KT 10SM CLR A2969 RMK MADISHF
DAN,2017-04-01 00:10,-79.3361,36.5729,M,M,M,290.00,10.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010010Z AUTO 29010KT 10SM CLR A2969 RMK MADISHF
DAN,2017-04-01 00:15,-79.3361,36.5729,M,M,M,290.00,8.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010015Z AUTO 29008KT 10SM CLR A2969 RMK MADISHF
DAN,2017-04-01 00:20,-79.3361,36.5729,M,M,M,290.00,9.00,M,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010020Z AUTO 29009KT 10SM CLR A2970 RMK MADISHF
DAN,2017-04-01 00:25,-79.3361,36.5729,M,M,M,290.00,9.00,M,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010025Z AUTO 29009KT 10SM CLR A2970 RMK MADISHF
DAN,2017-04-01 00:30,-79.3361,36.5729,M,M,M,290.00,8.00,M,29.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010030Z AUTO 29008KT 10SM CLR A2971 RMK MADISHF
DAN,2017-04-01 00:35,-79.3361,36.5729,M,M,M,300.00,7.00,M,29.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010035Z AUTO 30007KT 10SM CLR A2971 RMK MADISHF
DAN,2017-04-01 00:40,-79.3361,36.5729,M,M,M,290.00,7.00,M,29.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010040Z AUTO 29007KT 10SM CLR A2971 RMK MADISHF
DAN,2017-04-01 00:45,-79.3361,36.5729,M,M,M,290.00,7.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDAN 010045Z AUTO 29007KT 10SM CLR A2972 RMK MADISHF
