#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DCY,2017-04-01 00:15,-87.1297,38.7004,43.70,41.00,90.13,M,M,0.00,29.96,M,7.00,M,OVC,M,M,M,1400.00,M,M,M,M,KDCY 010015Z AUTO 7SM OVC014 07/05 A2996 RMK AO2 T00650050
DCY,2017-04-01 00:35,-87.1297,38.7004,43.50,41.00,90.83,M,M,0.00,29.96,M,7.00,M,OVC,M,M,M,1100.00,M,M,M,M,KDCY 010035Z AUTO 7SM OVC011 06/05 A2996 RMK AO2 T00640050
DCY,2017-04-01 00:55,-87.1297,38.7004,43.50,41.00,90.83,M,M,0.00,29.97,M,10.00,M,SCT,OVC,M,M,900.00,1400.00,M,M,M,KDCY 010055Z AUTO 10SM SCT009 OVC014 06/05 A2997 RMK AO2 T00640050
DCY,2017-04-01 01:15,-87.1297,38.7004,43.30,41.00,91.52,M,M,0.00,29.97,M,10.00,M,SCT,OVC,M,M,1000.00,1500.00,M,M,M,KDCY 010115Z AUTO 10SM SCT010 OVC015 06/05 A2997 RMK AO2 T00630050
DCY,2017-04-01 01:35,-87.1297,38.7004,43.30,40.30,89.07,M,M,0.00,29.98,M,10.00,M,SCT,BKN,OVC,M,1000.00,1700.00,2700.00,M,M,KDCY 010135Z AUTO 10SM SCT010 BKN017 OVC027 06/05 A2998 RMK AO2 T00630046
DCY,2017-04-01 01:55,-87.1297,38.7004,43.30,40.30,89.07,M,M,0.00,29.99,M,10.00,M,SCT,BKN,OVC,M,1000.00,2200.00,3300.00,M,M,KDCY 010155Z AUTO 10SM SCT010 BKN022 OVC033 06/05 A2999 RMK AO2 T00630046
DCY,2017-04-01 02:15,-87.1297,38.7004,43.30,39.90,87.70,M,M,0.00,30.00,M,10.00,M,BKN,OVC,M,M,1200.00,2200.00,M,M,M,KDCY 010215Z AUTO 10SM BKN012 OVC022 06/04 A3000 RMK AO2 T00630044
DCY,2017-04-01 02:35,-87.1297,38.7004,43.20,40.10,88.72,M,M,0.00,30.01,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KDCY 010235Z AUTO 10SM OVC012 06/05 A3001 RMK AO2 T00620045
DCY,2017-04-01 02:55,-87.1297,38.7004,43.20,40.30,89.42,M,M,0.00,30.02,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KDCY 010255Z AUTO 10SM OVC012 06/05 A3002 RMK AO2 T00620046
DCY,2017-04-01 03:15,-87.1297,38.7004,43.20,39.90,88.04,M,M,0.00,30.02,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KDCY 010315Z AUTO 10SM OVC012 06/04 A3002 RMK AO2 T00620044
DCY,2017-04-01 03:35,-87.1297,38.7004,43.20,40.10,88.72,M,M,0.00,30.03,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,-DZ,KDCY 010335Z AUTO 10SM -DZ OVC012 06/05 A3003 RMK AO2 T00620045
DCY,2017-04-01 03:55,-87.1297,38.7004,43.20,40.30,89.42,M,M,0.00,30.03,M,10.00,M,BKN,OVC,M,M,1000.00,2500.00,M,M,M,KDCY 010355Z AUTO 10SM BKN010 OVC025 06/05 A3003 RMK AO2 T00620046
