#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DDH,2017-04-01 00:00,-73.2461,42.8912,M,M,M,M,M,0.01,29.88,M,4.00,18.00,FEW,BKN,OVC,M,2300.00,3500.00,4400.00,M,RA,KDDH 010000Z AUTO /////G18KT 4SM RA FEW023 BKN035 OVC044 A2988 RMK P0001 MADISHF
DDH,2017-04-01 00:05,-73.2461,42.8912,M,M,M,110.00,10.00,0.02,29.87,M,4.00,15.00,FEW,BKN,OVC,M,2300.00,3500.00,4600.00,M,RA,KDDH 010005Z AUTO 11010G15KT 4SM RA FEW023 BKN035 OVC046 A2987 RMK P0002 MADISHF
DDH,2017-04-01 00:10,-73.2461,42.8912,M,M,M,110.00,7.00,0.03,29.87,M,4.00,M,FEW,BKN,OVC,M,2300.00,3500.00,4400.00,M,RA,KDDH 010010Z AUTO 11007KT 4SM RA FEW023 BKN035 OVC044 A2987 RMK P0003 MADISHF
DDH,2017-04-01 00:15,-73.2461,42.8912,M,M,M,M,M,0.04,29.87,M,4.00,M,FEW,SCT,OVC,M,2300.00,3300.00,4300.00,M,RA,KDDH 010015Z AUTO /////KT 4SM RA FEW023 SCT033 OVC043 A2987 RMK P0004 MADISHF
DDH,2017-04-01 00:20,-73.2461,42.8912,M,M,M,100.00,7.00,0.04,29.86,M,5.00,M,FEW,BKN,OVC,M,2300.00,3500.00,4500.00,M,-RA,KDDH 010020Z AUTO 10007KT 5SM -RA FEW023 BKN035 OVC045 A2986 RMK P0004 WND 07V15  MADISHF
DDH,2017-04-01 00:25,-73.2461,42.8912,M,M,M,110.00,12.00,0.04,29.86,M,5.00,M,FEW,BKN,OVC,M,2300.00,3500.00,5000.00,M,-RA,KDDH 010025Z AUTO 11012KT 5SM -RA FEW023 BKN035 OVC050 A2986 RMK P0004 MADISHF
DDH,2017-04-01 00:30,-73.2461,42.8912,M,M,M,110.00,9.00,0.05,29.86,M,6.00,17.00,FEW,BKN,OVC,M,2400.00,3500.00,5000.00,M,-RA,KDDH 010030Z AUTO 11009G17KT 6SM -RA FEW024 BKN035 OVC050 A2986 RMK P0005 WND 07V16  MADISHF
DDH,2017-04-01 00:35,-73.2461,42.8912,M,M,M,100.00,9.00,0.06,29.87,M,5.00,M,FEW,BKN,OVC,M,2400.00,3500.00,5500.00,M,-RA,KDDH 010035Z AUTO 10009KT 5SM -RA FEW024 BKN035 OVC055 A2987 RMK P0006 WND 05V14  MADISHF
DDH,2017-04-01 00:40,-73.2461,42.8912,M,M,M,100.00,12.00,0.06,29.86,M,5.00,19.00,FEW,BKN,OVC,M,2400.00,3500.00,4400.00,M,RA,KDDH 010040Z AUTO 10012G19KT 5SM RA FEW024 BKN035 OVC044 A2986 RMK P0006 WND 05V14  MADISHF
DDH,2017-04-01 00:45,-73.2461,42.8912,M,M,M,M,M,0.07,29.86,M,5.00,M,FEW,BKN,OVC,M,2400.00,3500.00,4400.00,M,-RA,KDDH 010045Z AUTO /////KT 5SM -RA FEW024 BKN035 OVC044 A2986 RMK P0007 WND 08V15  MADISHF
DDH,2017-04-01 00:50,-73.2461,42.8912,M,M,M,100.00,11.00,0.07,29.86,M,6.00,17.00,FEW,SCT,OVC,M,2400.00,3500.00,4700.00,M,-RA,KDDH 010050Z AUTO 10011G17KT 6SM -RA FEW024 SCT035 OVC047 A2986 RMK P0007 WND 08V14  MADISHF
DDH,2017-04-01 00:54,-73.2461,42.8912,35.10,27.00,72.04,120.00,12.00,0.07,29.86,1011.70,6.00,25.00,FEW,SCT,OVC,M,2400.00,3500.00,4700.00,M,-RA,KDDH 010054Z AUTO 12012G25KT 100V160 6SM -RA FEW024 SCT035 OVC047 02/M03 A2986 RMK AO2 SLP117 P0007 T00171028
DDH,2017-04-01 00:55,-73.2461,42.8912,M,M,M,100.00,10.00,0.01,29.86,M,6.00,M,FEW,SCT,OVC,M,2400.00,3500.00,4700.00,M,-RA,KDDH 010055Z AUTO 10010KT 6SM -RA FEW024 SCT035 OVC047 A2986 RMK P0001 WND 07V13  MADISHF
DDH,2017-04-01 01:00,-73.2461,42.8912,M,M,M,M,M,0.01,29.86,M,7.00,22.00,FEW,BKN,OVC,M,2400.00,4700.00,6000.00,M,-RA,KDDH 010100Z AUTO /////G22KT 7SM -RA FEW024 BKN047 OVC060 A2986 RMK P0001 WND 08V17  MADISHF
DDH,2017-04-01 01:05,-73.2461,42.8912,M,M,M,100.00,12.00,0.01,29.85,M,6.00,18.00,FEW,BKN,OVC,M,3700.00,4900.00,6500.00,M,-RA,KDDH 010105Z AUTO 10012G18KT 6SM -RA FEW037 BKN049 OVC065 A2985 RMK P0001 WND 04V13  MADISHF
DDH,2017-04-01 01:10,-73.2461,42.8912,M,M,M,M,M,0.01,29.86,M,7.00,M,FEW,BKN,OVC,M,3700.00,4900.00,6500.00,M,-RA,KDDH 010110Z AUTO /////KT 7SM -RA FEW037 BKN049 OVC065 A2986 RMK P0001 MADISHF
DDH,2017-04-01 01:15,-73.2461,42.8912,M,M,M,110.00,10.00,0.01,29.85,M,7.00,M,FEW,BKN,OVC,M,3900.00,4900.00,6000.00,M,-RA,KDDH 010115Z AUTO 11010KT 7SM -RA FEW039 BKN049 OVC060 A2985 RMK P0001 WND 05V14  MADISHF
DDH,2017-04-01 01:20,-73.2461,42.8912,M,M,M,90.00,12.00,0.01,29.86,M,8.00,M,FEW,BKN,OVC,M,3999.00,4900.00,6000.00,M,-RA,KDDH 010120Z AUTO 09012KT 8SM -RA FEW039 BKN049 OVC060 A2986 RMK P0001 WND 06V15  MADISHF
DDH,2017-04-01 01:25,-73.2461,42.8912,M,M,M,110.00,10.00,0.02,29.86,M,8.00,18.00,FEW,BKN,OVC,M,4200.00,4900.00,6500.00,M,-RA,KDDH 010125Z AUTO 11010G18KT 8SM -RA FEW042 BKN049 OVC065 A2986 RMK P0002 MADISHF
DDH,2017-04-01 01:30,-73.2461,42.8912,M,M,M,M,M,0.02,29.86,M,6.00,M,FEW,BKN,OVC,M,4300.00,5000.00,6500.00,M,-RA,KDDH 010130Z AUTO /////KT 6SM -RA FEW043 BKN050 OVC065 A2986 RMK P0002 WND 07V13  MADISHF
