#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DIK,2017-04-01 00:00,-102.8019,46.7973,M,M,M,30.00,11.00,M,30.08,M,10.00,M,BKN,OVC,M,M,5000.00,6500.00,M,M,-RA,KDIK 010000Z AUTO 03011KT 10SM -RA BKN050 OVC065 A3008 RMK MADISHF
DIK,2017-04-01 00:10,-102.8019,46.7973,M,M,M,30.00,10.00,M,30.09,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,-RA,KDIK 010010Z AUTO 03010KT 10SM -RA OVC055 A3009 RMK MADISHF
DIK,2017-04-01 00:15,-102.8019,46.7973,M,M,M,20.00,12.00,M,30.09,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KDIK 010015Z AUTO 02012KT 10SM OVC055 A3009 RMK MADISHF
DIK,2017-04-01 00:25,-102.8019,46.7973,M,M,M,30.00,13.00,M,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KDIK 010025Z AUTO 03013KT 10SM -RA OVC050 A3009 RMK MADISHF
DIK,2017-04-01 00:30,-102.8019,46.7973,M,M,M,30.00,12.00,M,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KDIK 010030Z AUTO 03012KT 10SM -RA OVC050 A3009 RMK MADISHF
DIK,2017-04-01 00:40,-102.8019,46.7973,M,M,M,30.00,10.00,M,30.10,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KDIK 010040Z AUTO 03010KT 10SM -RA OVC050 A3010 RMK MADISHF
DIK,2017-04-01 00:45,-102.8019,46.7973,M,M,M,30.00,9.00,M,30.10,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KDIK 010045Z AUTO 03009KT 10SM -RA OVC050 A3010 RMK MADISHF
DIK,2017-04-01 00:55,-102.8019,46.7973,M,M,M,20.00,10.00,M,30.10,M,10.00,M,OVC,M,M,M,4800.00,M,M,M,-RA,KDIK 010055Z AUTO 02010KT 10SM -RA OVC048 A3010 RMK MADISHF
DIK,2017-04-01 00:56,-102.8019,46.7973,44.10,37.90,78.66,30.00,9.00,0.00,30.10,1021.10,10.00,M,OVC,M,M,M,4800.00,M,M,M,-RA,KDIK 010056Z AUTO 03009KT 10SM -RA OVC048 07/03 A3010 RMK AO2 SLP211 P0000 T00670033
DIK,2017-04-01 01:00,-102.8019,46.7973,M,M,M,30.00,8.00,M,30.10,M,10.00,M,OVC,M,M,M,4600.00,M,M,M,-RA,KDIK 010100Z AUTO 03008KT 10SM -RA OVC046 A3010 RMK MADISHF
DIK,2017-04-01 01:10,-102.8019,46.7973,M,M,M,40.00,7.00,M,30.10,M,10.00,M,OVC,M,M,M,4600.00,M,M,M,-RA,KDIK 010110Z AUTO 04007KT 10SM -RA OVC046 A3010 RMK MADISHF
DIK,2017-04-01 01:15,-102.8019,46.7973,M,M,M,40.00,7.00,M,30.10,M,10.00,M,OVC,M,M,M,4800.00,M,M,M,-RA,KDIK 010115Z AUTO 04007KT 10SM -RA OVC048 A3010 RMK MADISHF
DIK,2017-04-01 01:25,-102.8019,46.7973,M,M,M,50.00,7.00,M,30.11,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KDIK 010125Z AUTO 05007KT 10SM -RA OVC050 A3011 RMK MADISHF
