#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DKK,2017-04-01 00:00,-79.2720,42.4933,41.00,41.00,100.00,320.00,4.00,0.00,29.68,M,2.50,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010000Z AUTO 32004KT 2 1/2SM -RA BR OVC002 05/05 A2968 RMK AO2 P0000 T00500050
DKK,2017-04-01 00:05,-79.2720,42.4933,M,M,M,320.00,5.00,M,29.68,M,2.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010005Z AUTO 32005KT 2SM -RA BR OVC002 A2968 RMK MADISHF
DKK,2017-04-01 00:10,-79.2720,42.4933,M,M,M,340.00,6.00,M,29.69,M,2.50,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010010Z AUTO 34006KT 2 1/2SM -RA BR OVC002 A2969 RMK MADISHF
DKK,2017-04-01 00:15,-79.2720,42.4933,M,M,M,350.00,6.00,M,29.69,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010015Z AUTO 35006KT 3SM -RA BR OVC002 A2969 RMK MADISHF
DKK,2017-04-01 00:20,-79.2720,42.4933,M,M,M,340.00,7.00,0.01,29.69,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010020Z AUTO 34007KT 3SM -RA BR OVC002 A2969 RMK P0001 MADISHF
DKK,2017-04-01 00:21,-79.2720,42.4933,41.00,39.90,95.82,340.00,6.00,0.01,29.69,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010021Z AUTO 34006KT 3SM -RA BR OVC002 05/04 A2969 RMK AO2 P0001 T00500044
DKK,2017-04-01 00:25,-79.2720,42.4933,M,M,M,340.00,3.00,0.01,29.69,M,3.50,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010025Z AUTO 34003KT 3SM -RA BR OVC002 A2969 RMK P0001 MADISHF
DKK,2017-04-01 00:30,-79.2720,42.4933,M,M,M,300.00,3.00,0.01,29.69,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010030Z AUTO 30003KT 3SM -RA BR OVC002 A2969 RMK P0001 VRB03KT  MADISHF
DKK,2017-04-01 00:35,-79.2720,42.4933,M,M,M,330.00,4.00,0.01,29.69,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010035Z AUTO 33004KT 3SM -RA BR OVC002 A2969 RMK P0001 VRB04KT  MADISHF
DKK,2017-04-01 00:40,-79.2720,42.4933,M,M,M,320.00,3.00,0.01,29.70,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010040Z AUTO 32003KT 3SM -RA BR OVC002 A2970 RMK P0001 MADISHF
DKK,2017-04-01 00:45,-79.2720,42.4933,M,M,M,310.00,3.00,0.02,29.70,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010045Z AUTO 31003KT 3SM -RA BR OVC002 A2970 RMK P0002 VRB03KT  MADISHF
DKK,2017-04-01 00:50,-79.2720,42.4933,M,M,M,310.00,3.00,0.02,29.70,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010050Z AUTO 31003KT 3SM -RA BR OVC002 A2970 RMK P0002 VRB03KT  MADISHF
DKK,2017-04-01 00:53,-79.2720,42.4933,39.00,39.00,100.00,0.00,0.00,0.02,29.70,1006.20,2.50,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KDKK 010053Z AUTO 00000KT 2 1/2SM -RA BR OVC002 04/04 A2970 RMK AO2 SLP062 P0002 T00390039
DKK,2017-04-01 00:55,-79.2720,42.4933,M,M,M,320.00,3.00,M,29.70,M,2.50,M,OVC,M,M,M,100.00,M,M,M,-RA BR,KDKK 010055Z AUTO 32003KT 2 1/2SM -RA BR OVC001 A2970 RMK VRB03KT  MADISHF
DKK,2017-04-01 01:00,-79.2720,42.4933,M,M,M,0.00,0.00,M,29.70,M,2.50,M,OVC,M,M,M,100.00,M,M,M,-RA BR,KDKK 010100Z AUTO 00000KT 2 1/2SM -RA BR OVC001 A2970 RMK MADISHF
DKK,2017-04-01 01:05,-79.2720,42.4933,M,M,M,0.00,0.00,M,29.70,M,2.50,M,OVC,M,M,M,100.00,M,M,M,-RA BR,KDKK 010105Z AUTO 00000KT 2 1/2SM -RA BR OVC001 A2970 RMK MADISHF
DKK,2017-04-01 01:10,-79.2720,42.4933,M,M,M,0.00,0.00,M,29.70,M,3.00,M,OVC,M,M,M,100.00,M,M,M,-RA BR,KDKK 010110Z AUTO 00000KT 3SM -RA BR OVC001 A2970 RMK MADISHF
DKK,2017-04-01 01:13,-79.2720,42.4933,39.00,39.00,100.00,0.00,0.00,0.00,29.70,M,3.00,M,OVC,M,M,M,100.00,M,M,M,-RA BR,KDKK 010113Z AUTO 00000KT 3SM -RA BR OVC001 04/04 A2970 RMK AO2 P0000 T00390039
DKK,2017-04-01 01:15,-79.2720,42.4933,M,M,M,0.00,0.00,M,29.71,M,3.00,M,OVC,M,M,M,100.00,M,M,M,-RA BR,KDKK 010115Z AUTO 00000KT 3SM -RA BR OVC001 A2971 RMK MADISHF
DKK,2017-04-01 01:20,-79.2720,42.4933,M,M,M,290.00,3.00,M,29.71,M,3.00,M,OVC,M,M,M,100.00,M,M,M,-RA BR,KDKK 010120Z AUTO 29003KT 3SM -RA BR OVC001 A2971 RMK VRB03KT  MADISHF
