#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DLN,2017-04-01 00:00,-112.5525,45.2554,M,M,M,30.00,12.00,M,30.08,M,10.00,M,SCT,OVC,M,M,5000.00,6500.00,M,M,M,KDLN 010000Z AUTO 03012KT 10SM SCT050 OVC065 A3008 RMK MADISHF
DLN,2017-04-01 00:05,-112.5525,45.2554,M,M,M,30.00,12.00,M,30.07,M,10.00,M,SCT,OVC,M,M,5000.00,7000.00,M,M,M,KDLN 010005Z AUTO 03012KT 10SM SCT050 OVC070 A3007 RMK MADISHF
DLN,2017-04-01 00:10,-112.5525,45.2554,M,M,M,40.00,13.00,M,30.08,M,10.00,M,FEW,OVC,M,M,5000.00,6500.00,M,M,M,KDLN 010010Z AUTO 04013KT 10SM FEW050 OVC065 A3008 RMK MADISHF
DLN,2017-04-01 00:15,-112.5525,45.2554,M,M,M,30.00,14.00,M,30.07,M,10.00,M,FEW,OVC,M,M,5000.00,6500.00,M,M,M,KDLN 010015Z AUTO 03014KT 10SM FEW050 OVC065 A3007 RMK MADISHF
DLN,2017-04-01 00:20,-112.5525,45.2554,M,M,M,30.00,17.00,M,30.08,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KDLN 010020Z AUTO 03017KT 10SM OVC070 A3008 RMK MADISHF
DLN,2017-04-01 00:25,-112.5525,45.2554,M,M,M,20.00,17.00,M,30.08,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KDLN 010025Z AUTO 02017KT 10SM OVC070 A3008 RMK MADISHF
DLN,2017-04-01 00:30,-112.5525,45.2554,M,M,M,30.00,18.00,M,30.08,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KDLN 010030Z AUTO 03018KT 10SM OVC070 A3008 RMK MADISHF
DLN,2017-04-01 00:35,-112.5525,45.2554,M,M,M,30.00,17.00,M,30.08,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KDLN 010035Z AUTO 03017KT 10SM OVC070 A3008 RMK MADISHF
DLN,2017-04-01 00:40,-112.5525,45.2554,M,M,M,30.00,16.00,M,30.08,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KDLN 010040Z AUTO 03016KT 10SM OVC070 A3008 RMK MADISHF
DLN,2017-04-01 00:45,-112.5525,45.2554,M,M,M,30.00,16.00,M,30.08,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KDLN 010045Z AUTO 03016KT 10SM OVC070 A3008 RMK MADISHF
DLN,2017-04-01 00:50,-112.5525,45.2554,M,M,M,20.00,17.00,M,30.08,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KDLN 010050Z AUTO 02017KT 10SM OVC070 A3008 RMK MADISHF
DLN,2017-04-01 00:53,-112.5525,45.2554,48.00,30.00,49.49,20.00,16.00,0.00,30.08,1017.70,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,KDLN 010053Z AUTO 02016KT 10SM BKN070 09/M01 A3008 RMK AO2 SLP177 T00891011 $
DLN,2017-04-01 00:55,-112.5525,45.2554,M,M,M,30.00,17.00,M,30.08,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,KDLN 010055Z AUTO 03017KT 10SM BKN070 A3008 RMK MADISHF
DLN,2017-04-01 01:00,-112.5525,45.2554,M,M,M,20.00,16.00,M,30.08,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,KDLN 010100Z AUTO 02016KT 10SM BKN075 A3008 RMK MADISHF
DLN,2017-04-01 01:05,-112.5525,45.2554,M,M,M,20.00,14.00,M,30.08,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,KDLN 010105Z AUTO 02014KT 10SM BKN070 A3008 RMK MADISHF
