#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DMA,2017-04-01 00:58,-110.8830,32.1660,63.10,16.90,16.51,280.00,12.00,0.00,29.74,1004.50,10.00,17.00,CLR,M,M,M,M,M,M,M,M,KDMA 010058Z AUTO 28012G17KT 10SM CLR 17/M08 A2974 RMK AO2 SLP045 T01731084 $
DMA,2017-04-01 01:58,-110.8830,32.1660,60.10,18.00,19.25,310.00,11.00,0.00,29.77,1005.90,10.00,17.00,SCT,M,M,M,11000.00,M,M,M,M,KDMA 010158Z AUTO 31011G17KT 10SM SCT110 16/M08 A2977 RMK AO2 SLP059 T01561078 $
DMA,2017-04-01 02:58,-110.8830,32.1660,59.50,18.70,20.27,330.00,13.00,0.00,29.80,1007.20,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KDMA 010258Z AUTO 33013KT 10SM OVC100 15/M07 A2980 RMK AO2 SLP072 T01531074 52020 $
DMA,2017-04-01 03:58,-110.8830,32.1660,57.20,19.40,22.68,340.00,11.00,0.00,29.83,1008.20,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,KDMA 010358Z AUTO 34011KT 10SM FEW100 14/M07 A2983 RMK AO2 SLP082 T01401070 $
DMA,2017-04-01 04:58,-110.8830,32.1660,56.50,20.30,24.17,330.00,7.00,0.00,29.84,1008.40,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,KDMA 010458Z AUTO 33007KT 10SM SCT100 14/M06 A2984 RMK AO2 SLP084 T01361065 $
DMA,2017-04-01 05:58,-110.8830,32.1660,55.00,21.20,26.52,310.00,5.00,0.00,29.84,1008.20,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KDMA 010558Z AUTO 31005KT 10SM SCT110 13/M06 A2984 RMK AO2 SLP082 T01281060 10180 20128 51011 CHINO RWY30 $
DMA,2017-04-01 06:58,-110.8830,32.1660,54.50,22.30,28.29,320.00,8.00,0.00,29.84,1008.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMA 010658Z AUTO 32008KT 10SM CLR 13/M05 A2984 RMK AO2 SLP082 T01251054 402050091 CHINO RWY30 $
DMA,2017-04-01 07:58,-110.8830,32.1660,49.50,22.60,34.45,310.00,7.00,0.00,29.85,1008.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMA 010758Z AUTO 31007KT 10SM CLR 10/M05 A2985 RMK AO2 SLP087 T00971052 CHINO RWY30 $
DMA,2017-04-01 08:58,-110.8830,32.1660,48.20,20.70,33.37,170.00,5.00,0.00,29.85,1008.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMA 010858Z AUTO 17005KT 10SM CLR 09/M06 A2985 RMK AO2 SLP087 T00901063 52006 CHINO RWY30 $
DMA,2017-04-01 09:58,-110.8830,32.1660,46.00,20.70,36.26,200.00,5.00,0.00,29.86,1009.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMA 010958Z AUTO 20005KT 10SM CLR 08/M06 A2986 RMK AO2 SLP092 T00781063 CHINO RWY30 $
DMA,2017-04-01 10:58,-110.8830,32.1660,44.20,20.50,38.50,180.00,6.00,0.00,29.87,1009.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMA 011058Z AUTO 18006KT 10SM CLR 07/M06 A2987 RMK AO2 SLP096 T00681064 CHINO RWY30 $
DMA,2017-04-01 11:58,-110.8830,32.1660,44.20,22.10,41.19,160.00,6.00,0.00,29.88,1009.90,10.00,M,FEW,M,M,M,7500.00,M,M,M,M,KDMA 011158Z AUTO 16006KT 10SM FEW075 07/M05 A2988 RMK AO2 SLP099 T00681055 10130 20064 52006 CHINO RWY30 $
DMA,2017-04-01 12:58,-110.8830,32.1660,44.80,23.20,42.17,140.00,6.00,0.00,29.88,1010.10,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,KDMA 011258Z AUTO 14006KT 10SM BKN070 07/M05 A2988 RMK AO2 SLP101 T00711049 CHINO RWY30 $
DMA,2017-04-01 13:58,-110.8830,32.1660,46.90,23.50,39.44,150.00,6.00,0.00,29.91,1011.10,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KDMA 011358Z AUTO 15006KT 10SM OVC065 08/M05 A2991 RMK AO2 SLP111 T00831047 CHINO RWY30 $
DMA,2017-04-01 14:58,-110.8830,32.1660,49.50,22.10,33.73,160.00,7.00,0.00,29.93,1011.60,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,KDMA 011458Z AUTO 16007KT 10SM BKN065 10/M05 A2993 RMK AO2 SLP116 T00971055 52016 CHINO RWY30 $
