#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DMH,2017-04-01 00:54,-76.6100,39.2800,50.00,45.00,82.86,M,M,0.05,29.65,1003.90,M,M,M,M,M,M,M,M,M,M,M,KDMH 010054Z AUTO 10/07 A2965 RMK AO1 SLP039 P0005 T01000072
DMH,2017-04-01 01:54,-76.6100,39.2800,48.90,44.10,83.42,M,M,0.02,29.65,1004.00,M,M,M,M,M,M,M,M,M,M,M,KDMH 010154Z AUTO 09/07 A2965 RMK AO1 SLP040 P0002 T00940067
DMH,2017-04-01 02:54,-76.6100,39.2800,48.90,44.10,83.42,M,M,0.00,29.65,1004.00,M,M,M,M,M,M,M,M,M,M,M,KDMH 010254Z AUTO 09/07 A2965 RMK AO1 SLP040 60007 T00940067 50005
DMH,2017-04-01 03:54,-76.6100,39.2800,48.90,43.00,79.98,M,M,0.00,29.65,1004.10,M,M,M,M,M,M,M,M,M,M,M,KDMH 010354Z AUTO 09/06 A2965 RMK AO1 SLP041 T00940061
DMH,2017-04-01 04:54,-76.6100,39.2800,48.00,42.10,79.91,M,M,0.00,29.66,1004.20,M,M,M,M,M,M,M,M,M,M,M,KDMH 010454Z AUTO 09/06 A2966 RMK AO1 SLP042 T00890056 401170061
DMH,2017-04-01 05:54,-76.6100,39.2800,48.00,42.10,79.91,M,M,0.00,29.67,1004.60,M,M,M,M,M,M,M,M,M,M,M,KDMH 010554Z AUTO 09/06 A2967 RMK AO1 SLP046 60007 T00890056 10111 20089 53006
DMH,2017-04-01 06:54,-76.6100,39.2800,48.00,41.00,76.58,M,M,0.00,29.67,1004.70,M,M,M,M,M,M,M,M,M,M,M,KDMH 010654Z AUTO 09/05 A2967 RMK AO1 SLP047 T00890050
DMH,2017-04-01 07:54,-76.6100,39.2800,46.90,41.00,79.82,M,M,0.00,29.71,1006.00,M,M,M,M,M,M,M,M,M,M,M,KDMH 010754Z AUTO 08/05 A2971 RMK AO1 SLP060 T00830050
DMH,2017-04-01 08:54,-76.6100,39.2800,46.90,39.90,76.48,M,M,0.00,29.73,1006.80,M,M,M,M,M,M,M,M,M,M,M,KDMH 010854Z AUTO 08/04 A2973 RMK AO1 SLP068 T00830044 53022
DMH,2017-04-01 09:54,-76.6100,39.2800,46.00,37.90,73.18,M,M,0.00,29.76,1007.50,M,M,M,M,M,M,M,M,M,M,M,KDMH 010954Z AUTO 08/03 A2976 RMK AO1 SLP075 T00780033
