#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DMN,2017-04-01 00:00,-107.7206,32.2623,M,M,M,M,M,M,29.66,M,10.00,31.00,CLR,M,M,M,M,M,M,M,M,KDMN 010000Z AUTO /////G31KT 10SM CLR A2966 RMK MADISHF
DMN,2017-04-01 00:05,-107.7206,32.2623,M,M,M,M,M,M,29.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010005Z AUTO /////KT 10SM CLR A2966 RMK MADISHF
DMN,2017-04-01 00:10,-107.7206,32.2623,M,M,M,280.00,23.00,M,29.66,M,10.00,28.00,CLR,M,M,M,M,M,M,M,M,KDMN 010010Z AUTO 28023G28KT 10SM CLR A2966 RMK MADISHF
DMN,2017-04-01 00:15,-107.7206,32.2623,M,M,M,M,M,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010015Z AUTO /////KT 10SM CLR RMK MADISHF
DMN,2017-04-01 00:20,-107.7206,32.2623,M,M,M,M,M,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010020Z AUTO /////KT 10SM CLR RMK MADISHF
DMN,2017-04-01 00:25,-107.7206,32.2623,M,M,M,M,M,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010025Z AUTO /////KT 10SM CLR RMK MADISHF
DMN,2017-04-01 00:30,-107.7206,32.2623,M,M,M,280.00,21.00,M,29.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010030Z AUTO 28021KT 10SM CLR A2967 RMK MADISHF
DMN,2017-04-01 00:35,-107.7206,32.2623,M,M,M,M,M,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010035Z AUTO /////KT 10SM CLR RMK MADISHF
DMN,2017-04-01 00:40,-107.7206,32.2623,M,M,M,M,M,M,M,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010040Z AUTO /////KT 10SM CLR RMK MADISHF
DMN,2017-04-01 00:45,-107.7206,32.2623,M,M,M,M,M,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010045Z AUTO /////KT 10SM CLR A2968 RMK MADISHF
DMN,2017-04-01 00:50,-107.7206,32.2623,M,M,M,290.00,18.00,M,29.68,M,10.00,24.00,CLR,M,M,M,M,M,M,M,M,KDMN 010050Z AUTO 29018G24KT 10SM CLR A2968 RMK MADISHF
DMN,2017-04-01 00:53,-107.7206,32.2623,60.10,15.10,16.98,290.00,19.00,0.00,29.68,1001.20,10.00,29.00,CLR,M,M,M,M,M,M,M,M,KDMN 010053Z AUTO 29019G29KT 10SM CLR 16/M09 A2968 RMK AO2 PK WND 27035/2359 SLP012 T01561094
DMN,2017-04-01 00:55,-107.7206,32.2623,M,M,M,M,M,M,29.68,M,10.00,24.00,CLR,M,M,M,M,M,M,M,M,KDMN 010055Z AUTO /////G24KT 10SM CLR A2968 RMK MADISHF
DMN,2017-04-01 01:00,-107.7206,32.2623,M,M,M,M,M,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010100Z AUTO /////KT 10SM CLR A2968 RMK MADISHF
DMN,2017-04-01 01:05,-107.7206,32.2623,M,M,M,M,M,M,29.69,M,10.00,24.00,CLR,M,M,M,M,M,M,M,M,KDMN 010105Z AUTO /////G24KT 10SM CLR A2969 RMK MADISHF
DMN,2017-04-01 01:10,-107.7206,32.2623,M,M,M,M,M,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010110Z AUTO /////KT 10SM CLR A2969 RMK MADISHF
DMN,2017-04-01 01:15,-107.7206,32.2623,M,M,M,M,M,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010115Z AUTO /////KT 10SM CLR A2969 RMK MADISHF
DMN,2017-04-01 01:20,-107.7206,32.2623,M,M,M,M,M,M,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010120Z AUTO /////KT 10SM CLR A2970 RMK MADISHF
DMN,2017-04-01 01:25,-107.7206,32.2623,M,M,M,M,M,M,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDMN 010125Z AUTO /////KT 10SM CLR A2970 RMK MADISHF
