#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DSV,2017-04-01 00:00,-77.7130,42.5709,M,M,M,140.00,7.00,M,29.69,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,-RA,KDSV 010000Z AUTO 14007KT 10SM -RA OVC019 A2969 RMK MADISHF
DSV,2017-04-01 00:05,-77.7130,42.5709,M,M,M,140.00,7.00,M,29.69,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,-RA,KDSV 010005Z AUTO 14007KT 10SM -RA OVC022 A2969 RMK MADISHF
DSV,2017-04-01 00:10,-77.7130,42.5709,M,M,M,140.00,7.00,0.01,29.69,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,-RA,KDSV 010010Z AUTO 14007KT 10SM -RA OVC022 A2969 RMK P0001 MADISHF
DSV,2017-04-01 00:15,-77.7130,42.5709,M,M,M,150.00,7.00,0.01,29.69,M,10.00,M,BKN,OVC,M,M,2200.00,2900.00,M,M,-RA,KDSV 010015Z AUTO 15007KT 10SM -RA BKN022 OVC029 A2969 RMK P0001 MADISHF
DSV,2017-04-01 00:20,-77.7130,42.5709,M,M,M,140.00,6.00,0.01,29.70,M,10.00,M,BKN,BKN,OVC,M,2200.00,2900.00,3800.00,M,-RA,KDSV 010020Z AUTO 14006KT 10SM -RA BKN022 BKN029 OVC038 A2970 RMK P0001 MADISHF
DSV,2017-04-01 00:25,-77.7130,42.5709,M,M,M,140.00,5.00,0.02,29.70,M,10.00,M,SCT,BKN,OVC,M,2300.00,2900.00,3600.00,M,-RA,KDSV 010025Z AUTO 14005KT 10SM -RA SCT023 BKN029 OVC036 A2970 RMK P0002 MADISHF
DSV,2017-04-01 00:30,-77.7130,42.5709,M,M,M,140.00,6.00,0.02,29.70,M,10.00,M,SCT,BKN,OVC,M,2300.00,2900.00,3600.00,M,-RA,KDSV 010030Z AUTO 14006KT 10SM -RA SCT023 BKN029 OVC036 A2970 RMK P0002 MADISHF
DSV,2017-04-01 00:35,-77.7130,42.5709,M,M,M,140.00,5.00,0.02,29.70,M,10.00,M,FEW,SCT,OVC,M,2300.00,2900.00,3600.00,M,-RA,KDSV 010035Z AUTO 14005KT 10SM -RA FEW023 SCT029 OVC036 A2970 RMK P0002 MADISHF
DSV,2017-04-01 00:40,-77.7130,42.5709,42.10,37.90,84.93,140.00,4.00,0.02,29.70,M,10.00,M,FEW,OVC,M,M,2900.00,3700.00,M,M,-RA,KDSV 010040Z AUTO 14004KT 10SM -RA FEW029 OVC037 06/03 A2970 RMK AO2 P0002 T00560033
DSV,2017-04-01 00:45,-77.7130,42.5709,M,M,M,150.00,5.00,0.02,29.70,M,10.00,M,FEW,OVC,M,M,2900.00,3700.00,M,M,-RA,KDSV 010045Z AUTO 15005KT 10SM -RA FEW029 OVC037 A2970 RMK P0002 MADISHF
DSV,2017-04-01 00:50,-77.7130,42.5709,M,M,M,140.00,6.00,0.02,29.70,M,10.00,M,OVC,M,M,M,3700.00,M,M,M,-RA,KDSV 010050Z AUTO 14006KT 10SM -RA OVC037 A2970 RMK P0002 MADISHF
DSV,2017-04-01 00:54,-77.7130,42.5709,42.10,37.90,84.93,140.00,4.00,0.02,29.70,1007.00,10.00,M,OVC,M,M,M,3700.00,M,M,M,-RA,KDSV 010054Z AUTO 14004KT 10SM -RA OVC037 06/03 A2970 RMK AO2 SLP070 P0002 T00560033
DSV,2017-04-01 00:55,-77.7130,42.5709,M,M,M,140.00,4.00,M,29.70,M,10.00,M,SCT,OVC,M,M,3000.00,3700.00,M,M,-RA,KDSV 010055Z AUTO 14004KT 10SM -RA SCT030 OVC037 A2970 RMK MADISHF
DSV,2017-04-01 01:00,-77.7130,42.5709,M,M,M,160.00,3.00,0.01,29.70,M,10.00,M,SCT,OVC,M,M,2800.00,3700.00,M,M,-RA,KDSV 010100Z AUTO 16003KT 10SM -RA SCT028 OVC037 A2970 RMK P0001 MADISHF
DSV,2017-04-01 01:05,-77.7130,42.5709,M,M,M,150.00,3.00,0.01,29.71,M,10.00,M,BKN,OVC,M,M,2800.00,3700.00,M,M,-RA,KDSV 010105Z AUTO 15003KT 10SM -RA BKN028 OVC037 A2971 RMK P0001 MADISHF
DSV,2017-04-01 01:09,-77.7130,42.5709,42.10,39.00,88.67,M,4.00,0.01,29.71,M,10.00,M,BKN,OVC,M,M,2600.00,3700.00,M,M,-RA,KDSV 010109Z AUTO VRB04KT 10SM -RA BKN026 OVC037 06/04 A2971 RMK AO2 P0001 T00560039
DSV,2017-04-01 01:10,-77.7130,42.5709,M,M,M,160.00,3.00,0.01,29.71,M,10.00,M,BKN,OVC,M,M,2600.00,3700.00,M,M,-RA,KDSV 010110Z AUTO 16003KT 10SM -RA BKN026 OVC037 A2971 RMK P0001 MADISHF
DSV,2017-04-01 01:15,-77.7130,42.5709,M,M,M,150.00,4.00,0.02,29.71,M,9.00,M,BKN,OVC,M,M,2600.00,3700.00,M,M,-RA,KDSV 010115Z AUTO 15004KT 9SM -RA BKN026 OVC037 A2971 RMK P0002 MADISHF
DSV,2017-04-01 01:20,-77.7130,42.5709,M,M,M,150.00,5.00,0.02,29.71,M,9.00,M,BKN,OVC,M,M,2600.00,3500.00,M,M,-RA,KDSV 010120Z AUTO 15005KT 9SM -RA BKN026 OVC035 A2971 RMK P0002 MADISHF
DSV,2017-04-01 01:25,-77.7130,42.5709,M,M,M,0.00,0.00,0.02,29.71,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,-RA,KDSV 010125Z AUTO 00000KT 10SM -RA OVC026 A2971 RMK P0002 MADISHF
DSV,2017-04-01 01:30,-77.7130,42.5709,M,M,M,170.00,3.00,0.03,29.71,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,-RA,KDSV 010130Z AUTO 17003KT 10SM -RA OVC026 A2971 RMK P0003 MADISHF
DSV,2017-04-01 01:35,-77.7130,42.5709,M,M,M,160.00,5.00,0.03,29.71,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,-RA,KDSV 010135Z AUTO 16005KT 10SM -RA OVC026 A2971 RMK P0003 MADISHF
DSV,2017-04-01 01:40,-77.7130,42.5709,M,M,M,140.00,5.00,0.03,29.71,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,-RA,KDSV 010140Z AUTO 14005KT 10SM -RA OVC026 A2971 RMK P0003 MADISHF
DSV,2017-04-01 01:45,-77.7130,42.5709,M,M,M,150.00,4.00,0.03,29.71,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,-RA,KDSV 010145Z AUTO 15004KT 10SM -RA OVC026 A2971 RMK P0003 MADISHF
DSV,2017-04-01 01:50,-77.7130,42.5709,M,M,M,150.00,5.00,0.04,29.72,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,-RA,KDSV 010150Z AUTO 15005KT 10SM -RA OVC026 A2972 RMK P0004 MADISHF
DSV,2017-04-01 01:54,-77.7130,42.5709,42.10,37.90,84.93,160.00,4.00,0.04,29.72,1007.50,10.00,M,FEW,OVC,M,M,1800.00,2600.00,M,M,-RA,KDSV 010154Z AUTO 16004KT 10SM -RA FEW018 OVC026 06/03 A2972 RMK AO2 SLP075 P0004 T00560033
DSV,2017-04-01 01:55,-77.7130,42.5709,M,M,M,150.00,4.00,M,29.72,M,10.00,M,FEW,OVC,M,M,1800.00,2600.00,M,M,-RA,KDSV 010155Z AUTO 15004KT 10SM -RA FEW018 OVC026 A2972 RMK MADISHF
DSV,2017-04-01 02:00,-77.7130,42.5709,M,M,M,170.00,3.00,M,29.72,M,10.00,M,FEW,OVC,M,M,1800.00,2600.00,M,M,-RA,KDSV 010200Z AUTO 17003KT 10SM -RA FEW018 OVC026 A2972 RMK MADISHF
DSV,2017-04-01 02:05,-77.7130,42.5709,M,M,M,0.00,0.00,0.01,29.72,M,10.00,M,FEW,OVC,M,M,1800.00,2600.00,M,M,-RA,KDSV 010205Z AUTO 00000KT 10SM -RA FEW018 OVC026 A2972 RMK P0001 MADISHF
DSV,2017-04-01 02:10,-77.7130,42.5709,M,M,M,160.00,3.00,0.01,29.72,M,10.00,M,FEW,OVC,M,M,1999.00,2600.00,M,M,-RA,KDSV 010210Z AUTO 16003KT 10SM -RA FEW019 OVC026 A2972 RMK P0001 VRB03KT  MADISHF
