#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DTA,2017-04-01 00:15,-112.5077,39.3806,48.20,37.40,66.05,330.00,12.00,0.00,29.80,M,10.00,16.00,OVC,M,M,M,4900.00,M,M,M,M,KDTA 010015Z AUTO 33012G16KT 10SM OVC049 09/03 A2980 RMK AO1
DTA,2017-04-01 00:35,-112.5077,39.3806,48.20,37.40,66.05,330.00,12.00,0.00,29.80,M,10.00,16.00,OVC,M,M,M,4900.00,M,M,M,M,KDTA 010035Z AUTO 33012G16KT 10SM OVC049 09/03 A2980 RMK AO1
DTA,2017-04-01 00:55,-112.5077,39.3806,48.20,37.40,66.05,340.00,10.00,0.00,29.81,M,10.00,M,SCT,OVC,M,M,5500.00,6500.00,M,M,M,KDTA 010055Z AUTO 34010KT 10SM SCT055 OVC065 09/03 A2981 RMK AO1
DTA,2017-04-01 01:15,-112.5077,39.3806,46.40,37.40,70.68,330.00,12.00,0.00,29.82,M,10.00,M,SCT,BKN,OVC,M,4900.00,5500.00,7000.00,M,M,KDTA 010115Z AUTO 33012KT 10SM SCT049 BKN055 OVC070 08/03 A2982 RMK AO1
DTA,2017-04-01 01:35,-112.5077,39.3806,46.40,37.40,70.68,330.00,12.00,0.00,29.82,M,10.00,M,BKN,OVC,M,M,5500.00,7000.00,M,M,M,KDTA 010135Z AUTO 33012KT 10SM BKN055 OVC070 08/03 A2982 RMK AO1
DTA,2017-04-01 01:55,-112.5077,39.3806,46.40,37.40,70.68,340.00,7.00,0.00,29.84,M,10.00,M,SCT,OVC,M,M,5500.00,7000.00,M,M,M,KDTA 010155Z AUTO 34007KT 10SM SCT055 OVC070 08/03 A2984 RMK AO1
DTA,2017-04-01 02:15,-112.5077,39.3806,46.40,39.20,75.84,330.00,6.00,0.00,29.84,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KDTA 010215Z AUTO 33006KT 10SM OVC070 08/04 A2984 RMK AO1
DTA,2017-04-01 02:35,-112.5077,39.3806,44.60,37.40,75.68,350.00,4.00,0.00,29.85,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KDTA 010235Z AUTO 35004KT 10SM BKN060 07/03 A2985 RMK AO1
DTA,2017-04-01 02:55,-112.5077,39.3806,41.00,37.40,86.89,0.00,0.00,0.00,29.86,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KDTA 010255Z AUTO 00000KT 10SM SCT060 05/03 A2986 RMK AO1
DTA,2017-04-01 03:15,-112.5077,39.3806,41.00,37.40,86.89,250.00,5.00,0.00,29.87,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KDTA 010315Z AUTO 25005KT 10SM SCT065 05/03 A2987 RMK AO1
DTA,2017-04-01 03:35,-112.5077,39.3806,37.40,35.60,93.14,0.00,0.00,0.00,29.89,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KDTA 010335Z AUTO 00000KT 10SM SCT065 03/02 A2989 RMK AO1
DTA,2017-04-01 03:55,-112.5077,39.3806,39.20,37.40,93.19,300.00,4.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010355Z AUTO 30004KT 10SM CLR 04/03 A2989 RMK AO1
DTA,2017-04-01 04:15,-112.5077,39.3806,41.00,37.40,86.89,310.00,7.00,0.00,29.90,M,10.00,M,SCT,BKN,M,M,7000.00,11000.00,M,M,M,KDTA 010415Z AUTO 31007KT 10SM SCT070 BKN110 05/03 A2990 RMK AO1
DTA,2017-04-01 04:35,-112.5077,39.3806,41.00,37.40,86.89,310.00,5.00,0.00,29.90,M,10.00,M,BKN,BKN,M,M,6000.00,11000.00,M,M,M,KDTA 010435Z AUTO 31005KT 10SM BKN060 BKN110 05/03 A2990 RMK AO1
DTA,2017-04-01 04:55,-112.5077,39.3806,37.40,35.60,93.14,0.00,0.00,0.00,29.90,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KDTA 010455Z AUTO 00000KT 10SM SCT060 03/02 A2990 RMK AO1
DTA,2017-04-01 05:15,-112.5077,39.3806,41.00,37.40,86.89,360.00,7.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010515Z AUTO 36007KT 10SM CLR 05/03 A2991 RMK AO1
DTA,2017-04-01 05:35,-112.5077,39.3806,41.00,35.60,80.93,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010535Z AUTO 00000KT 10SM CLR 05/02 A2992 RMK AO1
DTA,2017-04-01 05:55,-112.5077,39.3806,41.00,35.60,80.93,340.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010555Z AUTO 34003KT 10SM CLR 05/02 A2992 RMK AO1
DTA,2017-04-01 06:15,-112.5077,39.3806,37.40,35.60,93.14,80.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010615Z AUTO 08003KT 10SM CLR 03/02 A2992 RMK AO1
DTA,2017-04-01 06:35,-112.5077,39.3806,37.40,35.60,93.14,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010635Z AUTO 00000KT 10SM CLR 03/02 A2992 RMK AO1
DTA,2017-04-01 06:55,-112.5077,39.3806,39.20,37.40,93.19,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010655Z AUTO 00000KT 10SM CLR 04/03 A2993 RMK AO1
DTA,2017-04-01 07:15,-112.5077,39.3806,33.80,33.80,100.00,250.00,3.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010715Z AUTO 25003KT 10SM CLR 01/01 A2993 RMK AO1
DTA,2017-04-01 07:35,-112.5077,39.3806,32.00,32.00,100.00,150.00,4.00,0.00,29.94,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010735Z AUTO 15004KT 7SM CLR 00/00 A2994 RMK AO1
DTA,2017-04-01 07:55,-112.5077,39.3806,33.80,33.80,100.00,0.00,0.00,0.00,29.94,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010755Z AUTO 00000KT 7SM CLR 01/01 A2994 RMK AO1
DTA,2017-04-01 08:15,-112.5077,39.3806,35.60,35.60,100.00,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010815Z AUTO 00000KT 10SM CLR 02/02 A2994 RMK AO1
DTA,2017-04-01 08:35,-112.5077,39.3806,37.40,35.60,93.14,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010835Z AUTO 00000KT 10SM CLR 03/02 A2995 RMK AO1
DTA,2017-04-01 08:55,-112.5077,39.3806,35.60,33.80,93.08,320.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010855Z AUTO 32005KT 10SM CLR 02/01 A2995 RMK AO1
DTA,2017-04-01 09:15,-112.5077,39.3806,35.60,33.80,93.08,320.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010915Z AUTO 32003KT 10SM CLR 02/01 A2995 RMK AO1
DTA,2017-04-01 09:35,-112.5077,39.3806,35.60,33.80,93.08,310.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 010935Z AUTO 31005KT 10SM CLR 02/01 A2996 RMK AO1
DTA,2017-04-01 09:55,-112.5077,39.3806,33.80,32.00,93.03,0.00,0.00,0.00,29.96,M,10.00,M,SCT,M,M,M,9500.00,M,M,M,M,KDTA 010955Z AUTO 00000KT 10SM SCT095 01/00 A2996 RMK AO1
DTA,2017-04-01 10:15,-112.5077,39.3806,35.60,33.80,93.08,40.00,3.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011015Z AUTO 04003KT 10SM CLR 02/01 A2996 RMK AO1
DTA,2017-04-01 10:35,-112.5077,39.3806,33.80,32.00,93.03,160.00,4.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011035Z AUTO 16004KT 10SM CLR 01/00 A2997 RMK AO1
DTA,2017-04-01 10:55,-112.5077,39.3806,32.00,32.00,100.00,0.00,0.00,0.00,29.97,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011055Z AUTO 00000KT 7SM CLR 00/00 A2997 RMK AO1
DTA,2017-04-01 11:15,-112.5077,39.3806,32.00,32.00,100.00,140.00,6.00,0.00,29.98,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011115Z AUTO 14006KT 7SM CLR 00/00 A2998 RMK AO1
DTA,2017-04-01 11:35,-112.5077,39.3806,32.00,32.00,100.00,210.00,3.00,0.00,29.98,M,5.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011135Z AUTO 21003KT 5SM CLR 00/00 A2998 RMK AO1
DTA,2017-04-01 11:55,-112.5077,39.3806,32.00,32.00,100.00,0.00,0.00,0.00,29.99,M,4.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011155Z AUTO 00000KT 4SM CLR 00/00 A2999 RMK AO1
DTA,2017-04-01 12:15,-112.5077,39.3806,32.00,32.00,100.00,240.00,4.00,0.00,29.99,M,4.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011215Z AUTO 24004KT 4SM CLR 00/00 A2999 RMK AO1
DTA,2017-04-01 12:35,-112.5077,39.3806,33.80,32.00,93.03,200.00,5.00,0.00,30.01,M,5.00,M,SCT,M,M,M,8500.00,M,M,M,M,KDTA 011235Z AUTO 20005KT 5SM SCT085 01/00 A3001 RMK AO1
DTA,2017-04-01 12:55,-112.5077,39.3806,32.00,32.00,100.00,0.00,0.00,0.00,30.02,M,2.50,M,SCT,M,M,M,8500.00,M,M,M,M,KDTA 011255Z AUTO 00000KT 2 1/2SM SCT085 00/00 A3002 RMK AO1
DTA,2017-04-01 13:15,-112.5077,39.3806,32.00,32.00,100.00,0.00,0.00,0.00,30.02,M,0.50,M,VV ,M,M,M,500.00,M,M,M,M,KDTA 011315Z AUTO 00000KT 1/2SM VV005 00/00 A3002 RMK AO1
DTA,2017-04-01 13:35,-112.5077,39.3806,33.80,33.80,100.00,0.00,0.00,0.00,30.02,M,0.50,M,VV ,M,M,M,500.00,M,M,M,M,KDTA 011335Z AUTO 00000KT 1/2SM VV005 01/01 A3002 RMK AO1
DTA,2017-04-01 13:55,-112.5077,39.3806,35.60,35.60,100.00,60.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011355Z AUTO 06004KT 10SM CLR 02/02 A3004 RMK AO1
DTA,2017-04-01 14:15,-112.5077,39.3806,37.40,33.80,86.69,0.00,0.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011415Z AUTO 00000KT 10SM CLR 03/01 A3004 RMK AO1
DTA,2017-04-01 14:35,-112.5077,39.3806,37.40,33.80,86.69,20.00,3.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011435Z AUTO 02003KT 10SM CLR 03/01 A3006 RMK AO1
DTA,2017-04-01 14:55,-112.5077,39.3806,39.20,33.80,80.79,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011455Z AUTO 00000KT 10SM CLR 04/01 A3006 RMK AO1
DTA,2017-04-01 15:15,-112.5077,39.3806,42.80,33.80,70.28,360.00,8.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011515Z AUTO 36008KT 10SM CLR 06/01 A3006 RMK AO1
DTA,2017-04-01 15:35,-112.5077,39.3806,42.80,35.60,75.50,320.00,4.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011535Z AUTO 32004KT 10SM CLR 06/02 A3007 RMK AO1
DTA,2017-04-01 15:55,-112.5077,39.3806,46.40,32.00,57.00,340.00,7.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011555Z AUTO 34007KT 10SM CLR 08/00 A3006 RMK AO1
DTA,2017-04-01 16:15,-112.5077,39.3806,46.40,32.00,57.00,340.00,6.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011615Z AUTO 34006KT 10SM CLR 08/00 A3007 RMK AO1
DTA,2017-04-01 16:35,-112.5077,39.3806,48.20,32.00,53.27,340.00,7.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDTA 011635Z AUTO 34007KT 10SM CLR 09/00 A3008 RMK AO1
