#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DVK,2017-04-01 00:15,-84.7697,37.5779,48.20,42.80,81.47,300.00,7.00,0.00,29.91,M,10.00,M,SCT,OVC,M,M,1600.00,2200.00,M,M,M,KDVK 010015Z AUTO 30007KT 10SM SCT016 OVC022 09/06 A2991 RMK AO2
DVK,2017-04-01 00:35,-84.7697,37.5779,46.40,44.60,93.40,290.00,6.00,0.00,29.92,M,10.00,9.00,OVC,M,M,M,1900.00,M,M,M,M,KDVK 010035Z AUTO 29006G09KT 10SM OVC019 08/07 A2992 RMK AO2
DVK,2017-04-01 00:55,-84.7697,37.5779,46.40,44.60,93.40,280.00,7.00,0.00,29.93,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KDVK 010055Z AUTO 28007KT 10SM OVC019 08/07 A2993 RMK AO2
DVK,2017-04-01 01:15,-84.7697,37.5779,46.40,44.60,93.40,280.00,6.00,0.00,29.93,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KDVK 010115Z AUTO 28006KT 10SM OVC017 08/07 A2993 RMK AO2
DVK,2017-04-01 01:35,-84.7697,37.5779,46.40,44.60,93.40,270.00,7.00,0.00,29.94,M,10.00,M,BKN,OVC,M,M,1700.00,2600.00,M,M,M,KDVK 010135Z AUTO 27007KT 10SM BKN017 OVC026 08/07 A2994 RMK AO2
DVK,2017-04-01 01:55,-84.7697,37.5779,46.40,42.80,87.19,290.00,4.00,0.00,29.95,M,10.00,M,BKN,OVC,M,M,1700.00,2600.00,M,M,M,KDVK 010155Z AUTO 29004KT 10SM BKN017 OVC026 08/06 A2995 RMK AO2
DVK,2017-04-01 02:15,-84.7697,37.5779,46.40,42.80,87.19,280.00,7.00,0.00,29.95,M,10.00,M,BKN,OVC,M,M,1300.00,1900.00,M,M,M,KDVK 010215Z AUTO 28007KT 10SM BKN013 OVC019 08/06 A2995 RMK AO2
DVK,2017-04-01 02:35,-84.7697,37.5779,46.40,42.80,87.19,290.00,9.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KDVK 010235Z AUTO 29009KT 10SM OVC013 08/06 A2996 RMK AO2
DVK,2017-04-01 02:55,-84.7697,37.5779,46.40,42.80,87.19,300.00,7.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KDVK 010255Z AUTO 30007KT 10SM OVC011 08/06 A2996 RMK AO2
DVK,2017-04-01 03:15,-84.7697,37.5779,46.40,42.80,87.19,310.00,8.00,0.00,29.97,M,10.00,15.00,OVC,M,M,M,1100.00,M,M,M,M,KDVK 010315Z AUTO 31008G15KT 10SM OVC011 08/06 A2997 RMK AO2
DVK,2017-04-01 03:35,-84.7697,37.5779,46.40,42.80,87.19,290.00,7.00,0.00,29.97,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KDVK 010335Z AUTO 29007KT 10SM OVC009 08/06 A2997 RMK AO2
DVK,2017-04-01 03:55,-84.7697,37.5779,44.60,42.80,93.35,290.00,8.00,0.00,29.98,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KDVK 010355Z AUTO 29008KT 10SM OVC009 07/06 A2998 RMK AO2
DVK,2017-04-01 04:15,-84.7697,37.5779,44.60,42.80,93.35,290.00,8.00,0.00,29.98,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KDVK 010415Z AUTO 29008KT 10SM OVC009 07/06 A2998 RMK AO2
DVK,2017-04-01 04:35,-84.7697,37.5779,44.60,42.80,93.35,290.00,8.00,0.00,29.99,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KDVK 010435Z AUTO 29008KT 10SM OVC009 07/06 A2999 RMK AO2
DVK,2017-04-01 04:55,-84.7697,37.5779,44.60,42.80,93.35,290.00,6.00,0.00,29.99,M,7.00,M,OVC,M,M,M,900.00,M,M,M,M,KDVK 010455Z AUTO 29006KT 7SM OVC009 07/06 A2999 RMK AO2
