#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DVL,2017-04-01 00:00,-98.9083,48.1146,M,M,M,350.00,9.00,M,30.15,M,10.00,M,OVC,M,M,M,499.00,M,M,M,-RA,KDVL 010000Z AUTO 35009KT 10SM -RA OVC004 A3015 RMK MADISHF
DVL,2017-04-01 00:05,-98.9083,48.1146,M,M,M,350.00,8.00,M,30.15,M,10.00,M,OVC,M,M,M,499.00,M,M,M,M,KDVL 010005Z AUTO 35008KT 10SM OVC004 A3015 RMK CIG 4V8  MADISHF
DVL,2017-04-01 00:10,-98.9083,48.1146,M,M,M,350.00,8.00,M,30.15,M,10.00,M,BKN,OVC,M,M,499.00,999.00,M,M,-RA,KDVL 010010Z AUTO 35008KT 10SM -RA BKN004 OVC009 A3015 RMK CIG 4V8  MADISHF
DVL,2017-04-01 00:15,-98.9083,48.1146,M,M,M,360.00,8.00,M,30.15,M,10.00,M,BKN,BKN,OVC,M,499.00,999.00,4400.00,M,-RA,KDVL 010015Z AUTO 36008KT 10SM -RA BKN004 BKN009 OVC044 A3015 RMK CIG 4V8  MADISHF
DVL,2017-04-01 00:20,-98.9083,48.1146,M,M,M,360.00,8.00,M,30.15,M,10.00,M,BKN,OVC,M,M,700.00,4600.00,M,M,-RA,KDVL 010020Z AUTO 36008KT 10SM -RA BKN007 OVC046 A3015 RMK CIG 4V10  MADISHF
DVL,2017-04-01 00:23,-98.9083,48.1146,42.80,39.20,86.99,360.00,8.00,0.00,30.15,M,10.00,M,BKN,OVC,M,M,700.00,4600.00,M,M,-RA,KDVL 010023Z AUTO 36008KT 10SM -RA BKN007 OVC046 06/04 A3015 RMK AO2 CIG 004V010 P0000
DVL,2017-04-01 00:25,-98.9083,48.1146,M,M,M,360.00,9.00,M,30.15,M,10.00,M,BKN,OVC,M,M,700.00,4600.00,M,M,-RA,KDVL 010025Z AUTO 36009KT 10SM -RA BKN007 OVC046 A3015 RMK CIG 4V10  MADISHF
DVL,2017-04-01 00:30,-98.9083,48.1146,M,M,M,360.00,9.00,M,30.15,M,10.00,M,BKN,OVC,M,M,700.00,4600.00,M,M,M,KDVL 010030Z AUTO 36009KT 10SM BKN007 OVC046 A3015 RMK MADISHF
DVL,2017-04-01 00:35,-98.9083,48.1146,M,M,M,360.00,8.00,M,30.16,M,10.00,M,BKN,OVC,M,M,700.00,4600.00,M,M,M,KDVL 010035Z AUTO 36008KT 10SM BKN007 OVC046 A3016 RMK MADISHF
DVL,2017-04-01 00:40,-98.9083,48.1146,M,M,M,360.00,8.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010040Z AUTO 36008KT 10SM OVC007 A3016 RMK MADISHF
DVL,2017-04-01 00:45,-98.9083,48.1146,M,M,M,10.00,10.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010045Z AUTO 01010KT 10SM OVC007 A3016 RMK MADISHF
DVL,2017-04-01 00:50,-98.9083,48.1146,M,M,M,10.00,9.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010050Z AUTO 01009KT 10SM OVC007 A3016 RMK MADISHF
DVL,2017-04-01 00:55,-98.9083,48.1146,M,M,M,10.00,8.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010055Z AUTO 01008KT 10SM OVC007 A3016 RMK MADISHF
DVL,2017-04-01 00:56,-98.9083,48.1146,41.00,39.00,92.52,10.00,7.00,0.00,30.16,1024.50,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010056Z AUTO 01007KT 10SM OVC007 05/04 A3016 RMK AO2 RAE28 SLP245 P0000 T00500039
DVL,2017-04-01 01:00,-98.9083,48.1146,M,M,M,10.00,7.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010100Z AUTO 01007KT 10SM OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:05,-98.9083,48.1146,M,M,M,10.00,6.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010105Z AUTO 01006KT 10SM OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:10,-98.9083,48.1146,M,M,M,10.00,7.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,-RA,KDVL 010110Z AUTO 01007KT 10SM -RA OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:15,-98.9083,48.1146,M,M,M,10.00,7.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,-RA,KDVL 010115Z AUTO 01007KT 10SM -RA OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:20,-98.9083,48.1146,M,M,M,20.00,8.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,-RA,KDVL 010120Z AUTO 02008KT 10SM -RA OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:25,-98.9083,48.1146,M,M,M,30.00,8.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,-RA,KDVL 010125Z AUTO 03008KT 10SM -RA OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:30,-98.9083,48.1146,M,M,M,30.00,8.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,-RA,KDVL 010130Z AUTO 03008KT 10SM -RA OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:35,-98.9083,48.1146,M,M,M,20.00,7.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,-RA,KDVL 010135Z AUTO 02007KT 10SM -RA OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:40,-98.9083,48.1146,M,M,M,20.00,9.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010140Z AUTO 02009KT 10SM OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:45,-98.9083,48.1146,M,M,M,20.00,8.00,M,30.16,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010145Z AUTO 02008KT 10SM OVC007 A3016 RMK MADISHF
DVL,2017-04-01 01:50,-98.9083,48.1146,M,M,M,30.00,7.00,M,30.17,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010150Z AUTO 03007KT 10SM OVC007 A3017 RMK MADISHF
DVL,2017-04-01 01:55,-98.9083,48.1146,M,M,M,20.00,9.00,M,30.17,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010155Z AUTO 02009KT 10SM OVC007 A3017 RMK MADISHF
DVL,2017-04-01 01:56,-98.9083,48.1146,39.90,37.90,92.48,30.00,8.00,0.00,30.17,1024.50,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010156Z AUTO 03008KT 10SM OVC007 04/03 A3017 RMK AO2 RAB10E37 SLP245 P0000 T00440033
DVL,2017-04-01 02:00,-98.9083,48.1146,M,M,M,30.00,8.00,M,30.17,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010200Z AUTO 03008KT 10SM OVC007 A3017 RMK MADISHF
DVL,2017-04-01 02:05,-98.9083,48.1146,M,M,M,20.00,8.00,M,30.17,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010205Z AUTO 02008KT 10SM OVC007 A3017 RMK MADISHF
DVL,2017-04-01 02:15,-98.9083,48.1146,M,M,M,20.00,8.00,M,30.17,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010215Z AUTO 02008KT 10SM OVC007 A3017 RMK MADISHF
DVL,2017-04-01 02:20,-98.9083,48.1146,M,M,M,20.00,8.00,M,30.18,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010220Z AUTO 02008KT 10SM OVC007 A3018 RMK MADISHF
DVL,2017-04-01 02:25,-98.9083,48.1146,M,M,M,10.00,9.00,M,30.18,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010225Z AUTO 01009KT 10SM OVC007 A3018 RMK MADISHF
DVL,2017-04-01 02:35,-98.9083,48.1146,M,M,M,20.00,9.00,M,30.18,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010235Z AUTO 02009KT 10SM OVC007 A3018 RMK MADISHF
DVL,2017-04-01 02:40,-98.9083,48.1146,M,M,M,20.00,10.00,M,30.18,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010240Z AUTO 02010KT 10SM OVC007 A3018 RMK MADISHF
DVL,2017-04-01 02:45,-98.9083,48.1146,M,M,M,20.00,9.00,M,30.18,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010245Z AUTO 02009KT 10SM OVC007 A3018 RMK MADISHF
DVL,2017-04-01 02:50,-98.9083,48.1146,M,M,M,10.00,9.00,M,30.18,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010250Z AUTO 01009KT 10SM OVC007 A3018 RMK MADISHF
DVL,2017-04-01 02:55,-98.9083,48.1146,M,M,M,20.00,9.00,M,30.19,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010255Z AUTO 02009KT 10SM OVC007 A3019 RMK MADISHF
DVL,2017-04-01 02:56,-98.9083,48.1146,39.00,37.00,92.45,20.00,9.00,0.00,30.19,1025.00,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010256Z AUTO 02009KT 10SM OVC007 04/03 A3019 RMK AO2 SLP250 60000 T00390028 53014
DVL,2017-04-01 03:00,-98.9083,48.1146,M,M,M,20.00,10.00,M,30.19,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010300Z AUTO 02010KT 10SM OVC007 A3019 RMK MADISHF
DVL,2017-04-01 03:05,-98.9083,48.1146,M,M,M,20.00,9.00,M,30.19,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010305Z AUTO 02009KT 10SM OVC007 A3019 RMK MADISHF
DVL,2017-04-01 03:10,-98.9083,48.1146,M,M,M,10.00,8.00,M,30.19,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KDVL 010310Z AUTO 01008KT 10SM OVC007 A3019 RMK MADISHF
