#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DVN,2017-04-01 00:00,-90.5948,41.6133,M,M,M,30.00,10.00,M,30.03,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,KDVN 010000Z AUTO 03010KT 10SM OVC023 A3003 RMK MADISHF
DVN,2017-04-01 00:05,-90.5948,41.6133,M,M,M,30.00,9.00,M,30.03,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,KDVN 010005Z AUTO 03009KT 10SM OVC023 A3003 RMK MADISHF
DVN,2017-04-01 00:10,-90.5948,41.6133,M,M,M,40.00,8.00,M,30.03,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,KDVN 010010Z AUTO 04008KT 10SM OVC023 A3003 RMK MADISHF
DVN,2017-04-01 00:15,-90.5948,41.6133,M,M,M,40.00,6.00,M,30.03,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,KDVN 010015Z AUTO 04006KT 10SM OVC023 A3003 RMK MADISHF
DVN,2017-04-01 00:20,-90.5948,41.6133,M,M,M,30.00,7.00,M,30.03,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KDVN 010020Z AUTO 03007KT 10SM OVC024 A3003 RMK MADISHF
DVN,2017-04-01 00:25,-90.5948,41.6133,M,M,M,40.00,8.00,M,30.03,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KDVN 010025Z AUTO 04008KT 10SM OVC024 A3003 RMK MADISHF
DVN,2017-04-01 00:30,-90.5948,41.6133,M,M,M,40.00,9.00,M,30.04,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KDVN 010030Z AUTO 04009KT 10SM OVC024 A3004 RMK MADISHF
DVN,2017-04-01 00:35,-90.5948,41.6133,M,M,M,40.00,9.00,M,30.04,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KDVN 010035Z AUTO 04009KT 10SM OVC024 A3004 RMK MADISHF
DVN,2017-04-01 00:40,-90.5948,41.6133,M,M,M,30.00,8.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KDVN 010040Z AUTO 03008KT 10SM OVC024 A3005 RMK MADISHF
DVN,2017-04-01 00:45,-90.5948,41.6133,M,M,M,30.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KDVN 010045Z AUTO 03007KT 10SM OVC024 A3005 RMK MADISHF
DVN,2017-04-01 00:50,-90.5948,41.6133,M,M,M,20.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KDVN 010050Z AUTO 02006KT 10SM OVC024 A3005 RMK MADISHF
DVN,2017-04-01 00:52,-90.5948,41.6133,42.10,36.00,78.80,30.00,6.00,0.00,30.05,1018.10,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KDVN 010052Z AUTO 03006KT 10SM OVC024 06/02 A3005 RMK AO2 SLP181 T00560022
DVN,2017-04-01 00:55,-90.5948,41.6133,M,M,M,20.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KDVN 010055Z AUTO 02006KT 10SM OVC025 A3005 RMK MADISHF
DVN,2017-04-01 01:00,-90.5948,41.6133,M,M,M,30.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KDVN 010100Z AUTO 03005KT 10SM OVC025 A3005 RMK MADISHF
DVN,2017-04-01 01:05,-90.5948,41.6133,M,M,M,20.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KDVN 010105Z AUTO 02005KT 10SM OVC025 A3006 RMK MADISHF
DVN,2017-04-01 01:10,-90.5948,41.6133,M,M,M,20.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KDVN 010110Z AUTO 02005KT 10SM OVC025 A3006 RMK MADISHF
DVN,2017-04-01 01:15,-90.5948,41.6133,M,M,M,30.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KDVN 010115Z AUTO 03005KT 10SM OVC025 A3006 RMK MADISHF
DVN,2017-04-01 01:20,-90.5948,41.6133,M,M,M,30.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KDVN 010120Z AUTO 03005KT 10SM OVC027 A3007 RMK MADISHF
DVN,2017-04-01 01:25,-90.5948,41.6133,M,M,M,30.00,4.00,M,30.06,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KDVN 010125Z AUTO 03004KT 10SM OVC027 A3006 RMK MADISHF
DVN,2017-04-01 01:30,-90.5948,41.6133,M,M,M,0.00,0.00,M,30.06,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KDVN 010130Z AUTO 00000KT 10SM OVC027 A3006 RMK MADISHF
DVN,2017-04-01 01:35,-90.5948,41.6133,M,M,M,0.00,0.00,M,30.07,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,KDVN 010135Z AUTO 00000KT 10SM BKN027 A3007 RMK MADISHF
DVN,2017-04-01 01:40,-90.5948,41.6133,M,M,M,350.00,3.00,M,30.07,M,10.00,M,SCT,M,M,M,2700.00,M,M,M,M,KDVN 010140Z AUTO 35003KT 10SM SCT027 A3007 RMK MADISHF
DVN,2017-04-01 01:45,-90.5948,41.6133,M,M,M,360.00,3.00,M,30.06,M,10.00,M,SCT,M,M,M,2800.00,M,M,M,M,KDVN 010145Z AUTO 36003KT 10SM SCT028 A3006 RMK MADISHF
