#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DWU,2017-04-01 00:15,-82.7380,38.5545,55.40,48.20,76.66,300.00,7.00,0.00,29.78,M,10.00,M,SCT,BKN,OVC,M,2100.00,2900.00,3300.00,M,M,KDWU 010015Z AUTO 30007KT 10SM SCT021 BKN029 OVC033 13/09 A2978 RMK AO1
DWU,2017-04-01 00:35,-82.7380,38.5545,55.40,50.00,81.99,290.00,6.00,0.00,29.79,M,10.00,M,SCT,OVC,M,M,2100.00,3000.00,M,M,M,KDWU 010035Z AUTO 29006KT 10SM SCT021 OVC030 13/10 A2979 RMK AO1
DWU,2017-04-01 00:55,-82.7380,38.5545,53.60,50.00,87.56,310.00,6.00,0.00,29.80,M,10.00,15.00,FEW,SCT,OVC,M,1900.00,2600.00,3200.00,M,M,KDWU 010055Z AUTO 31006G15KT 10SM FEW019 SCT026 OVC032 12/10 A2980 RMK AO1
DWU,2017-04-01 01:15,-82.7380,38.5545,53.60,50.00,87.56,320.00,6.00,0.00,29.81,M,10.00,M,FEW,BKN,OVC,M,1900.00,2900.00,3400.00,M,M,KDWU 010115Z AUTO 32006KT 10SM FEW019 BKN029 OVC034 12/10 A2981 RMK AO1
DWU,2017-04-01 01:35,-82.7380,38.5545,53.60,48.20,81.87,310.00,7.00,0.00,29.83,M,10.00,M,FEW,SCT,OVC,M,1700.00,2600.00,3200.00,M,M,KDWU 010135Z AUTO 31007KT 10SM FEW017 SCT026 OVC032 12/09 A2983 RMK AO1
DWU,2017-04-01 01:55,-82.7380,38.5545,53.60,50.00,87.56,300.00,7.00,0.00,29.84,M,10.00,M,FEW,OVC,M,M,1600.00,3200.00,M,M,M,KDWU 010155Z AUTO 30007KT 10SM FEW016 OVC032 12/10 A2984 RMK AO1
DWU,2017-04-01 02:15,-82.7380,38.5545,53.60,50.00,87.56,320.00,7.00,0.00,29.85,M,10.00,M,BKN,BKN,OVC,M,1400.00,2000.00,3000.00,M,M,KDWU 010215Z AUTO 32007KT 10SM BKN014 BKN020 OVC030 12/10 A2985 RMK AO1
DWU,2017-04-01 02:35,-82.7380,38.5545,53.60,50.00,87.56,310.00,6.00,0.00,29.85,M,5.00,M,BKN,BKN,OVC,M,1400.00,2100.00,2900.00,M,M,KDWU 010235Z AUTO 31006KT 5SM BKN014 BKN021 OVC029 12/10 A2985 RMK AO1
DWU,2017-04-01 02:55,-82.7380,38.5545,51.80,50.00,93.55,330.00,5.00,0.00,29.86,M,8.00,M,BKN,BKN,OVC,M,900.00,1700.00,2500.00,M,M,KDWU 010255Z AUTO 33005KT 8SM BKN009 BKN017 OVC025 11/10 A2986 RMK AO1 52030
DWU,2017-04-01 03:15,-82.7380,38.5545,51.80,48.20,87.47,330.00,6.00,0.00,29.86,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KDWU 010315Z AUTO 33006KT 10SM OVC013 11/09 A2986 RMK AO1
DWU,2017-04-01 03:35,-82.7380,38.5545,51.80,48.20,87.47,340.00,7.00,0.00,29.86,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KDWU 010335Z AUTO 34007KT 10SM OVC017 11/09 A2986 RMK AO1
DWU,2017-04-01 03:55,-82.7380,38.5545,51.80,48.20,87.47,340.00,7.00,0.00,29.87,M,10.00,M,BKN,OVC,M,M,1900.00,2600.00,M,M,M,KDWU 010355Z AUTO 34007KT 10SM BKN019 OVC026 11/09 A2987 RMK AO1
DWU,2017-04-01 04:15,-82.7380,38.5545,51.80,48.20,87.47,340.00,6.00,0.00,29.87,M,10.00,M,BKN,BKN,OVC,M,1700.00,2400.00,3000.00,M,M,KDWU 010415Z AUTO 34006KT 10SM BKN017 BKN024 OVC030 11/09 A2987 RMK AO1
DWU,2017-04-01 04:35,-82.7380,38.5545,51.80,48.20,87.47,320.00,7.00,0.00,29.88,M,10.00,M,SCT,BKN,OVC,M,1500.00,2400.00,3000.00,M,M,KDWU 010435Z AUTO 32007KT 10SM SCT015 BKN024 OVC030 11/09 A2988 RMK AO1
DWU,2017-04-01 04:55,-82.7380,38.5545,51.80,48.20,87.47,320.00,9.00,0.00,29.88,M,10.00,M,BKN,OVC,M,M,1700.00,2400.00,M,M,M,KDWU 010455Z AUTO 32009KT 10SM BKN017 OVC024 11/09 A2988 RMK AO1
DWU,2017-04-01 05:15,-82.7380,38.5545,51.80,46.40,81.74,330.00,9.00,0.00,29.89,M,10.00,15.00,OVC,M,M,M,1300.00,M,M,M,M,KDWU 010515Z AUTO 33009G15KT 10SM OVC013 11/08 A2989 RMK AO1
DWU,2017-04-01 05:35,-82.7380,38.5545,50.00,46.40,87.37,330.00,9.00,0.00,29.90,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KDWU 010535Z AUTO 33009KT 280V340 10SM OVC013 10/08 A2990 RMK AO1
DWU,2017-04-01 05:55,-82.7380,38.5545,48.20,46.40,93.45,340.00,9.00,0.00,29.91,M,10.00,18.00,OVC,M,M,M,1300.00,M,M,M,M,KDWU 010555Z AUTO 34009G18KT 10SM OVC013 09/08 A2991 RMK AO1 10130 20090 52017
