#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DXR,2017-04-01 00:00,-73.4800,41.3700,M,M,M,90.00,14.00,M,29.85,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010000Z AUTO 09014KT 2 1/2SM -RA BR OVC012 A2985 RMK MADISHF
DXR,2017-04-01 00:05,-73.4800,41.3700,M,M,M,M,M,0.01,29.85,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010005Z AUTO /////KT 2 1/2SM -RA BR OVC012 A2985 RMK P0001 MADISHF
DXR,2017-04-01 00:10,-73.4800,41.3700,M,M,M,90.00,14.00,0.01,29.85,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010010Z AUTO 09014KT 2 1/2SM -RA BR OVC012 A2985 RMK P0001 MADISHF
DXR,2017-04-01 00:15,-73.4800,41.3700,M,M,M,90.00,13.00,0.01,29.85,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010015Z AUTO 09013KT 2 1/2SM -RA BR OVC012 A2985 RMK P0001 MADISHF
DXR,2017-04-01 00:20,-73.4800,41.3700,M,M,M,M,M,0.01,29.85,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010020Z AUTO /////KT 2 1/2SM -RA BR OVC012 A2985 RMK P0001 MADISHF
DXR,2017-04-01 00:25,-73.4800,41.3700,M,M,M,80.00,16.00,0.01,29.84,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010025Z AUTO 08016KT 2 1/2SM -RA BR OVC012 A2984 RMK P0001 MADISHF
DXR,2017-04-01 00:30,-73.4800,41.3700,M,M,M,M,M,0.01,29.84,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010030Z AUTO /////KT 2 1/2SM -RA BR OVC012 A2984 RMK P0001 MADISHF
DXR,2017-04-01 00:35,-73.4800,41.3700,M,M,M,M,M,0.01,29.84,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010035Z AUTO /////KT 2 1/2SM -RA BR OVC012 A2984 RMK P0001 MADISHF
DXR,2017-04-01 00:40,-73.4800,41.3700,M,M,M,M,M,0.01,29.84,M,2.50,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010040Z AUTO /////KT 2 1/2SM -RA BR OVC011 A2984 RMK P0001 MADISHF
DXR,2017-04-01 00:45,-73.4800,41.3700,M,M,M,90.00,13.00,0.01,29.84,M,2.50,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010045Z AUTO 09013KT 2 1/2SM -RA BR OVC011 A2984 RMK P0001 MADISHF
DXR,2017-04-01 00:50,-73.4800,41.3700,M,M,M,M,M,0.01,29.84,M,2.50,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010050Z AUTO /////KT 2 1/2SM -RA BR OVC011 A2984 RMK P0001 MADISHF
DXR,2017-04-01 00:53,-73.4800,41.3700,36.00,34.00,92.35,90.00,16.00,0.01,29.84,1010.70,2.50,25.00,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010053Z 09016G25KT 2 1/2SM -RA BR OVC011 02/01 A2984 RMK AO2 PK WND 09026/0019 SLP107 P0001 T00220011
DXR,2017-04-01 00:55,-73.4800,41.3700,M,M,M,M,M,M,29.84,M,2.50,23.00,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010055Z AUTO /////G23KT 2 1/2SM -RA BR OVC011 A2984 RMK MADISHF
DXR,2017-04-01 01:00,-73.4800,41.3700,M,M,M,90.00,14.00,0.01,29.84,M,2.50,20.00,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010100Z AUTO 09014G20KT 2 1/2SM -RA BR OVC011 A2984 RMK P0001 MADISHF
DXR,2017-04-01 01:05,-73.4800,41.3700,M,M,M,80.00,13.00,0.01,29.84,M,2.50,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010105Z AUTO 08013KT 2 1/2SM -RA BR OVC011 A2984 RMK P0001 MADISHF
DXR,2017-04-01 01:10,-73.4800,41.3700,M,M,M,80.00,15.00,0.01,29.84,M,2.50,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010110Z AUTO 08015KT 2 1/2SM -RA BR OVC011 A2984 RMK P0001 MADISHF
DXR,2017-04-01 01:15,-73.4800,41.3700,M,M,M,M,M,0.02,29.83,M,2.50,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KDXR 010115Z AUTO /////KT 2 1/2SM -RA BR OVC011 A2983 RMK P0002 MADISHF
DXR,2017-04-01 01:20,-73.4800,41.3700,M,M,M,90.00,12.00,0.02,29.83,M,2.50,17.00,OVC,M,M,M,1100.00,M,M,M,RA BR,KDXR 010120Z AUTO 09012G17KT 2 1/2SM RA BR OVC011 A2983 RMK P0002 MADISHF
DXR,2017-04-01 01:25,-73.4800,41.3700,M,M,M,80.00,14.00,0.03,29.83,M,2.50,20.00,OVC,M,M,M,1100.00,M,M,M,RA BR,KDXR 010125Z AUTO 08014G20KT 2 1/2SM RA BR OVC011 A2983 RMK P0003 MADISHF
DXR,2017-04-01 01:30,-73.4800,41.3700,M,M,M,90.00,12.00,0.03,29.83,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010130Z AUTO 09012KT 2 1/2SM -RA BR OVC012 A2983 RMK P0003 MADISHF
DXR,2017-04-01 01:35,-73.4800,41.3700,M,M,M,M,M,0.03,29.83,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010135Z AUTO /////KT 2 1/2SM -RA BR OVC012 A2983 RMK P0003 MADISHF
DXR,2017-04-01 01:40,-73.4800,41.3700,M,M,M,90.00,14.00,0.04,29.83,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010140Z AUTO 09014KT 2 1/2SM -RA BR OVC012 A2983 RMK P0004 MADISHF
DXR,2017-04-01 01:45,-73.4800,41.3700,M,M,M,M,M,0.04,29.82,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010145Z AUTO /////KT 2 1/2SM -RA BR OVC012 A2982 RMK P0004 MADISHF
DXR,2017-04-01 01:50,-73.4800,41.3700,M,M,M,90.00,14.00,0.04,29.82,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KDXR 010150Z AUTO 09014KT 2 1/2SM -RA BR OVC012 A2982 RMK P0004 MADISHF
DXR,2017-04-01 01:53,-73.4800,41.3700,36.00,34.00,92.35,90.00,15.00,0.05,29.82,1009.90,2.50,23.00,BKN,OVC,M,M,1200.00,1900.00,M,M,-RA BR,KDXR 010153Z 09015G23KT 2 1/2SM -RA BR BKN012 OVC019 02/01 A2982 RMK AO2 SLP099 P0005 T00220011
