#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DYL,2017-04-01 00:00,-75.1223,40.3331,M,M,M,70.00,6.00,0.01,29.67,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KDYL 010000Z AUTO 07006KT 10SM OVC006 A2967 RMK P0001 VRB06KT  MADISHF
DYL,2017-04-01 00:05,-75.1223,40.3331,M,M,M,60.00,8.00,0.01,29.67,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KDYL 010005Z AUTO 06008KT 10SM OVC006 A2967 RMK P0001 WND 02V11  MADISHF
DYL,2017-04-01 00:10,-75.1223,40.3331,M,M,M,50.00,6.00,0.01,29.67,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KDYL 010010Z AUTO 05006KT 10SM OVC006 A2967 RMK P0001 VRB06KT  MADISHF
DYL,2017-04-01 00:15,-75.1223,40.3331,M,M,M,60.00,5.00,0.01,29.67,M,10.00,M,OVC,M,M,M,600.00,M,M,M,-RA,KDYL 010015Z AUTO 06005KT 10SM -RA OVC006 A2967 RMK P0001 VRB05KT  MADISHF
DYL,2017-04-01 00:20,-75.1223,40.3331,M,M,M,60.00,8.00,0.01,29.67,M,9.00,M,OVC,M,M,M,600.00,M,M,M,-RA,KDYL 010020Z AUTO 06008KT 9SM -RA OVC006 A2967 RMK P0001 WND 04V10  MADISHF
DYL,2017-04-01 00:25,-75.1223,40.3331,M,M,M,60.00,5.00,0.02,29.67,M,8.00,M,OVC,M,M,M,600.00,M,M,M,-RA,KDYL 010025Z AUTO 06005KT 8SM -RA OVC006 A2967 RMK P0002 VRB05KT  MADISHF
DYL,2017-04-01 00:30,-75.1223,40.3331,M,M,M,50.00,6.00,0.04,29.67,M,6.00,M,OVC,M,M,M,600.00,M,M,M,RA BR,KDYL 010030Z AUTO 05006KT 6SM RA BR OVC006 A2967 RMK P0004 VRB06KT  MADISHF
DYL,2017-04-01 00:35,-75.1223,40.3331,M,M,M,70.00,5.00,0.05,29.66,M,5.00,M,OVC,M,M,M,600.00,M,M,M,RA BR,KDYL 010035Z AUTO 07005KT 5SM RA BR OVC006 A2966 RMK P0005 VRB05KT  MADISHF
DYL,2017-04-01 00:40,-75.1223,40.3331,M,M,M,50.00,7.00,0.06,29.66,M,5.00,M,OVC,M,M,M,600.00,M,M,M,RA BR,KDYL 010040Z AUTO 05007KT 5SM RA BR OVC006 A2966 RMK P0006 WND 02V08  MADISHF
DYL,2017-04-01 00:45,-75.1223,40.3331,M,M,M,40.00,6.00,0.07,29.66,M,5.00,M,OVC,M,M,M,600.00,M,M,M,RA BR,KDYL 010045Z AUTO 04006KT 5SM RA BR OVC006 A2966 RMK P0007 VRB06KT  MADISHF
