#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
E80,2017-04-01 00:15,-106.8337,34.6452,51.30,22.60,32.22,280.00,29.00,0.00,29.73,M,10.00,33.00,OVC,M,M,M,10000.00,M,M,M,M,KE80 010015Z AUTO 28029G33KT 10SM OVC100 11/M05 A2973 RMK AO2 T01071052
E80,2017-04-01 00:35,-106.8337,34.6452,50.20,22.10,32.86,290.00,17.00,0.00,29.74,M,10.00,27.00,OVC,M,M,M,10000.00,M,M,M,M,KE80 010035Z AUTO 29017G27KT 10SM OVC100 10/M05 A2974 RMK AO2 T01011055
E80,2017-04-01 00:55,-106.8337,34.6452,48.00,21.40,34.64,290.00,21.00,0.00,29.76,M,10.00,25.00,SCT,M,M,M,9000.00,M,M,M,M,KE80 010055Z AUTO 29021G25KT 10SM SCT090 09/M06 A2976 RMK AO2 T00891059
E80,2017-04-01 01:15,-106.8337,34.6452,46.40,22.80,39.03,310.00,18.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KE80 010115Z AUTO 31018KT 10SM CLR 08/M05 A2977 RMK AO2 T00801051
E80,2017-04-01 01:35,-106.8337,34.6452,45.10,22.60,40.65,300.00,12.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KE80 010135Z AUTO 30012KT 10SM CLR 07/M05 A2978 RMK AO2 T00731052
E80,2017-04-01 01:55,-106.8337,34.6452,44.80,21.90,39.92,310.00,11.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KE80 010155Z AUTO 31011KT 10SM CLR 07/M06 A2980 RMK AO2 T00711056
E80,2017-04-01 02:15,-106.8337,34.6452,44.60,22.10,40.57,310.00,11.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KE80 010215Z AUTO 31011KT 10SM CLR 07/M05 A2981 RMK AO2 T00701055
E80,2017-04-01 02:35,-106.8337,34.6452,44.60,22.50,41.26,50.00,9.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KE80 010235Z AUTO 05009KT 10SM CLR 07/M05 A2986 RMK AO2 LTG DSNT NE T00701053
E80,2017-04-01 02:55,-106.8337,34.6452,44.10,28.20,53.30,10.00,8.00,0.00,29.86,M,10.00,15.00,SCT,M,M,M,12000.00,M,M,M,M,KE80 010255Z AUTO 01008G15KT 10SM SCT120 07/M02 A2986 RMK AO2 T00671021
E80,2017-04-01 03:15,-106.8337,34.6452,43.50,30.00,58.70,10.00,9.00,0.00,29.86,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KE80 010315Z AUTO 01009KT 10SM SCT120 06/M01 A2986 RMK AO2 T00641011
E80,2017-04-01 03:35,-106.8337,34.6452,43.30,30.00,59.15,30.00,7.00,0.00,29.87,M,10.00,M,SCT,SCT,M,M,9500.00,12000.00,M,M,M,KE80 010335Z AUTO 03007KT 10SM SCT095 SCT120 06/M01 A2987 RMK AO2 T00631011
E80,2017-04-01 03:55,-106.8337,34.6452,43.20,30.20,59.86,360.00,7.00,0.00,29.87,M,10.00,M,SCT,BKN,M,M,9500.00,12000.00,M,M,M,KE80 010355Z AUTO 36007KT 10SM SCT095 BKN120 06/M01 A2987 RMK AO2 T00621010
E80,2017-04-01 04:15,-106.8337,34.6452,43.20,30.20,59.86,350.00,6.00,0.00,29.88,M,10.00,M,SCT,BKN,M,M,9500.00,12000.00,M,M,M,KE80 010415Z AUTO 35006KT 10SM SCT095 BKN120 06/M01 A2988 RMK AO2 T00621010
E80,2017-04-01 04:35,-106.8337,34.6452,43.00,30.20,60.32,350.00,4.00,0.00,29.88,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,KE80 010435Z AUTO 35004KT 10SM BKN120 06/M01 A2988 RMK AO2 T00611010
E80,2017-04-01 04:55,-106.8337,34.6452,43.20,30.20,59.86,300.00,8.00,0.00,29.88,M,10.00,M,BKN,BKN,M,M,10000.00,12000.00,M,M,M,KE80 010455Z AUTO 30008KT 10SM BKN100 BKN120 06/M01 A2988 RMK AO2 T00621010
E80,2017-04-01 05:15,-106.8337,34.6452,43.20,27.90,54.49,320.00,8.00,0.00,29.87,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KE80 010515Z AUTO 32008KT 10SM OVC090 06/M02 A2987 RMK AO2 T00621023
E80,2017-04-01 05:35,-106.8337,34.6452,42.40,27.10,54.37,300.00,11.00,0.00,29.87,M,10.00,M,SCT,OVC,M,M,8000.00,9000.00,M,M,M,KE80 010535Z AUTO 30011KT 10SM SCT080 OVC090 06/M03 A2987 RMK AO2 T00581027
