#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EAU,2017-04-01 00:00,-91.4843,44.8658,M,M,M,350.00,7.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010000Z AUTO 35007KT 10SM CLR A3001 RMK MADISHF
EAU,2017-04-01 00:05,-91.4843,44.8658,M,M,M,360.00,7.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010005Z AUTO 36007KT 10SM CLR A3001 RMK MADISHF
EAU,2017-04-01 00:10,-91.4843,44.8658,M,M,M,350.00,6.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010010Z AUTO 35006KT 10SM CLR A3001 RMK MADISHF
EAU,2017-04-01 00:15,-91.4843,44.8658,M,M,M,360.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010015Z AUTO 36006KT 10SM CLR A3002 RMK MADISHF
EAU,2017-04-01 00:20,-91.4843,44.8658,M,M,M,360.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010020Z AUTO 36006KT 10SM CLR A3002 RMK MADISHF
EAU,2017-04-01 00:30,-91.4843,44.8658,M,M,M,360.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010030Z AUTO 36006KT 10SM CLR A3002 RMK MADISHF
EAU,2017-04-01 00:35,-91.4843,44.8658,M,M,M,360.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010035Z AUTO 36006KT 10SM CLR A3002 RMK MADISHF
EAU,2017-04-01 00:40,-91.4843,44.8658,M,M,M,360.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010040Z AUTO 36006KT 10SM CLR A3002 RMK MADISHF
EAU,2017-04-01 00:50,-91.4843,44.8658,M,M,M,10.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010050Z AUTO 01006KT 10SM CLR A3002 RMK MADISHF
EAU,2017-04-01 00:55,-91.4843,44.8658,M,M,M,10.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEAU 010055Z AUTO 01006KT 10SM CLR A3002 RMK MADISHF
