#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EDC,2017-04-01 00:15,-97.5621,30.3925,78.80,51.80,39.02,150.00,8.00,0.00,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEDC 010015Z AUTO 15008KT 10SM CLR 26/11 A2974 RMK AO2
EDC,2017-04-01 00:35,-97.5621,30.3925,77.00,53.60,44.25,140.00,11.00,0.00,29.74,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KEDC 010035Z AUTO 14011G15KT 10SM CLR 25/12 A2974 RMK AO2
EDC,2017-04-01 00:55,-97.5621,30.3925,75.20,50.00,41.14,140.00,11.00,0.00,29.75,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,KEDC 010055Z AUTO 14011G16KT 10SM CLR 24/10 A2975 RMK AO2
EDC,2017-04-01 01:15,-97.5621,30.3925,71.60,50.00,46.43,140.00,8.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEDC 010115Z AUTO 14008KT 10SM CLR 22/10 A2976 RMK AO2
EDC,2017-04-01 01:35,-97.5621,30.3925,71.60,50.00,46.43,140.00,8.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEDC 010135Z AUTO 14008KT 10SM CLR 22/10 A2976 RMK AO2
EDC,2017-04-01 01:55,-97.5621,30.3925,71.60,48.20,43.42,150.00,10.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEDC 010155Z AUTO 15010KT 10SM CLR 22/09 A2977 RMK AO2
EDC,2017-04-01 02:15,-97.5621,30.3925,71.60,46.40,40.57,150.00,11.00,0.00,29.78,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KEDC 010215Z AUTO 15011G15KT 10SM CLR 22/08 A2978 RMK AO2
EDC,2017-04-01 02:35,-97.5621,30.3925,69.80,46.40,43.13,150.00,12.00,0.00,29.78,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,KEDC 010235Z AUTO 15012G16KT 10SM CLR 21/08 A2978 RMK AO2
EDC,2017-04-01 02:55,-97.5621,30.3925,69.80,46.40,43.13,150.00,11.00,0.00,29.79,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KEDC 010255Z AUTO 15011G15KT 10SM CLR 21/08 A2979 RMK AO2
EDC,2017-04-01 03:15,-97.5621,30.3925,68.00,48.20,49.10,150.00,10.00,0.00,29.79,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KEDC 010315Z AUTO 15010G15KT 10SM CLR 20/09 A2979 RMK AO2
EDC,2017-04-01 03:35,-97.5621,30.3925,66.20,50.00,55.88,150.00,8.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEDC 010335Z AUTO 15008KT 10SM CLR 19/10 A2980 RMK AO2
