#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EDJ,2017-04-01 00:10,-83.8192,40.3723,41.00,41.00,100.00,330.00,11.00,0.00,29.82,M,3.00,14.00,OVC,M,M,M,200.00,M,M,M,M,KEDJ 010010Z AUTO 33011G14KT 3SM OVC002 05/05 A2982 RMK AO1
EDJ,2017-04-01 00:35,-83.8192,40.3723,41.00,41.00,100.00,320.00,8.00,0.00,29.83,M,2.50,16.00,BKN,OVC,M,M,300.00,1000.00,M,M,M,KEDJ 010035Z AUTO 32008G16KT 2 1/2SM BKN003 OVC010 05/05 A2983 RMK AO1
EDJ,2017-04-01 00:55,-83.8192,40.3723,39.20,39.20,100.00,330.00,9.00,0.00,29.84,M,6.00,M,BKN,OVC,M,M,500.00,1000.00,M,M,M,KEDJ 010055Z AUTO 33009KT 6SM BKN005 OVC010 04/04 A2984 RMK AO1
EDJ,2017-04-01 01:10,-83.8192,40.3723,39.20,39.20,100.00,320.00,11.00,0.00,29.85,M,5.00,M,BKN,OVC,M,M,500.00,1000.00,M,M,M,KEDJ 010110Z AUTO 32011KT 5SM BKN005 OVC010 04/04 A2985 RMK AO1
EDJ,2017-04-01 01:35,-83.8192,40.3723,39.20,39.20,100.00,320.00,11.00,0.00,29.87,M,10.00,16.00,BKN,OVC,M,M,600.00,1000.00,M,M,M,KEDJ 010135Z AUTO 32011G16KT 10SM BKN006 OVC010 04/04 A2987 RMK AO1
EDJ,2017-04-01 01:55,-83.8192,40.3723,39.20,39.20,100.00,320.00,10.00,0.00,29.88,M,2.50,15.00,BKN,OVC,M,M,500.00,900.00,M,M,M,KEDJ 010155Z AUTO 32010G15KT 2 1/2SM BKN005 OVC009 04/04 A2988 RMK AO1
EDJ,2017-04-01 02:10,-83.8192,40.3723,39.20,39.20,100.00,330.00,8.00,0.00,29.89,M,2.00,M,OVC,M,M,M,500.00,M,M,M,M,KEDJ 010210Z AUTO 33008KT 2SM OVC005 04/04 A2989 RMK AO1
EDJ,2017-04-01 02:35,-83.8192,40.3723,39.20,39.20,100.00,330.00,6.00,0.00,29.89,M,2.50,M,BKN,OVC,M,M,400.00,800.00,M,M,M,KEDJ 010235Z AUTO 33006KT 2 1/2SM BKN004 OVC008 04/04 A2989 RMK AO1
EDJ,2017-04-01 02:55,-83.8192,40.3723,39.20,39.20,100.00,330.00,9.00,0.00,29.89,M,5.00,M,BKN,OVC,M,M,400.00,1000.00,M,M,M,KEDJ 010255Z AUTO 33009KT 5SM BKN004 OVC010 04/04 A2989 RMK AO1
EDJ,2017-04-01 03:10,-83.8192,40.3723,39.20,39.20,100.00,320.00,8.00,0.00,29.89,M,7.00,M,SCT,OVC,M,M,600.00,1200.00,M,M,M,KEDJ 010310Z AUTO 32008KT 7SM SCT006 OVC012 04/04 A2989 RMK AO1
EDJ,2017-04-01 03:35,-83.8192,40.3723,39.20,39.20,100.00,320.00,9.00,0.00,29.90,M,10.00,M,SCT,OVC,M,M,500.00,1000.00,M,M,M,KEDJ 010335Z AUTO 32009KT 10SM SCT005 OVC010 04/04 A2990 RMK AO1
EDJ,2017-04-01 03:55,-83.8192,40.3723,39.20,39.20,100.00,310.00,8.00,0.00,29.90,M,9.00,M,BKN,OVC,M,M,500.00,900.00,M,M,M,KEDJ 010355Z AUTO 31008KT 9SM BKN005 OVC009 04/04 A2990 RMK AO1
EDJ,2017-04-01 04:10,-83.8192,40.3723,39.20,39.20,100.00,320.00,10.00,0.00,29.91,M,6.00,M,OVC,M,M,M,300.00,M,M,M,M,KEDJ 010410Z AUTO 32010KT 6SM OVC003 04/04 A2991 RMK AO1
EDJ,2017-04-01 04:35,-83.8192,40.3723,37.40,37.40,100.00,310.00,9.00,0.00,29.92,M,4.00,M,BKN,OVC,M,M,300.00,700.00,M,M,M,KEDJ 010435Z AUTO 31009KT 4SM BKN003 OVC007 03/03 A2992 RMK AO1
EDJ,2017-04-01 04:55,-83.8192,40.3723,37.40,37.40,100.00,330.00,10.00,0.00,29.93,M,3.00,15.00,SCT,OVC,M,M,500.00,900.00,M,M,M,KEDJ 010455Z AUTO 33010G15KT 3SM SCT005 OVC009 03/03 A2993 RMK AO1
EDJ,2017-04-01 05:10,-83.8192,40.3723,37.40,37.40,100.00,320.00,11.00,0.00,29.94,M,5.00,14.00,BKN,BKN,M,M,500.00,900.00,M,M,M,KEDJ 010510Z AUTO 32011G14KT 5SM BKN005 BKN009 03/03 A2994 RMK AO1
EDJ,2017-04-01 05:35,-83.8192,40.3723,37.40,37.40,100.00,330.00,9.00,0.00,29.95,M,5.00,M,OVC,M,M,M,600.00,M,M,M,M,KEDJ 010535Z AUTO 33009KT 5SM OVC006 03/03 A2995 RMK AO1
EDJ,2017-04-01 05:55,-83.8192,40.3723,37.40,37.40,100.00,340.00,10.00,0.00,29.95,M,6.00,16.00,BKN,OVC,M,M,500.00,2300.00,M,M,M,KEDJ 010555Z AUTO 34010G16KT 6SM BKN005 OVC023 03/03 A2995 RMK AO1
EDJ,2017-04-01 06:10,-83.8192,40.3723,37.40,37.40,100.00,330.00,8.00,0.00,29.96,M,9.00,M,BKN,OVC,M,M,500.00,2200.00,M,M,M,KEDJ 010610Z AUTO 33008KT 9SM BKN005 OVC022 03/03 A2996 RMK AO1
EDJ,2017-04-01 06:35,-83.8192,40.3723,37.40,37.40,100.00,330.00,10.00,0.00,29.96,M,6.00,15.00,OVC,M,M,M,400.00,M,M,M,M,KEDJ 010635Z AUTO 33010G15KT 6SM OVC004 03/03 A2996 RMK AO1
EDJ,2017-04-01 06:55,-83.8192,40.3723,37.40,37.40,100.00,340.00,8.00,0.00,29.97,M,6.00,M,OVC,M,M,M,300.00,M,M,M,M,KEDJ 010655Z AUTO 34008KT 6SM OVC003 03/03 A2997 RMK AO1
EDJ,2017-04-01 07:10,-83.8192,40.3723,35.60,35.60,100.00,320.00,8.00,0.00,29.98,M,5.00,M,OVC,M,M,M,300.00,M,M,M,M,KEDJ 010710Z AUTO 32008KT 5SM OVC003 02/02 A2998 RMK AO1
EDJ,2017-04-01 07:35,-83.8192,40.3723,35.60,35.60,100.00,330.00,8.00,0.00,29.99,M,5.00,16.00,OVC,M,M,M,400.00,M,M,M,M,KEDJ 010735Z AUTO 33008G16KT 5SM OVC004 02/02 A2999 RMK AO1
EDJ,2017-04-01 07:55,-83.8192,40.3723,35.60,35.60,100.00,330.00,9.00,0.00,29.99,M,5.00,M,OVC,M,M,M,600.00,M,M,M,M,KEDJ 010755Z AUTO 33009KT 5SM OVC006 02/02 A2999 RMK AO1
EDJ,2017-04-01 08:10,-83.8192,40.3723,35.60,35.60,100.00,330.00,9.00,0.00,30.00,M,8.00,M,OVC,M,M,M,600.00,M,M,M,M,KEDJ 010810Z AUTO 33009KT 8SM OVC006 02/02 A3000 RMK AO1
EDJ,2017-04-01 08:35,-83.8192,40.3723,35.60,35.60,100.00,350.00,10.00,0.00,29.99,M,4.00,M,OVC,M,M,M,500.00,M,M,M,M,KEDJ 010835Z AUTO 35010KT 4SM OVC005 02/02 A2999 RMK AO1
EDJ,2017-04-01 08:55,-83.8192,40.3723,35.60,35.60,100.00,340.00,10.00,0.00,29.99,M,8.00,M,BKN,OVC,M,M,500.00,1200.00,M,M,M,KEDJ 010855Z AUTO 34010KT 8SM BKN005 OVC012 02/02 A2999 RMK AO1
EDJ,2017-04-01 09:10,-83.8192,40.3723,35.60,35.60,100.00,330.00,7.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KEDJ 010910Z AUTO 33007KT 10SM OVC010 02/02 A3000 RMK AO1
EDJ,2017-04-01 09:35,-83.8192,40.3723,35.60,35.60,100.00,350.00,13.00,0.00,30.02,M,10.00,M,BKN,OVC,M,M,600.00,1000.00,M,M,M,KEDJ 010935Z AUTO 35013KT 10SM BKN006 OVC010 02/02 A3002 RMK AO1
EDJ,2017-04-01 09:55,-83.8192,40.3723,35.60,35.60,100.00,360.00,11.00,0.00,30.03,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KEDJ 010955Z AUTO 36011KT 10SM OVC006 02/02 A3003 RMK AO1
EDJ,2017-04-01 10:10,-83.8192,40.3723,35.60,35.60,100.00,360.00,13.00,0.00,30.03,M,10.00,16.00,OVC,M,M,M,600.00,M,M,M,M,KEDJ 011010Z AUTO 36013G16KT 10SM OVC006 02/02 A3003 RMK AO1
EDJ,2017-04-01 10:35,-83.8192,40.3723,35.60,35.60,100.00,350.00,11.00,0.00,30.04,M,10.00,18.00,OVC,M,M,M,600.00,M,M,M,M,KEDJ 011035Z AUTO 35011G18KT 10SM OVC006 02/02 A3004 RMK AO1
EDJ,2017-04-01 10:55,-83.8192,40.3723,35.60,35.60,100.00,360.00,13.00,0.00,30.06,M,10.00,M,BKN,OVC,M,M,600.00,1100.00,M,M,M,KEDJ 011055Z AUTO 36013KT 10SM BKN006 OVC011 02/02 A3006 RMK AO1
EDJ,2017-04-01 11:10,-83.8192,40.3723,35.60,35.60,100.00,360.00,10.00,0.00,30.07,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011110Z AUTO 36010KT 10SM OVC009 02/02 A3007 RMK AO1
EDJ,2017-04-01 11:35,-83.8192,40.3723,35.60,35.60,100.00,10.00,11.00,0.00,30.08,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011135Z AUTO 01011KT 10SM OVC009 02/02 A3008 RMK AO1
EDJ,2017-04-01 11:55,-83.8192,40.3723,35.60,35.60,100.00,360.00,9.00,0.00,30.10,M,9.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011155Z AUTO 36009KT 9SM OVC009 02/02 A3010 RMK AO1
EDJ,2017-04-01 12:10,-83.8192,40.3723,35.60,35.60,100.00,340.00,8.00,0.00,30.10,M,7.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011210Z AUTO 34008KT 7SM OVC009 02/02 A3010 RMK AO1
EDJ,2017-04-01 12:35,-83.8192,40.3723,35.60,35.60,100.00,360.00,11.00,0.00,30.12,M,9.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011235Z AUTO 36011KT 9SM OVC009 02/02 A3012 RMK AO1
EDJ,2017-04-01 12:55,-83.8192,40.3723,35.60,35.60,100.00,360.00,10.00,0.00,30.12,M,5.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011255Z AUTO 36010KT 5SM OVC009 02/02 A3012 RMK AO1
EDJ,2017-04-01 13:10,-83.8192,40.3723,35.60,35.60,100.00,10.00,11.00,0.00,30.12,M,5.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011310Z AUTO 01011KT 5SM OVC009 02/02 A3012 RMK AO1
EDJ,2017-04-01 13:35,-83.8192,40.3723,35.60,35.60,100.00,10.00,10.00,0.00,30.12,M,5.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011335Z AUTO 01010KT 5SM OVC009 02/02 A3012 RMK AO1
EDJ,2017-04-01 13:55,-83.8192,40.3723,35.60,35.60,100.00,360.00,10.00,0.00,30.13,M,6.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011355Z AUTO 36010KT 6SM OVC009 02/02 A3013 RMK AO1
EDJ,2017-04-01 14:10,-83.8192,40.3723,35.60,35.60,100.00,10.00,7.00,0.00,30.14,M,10.00,M,BKN,OVC,M,M,1100.00,1400.00,M,M,M,KEDJ 011410Z AUTO 01007KT 10SM BKN011 OVC014 02/02 A3014 RMK AO1
EDJ,2017-04-01 14:35,-83.8192,40.3723,37.40,35.60,93.14,360.00,7.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEDJ 011435Z AUTO 36007KT 10SM OVC011 03/02 A3015 RMK AO1
EDJ,2017-04-01 14:55,-83.8192,40.3723,37.40,35.60,93.14,360.00,8.00,0.00,30.17,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011455Z AUTO 36008KT 10SM OVC009 03/02 A3017 RMK AO1
EDJ,2017-04-01 15:10,-83.8192,40.3723,37.40,35.60,93.14,360.00,7.00,0.00,30.17,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011510Z AUTO 36007KT 10SM OVC009 03/02 A3017 RMK AO1
EDJ,2017-04-01 15:35,-83.8192,40.3723,37.40,35.60,93.14,10.00,8.00,0.00,30.17,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011535Z AUTO 01008KT 10SM OVC009 03/02 A3017 RMK AO1
EDJ,2017-04-01 15:50,-83.8192,40.3723,37.40,35.60,93.14,350.00,8.00,0.00,30.16,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KEDJ 011550Z AUTO 35008KT 10SM OVC009 03/02 A3016 RMK AO1
EDJ,2017-04-01 16:10,-83.8192,40.3723,37.40,35.60,93.14,340.00,8.00,0.00,30.16,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEDJ 011610Z AUTO 34008KT 10SM OVC011 03/02 A3016 RMK AO1
EDJ,2017-04-01 16:35,-83.8192,40.3723,37.40,35.60,93.14,350.00,8.00,0.00,30.16,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEDJ 011635Z AUTO 35008KT 10SM OVC011 03/02 A3016 RMK AO1
EDJ,2017-04-01 16:50,-83.8192,40.3723,37.40,35.60,93.14,340.00,7.00,0.00,30.16,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEDJ 011650Z AUTO 34007KT 10SM OVC011 03/02 A3016 RMK AO1
EDJ,2017-04-01 17:10,-83.8192,40.3723,37.40,35.60,93.14,340.00,7.00,0.00,30.16,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEDJ 011710Z AUTO 34007KT 10SM OVC011 03/02 A3016 RMK AO1
EDJ,2017-04-01 17:35,-83.8192,40.3723,37.40,35.60,93.14,330.00,9.00,0.00,30.17,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEDJ 011735Z AUTO 33009KT 10SM OVC011 03/02 A3017 RMK AO1
EDJ,2017-04-01 17:50,-83.8192,40.3723,37.40,35.60,93.14,320.00,6.00,0.00,30.18,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KEDJ 011750Z AUTO 32006KT 10SM OVC013 03/02 A3018 RMK AO1
EDJ,2017-04-01 18:10,-83.8192,40.3723,39.20,35.60,86.79,320.00,6.00,0.00,30.18,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KEDJ 011810Z AUTO 32006KT 10SM OVC013 04/02 A3018 RMK AO1
EDJ,2017-04-01 18:35,-83.8192,40.3723,39.20,35.60,86.79,340.00,5.00,0.00,30.17,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KEDJ 011835Z AUTO 34005KT 10SM OVC013 04/02 A3017 RMK AO1
EDJ,2017-04-01 18:50,-83.8192,40.3723,39.20,35.60,86.79,330.00,5.00,0.00,30.18,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KEDJ 011850Z AUTO 33005KT 10SM OVC013 04/02 A3018 RMK AO1
