#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EEN,2017-04-01 00:00,-72.2700,42.9000,M,M,M,360.00,5.00,M,30.01,M,4.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010000Z AUTO 36005KT 4SM -SN BR FEW016 OVC027 A3001 RMK MADISHF
EEN,2017-04-01 00:05,-72.2700,42.9000,M,M,M,30.00,6.00,M,30.01,M,4.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010005Z AUTO 03006KT 4SM -SN BR FEW016 OVC027 A3001 RMK MADISHF
EEN,2017-04-01 00:10,-72.2700,42.9000,M,M,M,20.00,6.00,M,30.01,M,5.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010010Z AUTO 02006KT 5SM -SN BR FEW016 OVC027 A3001 RMK MADISHF
EEN,2017-04-01 00:15,-72.2700,42.9000,M,M,M,30.00,6.00,M,30.01,M,6.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010015Z AUTO 03006KT 6SM -SN BR FEW016 OVC027 A3001 RMK MADISHF
EEN,2017-04-01 00:20,-72.2700,42.9000,M,M,M,40.00,7.00,0.01,30.01,M,6.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010020Z AUTO 04007KT 6SM -SN BR FEW016 OVC027 A3001 RMK P0001 WND 01V10  MADISHF
EEN,2017-04-01 00:25,-72.2700,42.9000,M,M,M,0.00,0.00,0.01,30.01,M,5.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010025Z AUTO 00000KT 5SM -SN BR FEW016 OVC027 A3001 RMK P0001 MADISHF
EEN,2017-04-01 00:30,-72.2700,42.9000,M,M,M,60.00,6.00,0.02,30.01,M,4.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010030Z AUTO 06006KT 4SM -SN BR FEW016 OVC027 A3001 RMK P0002 VRB06KT  MADISHF
EEN,2017-04-01 00:35,-72.2700,42.9000,M,M,M,30.00,6.00,0.02,30.01,M,5.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010035Z AUTO 03006KT 5SM -SN BR FEW016 OVC027 A3001 RMK P0002 MADISHF
EEN,2017-04-01 00:40,-72.2700,42.9000,M,M,M,50.00,4.00,0.02,30.01,M,6.00,M,FEW,OVC,M,M,1600.00,2700.00,M,M,-SN BR,KEEN 010040Z AUTO 05004KT 6SM -SN BR FEW016 OVC027 A3001 RMK P0002 VRB04KT  MADISHF
EEN,2017-04-01 00:45,-72.2700,42.9000,M,M,M,20.00,3.00,0.03,30.01,M,5.00,M,OVC,M,M,M,2700.00,M,M,M,-SN BR,KEEN 010045Z AUTO 02003KT 5SM -SN BR OVC027 A3001 RMK P0003 VRB03KT  MADISHF
EEN,2017-04-01 00:50,-72.2700,42.9000,M,M,M,20.00,4.00,0.03,30.01,M,4.00,M,OVC,M,M,M,2700.00,M,M,M,-SN BR,KEEN 010050Z AUTO 02004KT 4SM -SN BR OVC027 A3001 RMK P0003 MADISHF
