#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EET,2017-04-01 00:00,-86.7800,33.1800,M,M,M,300.00,4.00,M,29.88,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010000Z AUTO 30004KT 9SM CLR A2988 RMK MADISHF
EET,2017-04-01 00:05,-86.7800,33.1800,M,M,M,310.00,4.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010005Z AUTO 31004KT 10SM CLR A2988 RMK MADISHF
EET,2017-04-01 00:10,-86.7800,33.1800,M,M,M,290.00,4.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010010Z AUTO 29004KT 10SM CLR A2988 RMK MADISHF
EET,2017-04-01 00:15,-86.7800,33.1800,M,M,M,290.00,3.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010015Z AUTO 29003KT 10SM CLR A2989 RMK MADISHF
EET,2017-04-01 00:20,-86.7800,33.1800,M,M,M,300.00,4.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010020Z AUTO 30004KT 10SM CLR A2989 RMK MADISHF
EET,2017-04-01 00:25,-86.7800,33.1800,M,M,M,300.00,3.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010025Z AUTO 30003KT 10SM CLR A2989 RMK MADISHF
EET,2017-04-01 00:30,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010030Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
EET,2017-04-01 00:35,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010035Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
EET,2017-04-01 00:40,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010040Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
EET,2017-04-01 00:45,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010045Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
EET,2017-04-01 00:50,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010050Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
EET,2017-04-01 00:53,-86.7800,33.1800,64.90,50.00,58.47,0.00,0.00,0.00,29.90,1012.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010053Z AUTO 00000KT 10SM CLR 18/10 A2990 RMK AO2 SLP120 T01830100
EET,2017-04-01 00:55,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010055Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
EET,2017-04-01 01:00,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010100Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
EET,2017-04-01 01:05,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010105Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
EET,2017-04-01 01:10,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010110Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
EET,2017-04-01 01:15,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010115Z AUTO 00000KT 10SM CLR A2991 RMK MADISHF
EET,2017-04-01 01:20,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010120Z AUTO 00000KT 10SM CLR A2991 RMK MADISHF
EET,2017-04-01 01:25,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010125Z AUTO 00000KT 10SM CLR A2991 RMK MADISHF
EET,2017-04-01 01:30,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010130Z AUTO 00000KT 10SM CLR A2991 RMK MADISHF
EET,2017-04-01 01:35,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010135Z AUTO 00000KT 10SM CLR A2991 RMK MADISHF
EET,2017-04-01 01:40,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010140Z AUTO 00000KT 10SM CLR A2992 RMK MADISHF
EET,2017-04-01 01:45,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010145Z AUTO 00000KT 10SM CLR A2992 RMK MADISHF
EET,2017-04-01 01:50,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010150Z AUTO 00000KT 10SM CLR A2992 RMK MADISHF
EET,2017-04-01 01:53,-86.7800,33.1800,62.10,52.00,69.46,0.00,0.00,0.00,29.92,1012.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010153Z AUTO 00000KT 10SM CLR 17/11 A2992 RMK AO2 SLP128 T01670111
EET,2017-04-01 01:55,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010155Z AUTO 00000KT 10SM CLR A2992 RMK MADISHF
EET,2017-04-01 02:00,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010200Z AUTO 00000KT 10SM CLR A2992 RMK MADISHF
EET,2017-04-01 02:05,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010205Z AUTO 00000KT 10SM CLR A2993 RMK MADISHF
EET,2017-04-01 02:10,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010210Z AUTO 00000KT 10SM CLR A2993 RMK MADISHF
EET,2017-04-01 02:15,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010215Z AUTO 00000KT 10SM CLR A2993 RMK MADISHF
EET,2017-04-01 02:20,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010220Z AUTO 00000KT 10SM CLR A2993 RMK MADISHF
EET,2017-04-01 02:25,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010225Z AUTO 00000KT 10SM CLR A2993 RMK MADISHF
EET,2017-04-01 02:30,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010230Z AUTO 00000KT 10SM CLR A2994 RMK MADISHF
EET,2017-04-01 02:35,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010235Z AUTO 00000KT 10SM CLR A2994 RMK MADISHF
EET,2017-04-01 02:40,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010240Z AUTO 00000KT 10SM CLR A2994 RMK MADISHF
EET,2017-04-01 02:45,-86.7800,33.1800,M,M,M,0.00,0.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEET 010245Z AUTO 00000KT 10SM CLR A2994 RMK MADISHF
