#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EFK,2017-04-01 00:15,-72.2292,44.8888,31.80,31.50,98.80,110.00,5.00,0.00,30.00,M,1.50,M,SCT,BKN,OVC,M,300.00,800.00,1400.00,M,-SN,KEFK 010015Z AUTO 11005KT 1 1/2SM -SN SCT003 BKN008 OVC014 00/00 A3000 RMK AO2 T10011003
EFK,2017-04-01 00:35,-72.2292,44.8888,31.60,30.60,96.03,110.00,7.00,0.00,30.00,M,1.75,M,SCT,OVC,M,M,900.00,1400.00,M,M,-SN,KEFK 010035Z AUTO 11007KT 1 3/4SM -SN SCT009 OVC014 00/M01 A3000 RMK AO2 T10021008
EFK,2017-04-01 00:55,-72.2292,44.8888,31.50,30.20,94.87,100.00,4.00,0.00,30.00,M,1.50,M,BKN,OVC,M,M,900.00,1400.00,M,M,-SN,KEFK 010055Z AUTO 10004KT 1 1/2SM -SN BKN009 OVC014 00/M01 A3000 RMK AO2 T10031010
EFK,2017-04-01 01:15,-72.2292,44.8888,31.10,30.20,96.42,100.00,5.00,0.00,30.00,M,1.50,M,OVC,M,M,M,900.00,M,M,M,-SN,KEFK 010115Z AUTO 10005KT 1 1/2SM -SN OVC009 00/M01 A3000 RMK AO2 T10051010
EFK,2017-04-01 01:35,-72.2292,44.8888,30.90,30.20,97.20,100.00,5.00,0.00,30.00,M,1.50,M,OVC,M,M,M,900.00,M,M,M,-SN,KEFK 010135Z AUTO 10005KT 1 1/2SM -SN OVC009 M01/M01 A3000 RMK AO2 T10061010
EFK,2017-04-01 01:55,-72.2292,44.8888,30.90,30.20,97.20,100.00,5.00,0.00,30.00,M,1.00,M,OVC,M,M,M,700.00,M,M,M,SN,KEFK 010155Z AUTO 10005KT 1SM SN OVC007 M01/M01 A3000 RMK AO2 T10061010
EFK,2017-04-01 02:15,-72.2292,44.8888,30.70,30.20,97.99,100.00,4.00,0.00,29.98,M,1.00,M,OVC,M,M,M,700.00,M,M,M,SN,KEFK 010215Z AUTO 10004KT 1SM SN OVC007 M01/M01 A2998 RMK AO2 T10071010
EFK,2017-04-01 02:35,-72.2292,44.8888,30.60,30.00,97.59,90.00,3.00,0.00,29.97,M,1.75,M,OVC,M,M,M,1000.00,M,M,M,-SN,KEFK 010235Z AUTO 09003KT 1 3/4SM -SN OVC010 M01/M01 A2997 RMK AO2 T10081011
EFK,2017-04-01 02:55,-72.2292,44.8888,30.60,29.80,96.80,100.00,3.00,0.00,29.97,M,2.00,M,SCT,OVC,M,M,400.00,1000.00,M,M,-SN,KEFK 010255Z AUTO 10003KT 2SM -SN SCT004 OVC010 M01/M01 A2997 RMK AO2 T10081012
EFK,2017-04-01 03:15,-72.2292,44.8888,30.60,29.80,96.80,100.00,3.00,0.00,29.96,M,2.50,M,OVC,M,M,M,1200.00,M,M,M,-SN,KEFK 010315Z AUTO 10003KT 2 1/2SM -SN OVC012 M01/M01 A2996 RMK AO2 T10081012
