#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EKN,2017-04-01 00:00,-79.8528,38.8853,M,M,M,270.00,6.00,M,29.72,M,10.00,M,SCT,BKN,OVC,M,1900.00,3100.00,3800.00,M,-RA,KEKN 010000Z AUTO 27006KT 10SM -RA SCT019 BKN031 OVC038 A2972 RMK MADISHF
EKN,2017-04-01 00:05,-79.8528,38.8853,M,M,M,270.00,8.00,M,29.72,M,10.00,M,SCT,BKN,OVC,M,1900.00,2900.00,3500.00,M,-RA,KEKN 010005Z AUTO 27008KT 10SM -RA SCT019 BKN029 OVC035 A2972 RMK MADISHF
EKN,2017-04-01 00:10,-79.8528,38.8853,M,M,M,270.00,10.00,M,29.72,M,10.00,M,SCT,BKN,OVC,M,1900.00,2800.00,3500.00,M,-RA,KEKN 010010Z AUTO 27010KT 10SM -RA SCT019 BKN028 OVC035 A2972 RMK MADISHF
EKN,2017-04-01 00:11,-79.8528,38.8853,50.00,44.10,80.06,270.00,9.00,0.00,29.72,M,10.00,17.00,SCT,BKN,OVC,M,1900.00,2500.00,3500.00,M,-RA,KEKN 010011Z AUTO 27009G17KT 10SM -RA SCT019 BKN025 OVC035 10/07 A2972 RMK AO2 P0000 T01000067
EKN,2017-04-01 00:15,-79.8528,38.8853,M,M,M,260.00,9.00,M,29.73,M,10.00,M,SCT,BKN,OVC,M,1900.00,2700.00,3200.00,M,-RA,KEKN 010015Z AUTO 26009KT 10SM -RA SCT019 BKN027 OVC032 A2973 RMK MADISHF
EKN,2017-04-01 00:20,-79.8528,38.8853,M,M,M,270.00,10.00,M,29.73,M,10.00,M,SCT,BKN,OVC,M,1699.00,2500.00,3200.00,M,-RA,KEKN 010020Z AUTO 27010KT 10SM -RA SCT016 BKN025 OVC032 A2973 RMK MADISHF
EKN,2017-04-01 00:25,-79.8528,38.8853,M,M,M,280.00,12.00,M,29.73,M,10.00,M,SCT,OVC,M,M,1699.00,2500.00,M,M,M,KEKN 010025Z AUTO 28012KT 10SM SCT016 OVC025 A2973 RMK MADISHF
EKN,2017-04-01 00:30,-79.8528,38.8853,M,M,M,270.00,9.00,M,29.73,M,10.00,14.00,SCT,OVC,M,M,1699.00,2500.00,M,M,M,KEKN 010030Z AUTO 27009G14KT 10SM SCT016 OVC025 A2973 RMK MADISHF
EKN,2017-04-01 00:35,-79.8528,38.8853,M,M,M,270.00,7.00,M,29.73,M,10.00,M,SCT,OVC,M,M,1699.00,2500.00,M,M,M,KEKN 010035Z AUTO 27007KT 10SM SCT016 OVC025 A2973 RMK MADISHF
EKN,2017-04-01 00:40,-79.8528,38.8853,M,M,M,270.00,12.00,M,29.74,M,10.00,M,SCT,OVC,M,M,1699.00,2500.00,M,M,M,KEKN 010040Z AUTO 27012KT 10SM SCT016 OVC025 A2974 RMK MADISHF
EKN,2017-04-01 00:45,-79.8528,38.8853,M,M,M,280.00,8.00,M,29.74,M,10.00,M,BKN,OVC,M,M,1600.00,2500.00,M,M,M,KEKN 010045Z AUTO 28008KT 10SM BKN016 OVC025 A2974 RMK MADISHF
EKN,2017-04-01 00:50,-79.8528,38.8853,M,M,M,260.00,6.00,M,29.74,M,9.00,M,BKN,OVC,M,M,1600.00,2500.00,M,M,-RA,KEKN 010050Z AUTO 26006KT 9SM -RA BKN016 OVC025 A2974 RMK MADISHF
EKN,2017-04-01 00:51,-79.8528,38.8853,50.00,44.10,80.06,260.00,5.00,0.00,29.74,1007.40,9.00,19.00,BKN,OVC,M,M,1600.00,2500.00,M,M,-RA,KEKN 010051Z AUTO 26005G19KT 9SM -RA BKN016 OVC025 10/07 A2974 RMK AO2 RAE25B49 SLP074 P0000 T01000067
EKN,2017-04-01 00:55,-79.8528,38.8853,M,M,M,260.00,7.00,M,29.74,M,9.00,M,BKN,OVC,M,M,1600.00,2500.00,M,M,-RA,KEKN 010055Z AUTO 26007KT 9SM -RA BKN016 OVC025 A2974 RMK MADISHF
EKN,2017-04-01 01:00,-79.8528,38.8853,M,M,M,260.00,7.00,M,29.74,M,9.00,M,BKN,OVC,M,M,1600.00,2700.00,M,M,-RA,KEKN 010100Z AUTO 26007KT 9SM -RA BKN016 OVC027 A2974 RMK MADISHF
EKN,2017-04-01 01:05,-79.8528,38.8853,M,M,M,260.00,6.00,M,29.74,M,10.00,M,BKN,OVC,M,M,1600.00,2500.00,M,M,-RA,KEKN 010105Z AUTO 26006KT 10SM -RA BKN016 OVC025 A2974 RMK VRB06KT  MADISHF
EKN,2017-04-01 01:10,-79.8528,38.8853,M,M,M,260.00,8.00,M,29.75,M,10.00,M,BKN,OVC,M,M,1600.00,2500.00,M,M,-RA,KEKN 010110Z AUTO 26008KT 10SM -RA BKN016 OVC025 A2975 RMK MADISHF
EKN,2017-04-01 01:15,-79.8528,38.8853,M,M,M,260.00,8.00,M,29.75,M,10.00,M,BKN,OVC,M,M,1600.00,2500.00,M,M,-RA,KEKN 010115Z AUTO 26008KT 10SM -RA BKN016 OVC025 A2975 RMK MADISHF
EKN,2017-04-01 01:20,-79.8528,38.8853,M,M,M,260.00,5.00,M,29.75,M,10.00,M,BKN,BKN,OVC,M,1600.00,1999.00,2500.00,M,-RA,KEKN 010120Z AUTO 26005KT 10SM -RA BKN016 BKN019 OVC025 A2975 RMK MADISHF
EKN,2017-04-01 01:25,-79.8528,38.8853,M,M,M,250.00,11.00,M,29.75,M,9.00,M,BKN,BKN,OVC,M,1600.00,1999.00,2500.00,M,-RA,KEKN 010125Z AUTO 25011KT 9SM -RA BKN016 BKN019 OVC025 A2975 RMK MADISHF
EKN,2017-04-01 01:30,-79.8528,38.8853,M,M,M,250.00,11.00,M,29.75,M,9.00,M,BKN,BKN,OVC,M,1500.00,1999.00,2500.00,M,-RA,KEKN 010130Z AUTO 25011KT 9SM -RA BKN015 BKN019 OVC025 A2975 RMK MADISHF
EKN,2017-04-01 01:35,-79.8528,38.8853,M,M,M,260.00,8.00,M,29.75,M,9.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010135Z AUTO 26008KT 9SM -RA BKN015 OVC021 A2975 RMK MADISHF
EKN,2017-04-01 01:40,-79.8528,38.8853,M,M,M,270.00,8.00,M,29.76,M,9.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010140Z AUTO 27008KT 9SM -RA BKN015 OVC021 A2976 RMK MADISHF
EKN,2017-04-01 01:45,-79.8528,38.8853,M,M,M,260.00,5.00,M,29.76,M,7.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010145Z AUTO 26005KT 7SM -RA BKN015 OVC021 A2976 RMK MADISHF
EKN,2017-04-01 01:50,-79.8528,38.8853,M,M,M,250.00,5.00,0.01,29.76,M,7.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010150Z AUTO 25005KT 7SM -RA BKN015 OVC021 A2976 RMK P0001 MADISHF
EKN,2017-04-01 01:51,-79.8528,38.8853,48.90,44.10,83.42,250.00,6.00,0.01,29.76,1008.20,7.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010151Z AUTO 25006KT 7SM -RA BKN015 OVC021 09/07 A2976 RMK AO2 SLP082 P0001 T00940067
EKN,2017-04-01 01:55,-79.8528,38.8853,M,M,M,250.00,8.00,M,29.76,M,8.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010155Z AUTO 25008KT 8SM -RA BKN015 OVC021 A2976 RMK MADISHF
EKN,2017-04-01 02:00,-79.8528,38.8853,M,M,M,250.00,6.00,M,29.76,M,7.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010200Z AUTO 25006KT 7SM -RA BKN015 OVC021 A2976 RMK MADISHF
EKN,2017-04-01 02:05,-79.8528,38.8853,M,M,M,260.00,8.00,M,29.76,M,6.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010205Z AUTO 26008KT 6SM -RA BKN015 OVC021 A2976 RMK MADISHF
EKN,2017-04-01 02:10,-79.8528,38.8853,M,M,M,270.00,5.00,M,29.76,M,5.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010210Z AUTO 27005KT 5SM -RA BKN015 OVC021 A2976 RMK MADISHF
EKN,2017-04-01 02:15,-79.8528,38.8853,M,M,M,260.00,6.00,M,29.76,M,6.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,-RA,KEKN 010215Z AUTO 26006KT 6SM -RA BKN015 OVC021 A2976 RMK MADISHF
EKN,2017-04-01 02:20,-79.8528,38.8853,M,M,M,250.00,7.00,M,29.76,M,6.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KEKN 010220Z AUTO 25007KT 6SM -RA OVC015 A2976 RMK MADISHF
EKN,2017-04-01 02:25,-79.8528,38.8853,M,M,M,250.00,7.00,M,29.77,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,-RA,KEKN 010225Z AUTO 25007KT 5SM -RA OVC014 A2977 RMK MADISHF
EKN,2017-04-01 02:28,-79.8528,38.8853,48.90,44.10,83.42,260.00,6.00,0.00,29.76,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,-RA,KEKN 010228Z AUTO 26006KT 5SM -RA OVC014 09/07 A2976 RMK AO2 P0000 T00940067
EKN,2017-04-01 02:30,-79.8528,38.8853,M,M,M,280.00,6.00,M,29.76,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,-RA,KEKN 010230Z AUTO 28006KT 5SM -RA OVC014 A2976 RMK MADISHF
EKN,2017-04-01 02:35,-79.8528,38.8853,M,M,M,270.00,8.00,M,29.76,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,-RA,KEKN 010235Z AUTO 27008KT 5SM -RA OVC014 A2976 RMK MADISHF
EKN,2017-04-01 02:40,-79.8528,38.8853,M,M,M,270.00,7.00,M,29.76,M,7.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KEKN 010240Z AUTO 27007KT 7SM -RA OVC012 A2976 RMK WND 23V31  MADISHF
EKN,2017-04-01 02:45,-79.8528,38.8853,M,M,M,270.00,10.00,M,29.76,M,7.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KEKN 010245Z AUTO 27010KT 7SM -RA OVC012 A2976 RMK MADISHF
EKN,2017-04-01 02:50,-79.8528,38.8853,M,M,M,270.00,4.00,M,29.76,M,7.00,M,OVC,M,M,M,1200.00,M,M,M,M,KEKN 010250Z AUTO 27004KT 7SM OVC012 A2976 RMK VRB04G17KT  MADISHF
EKN,2017-04-01 02:51,-79.8528,38.8853,48.90,44.10,83.42,M,4.00,0.00,29.77,1008.30,7.00,17.00,OVC,M,M,M,1200.00,M,M,M,M,KEKN 010251Z AUTO VRB04G17KT 7SM OVC012 09/07 A2977 RMK AO2 RAE46 SLP083 P0000 60001 T00940067 51014
EKN,2017-04-01 02:55,-79.8528,38.8853,M,M,M,270.00,9.00,M,29.76,M,8.00,M,OVC,M,M,M,1200.00,M,M,M,M,KEKN 010255Z AUTO 27009KT 8SM OVC012 A2976 RMK MADISHF
EKN,2017-04-01 03:00,-79.8528,38.8853,M,M,M,270.00,9.00,M,29.77,M,8.00,14.00,OVC,M,M,M,999.00,M,M,M,M,KEKN 010300Z AUTO 27009G14KT 8SM OVC009 A2977 RMK CIG 8V15  MADISHF
EKN,2017-04-01 03:05,-79.8528,38.8853,M,M,M,270.00,6.00,M,29.77,M,8.00,M,OVC,M,M,M,999.00,M,M,M,M,KEKN 010305Z AUTO 27006KT 8SM OVC009 A2977 RMK CIG 8V12  MADISHF
EKN,2017-04-01 03:10,-79.8528,38.8853,M,M,M,260.00,11.00,M,29.77,M,7.00,M,OVC,M,M,M,999.00,M,M,M,M,KEKN 010310Z AUTO 26011KT 7SM OVC009 A2977 RMK CIG 8V13  MADISHF
EKN,2017-04-01 03:15,-79.8528,38.8853,M,M,M,270.00,7.00,M,29.77,M,7.00,M,OVC,M,M,M,999.00,M,M,M,-RA,KEKN 010315Z AUTO 27007KT 7SM -RA OVC009 A2977 RMK MADISHF
EKN,2017-04-01 03:20,-79.8528,38.8853,M,M,M,270.00,8.00,M,29.77,M,7.00,M,OVC,M,M,M,900.00,M,M,M,-RA,KEKN 010320Z AUTO 27008KT 7SM -RA OVC009 A2977 RMK CIG 8V13  MADISHF
EKN,2017-04-01 03:23,-79.8528,38.8853,48.90,45.00,86.33,250.00,8.00,0.00,29.77,M,7.00,M,OVC,M,M,M,900.00,M,M,M,M,KEKN 010323Z AUTO 25008KT 7SM OVC009 09/07 A2977 RMK AO2 RAB13E21 CIG 007V013 P0000 T00940072
EKN,2017-04-01 03:25,-79.8528,38.8853,M,M,M,250.00,11.00,M,29.77,M,6.00,M,OVC,M,M,M,900.00,M,M,M,BR,KEKN 010325Z AUTO 25011KT 6SM BR OVC009 A2977 RMK CIG 7V13  MADISHF
EKN,2017-04-01 03:30,-79.8528,38.8853,M,M,M,270.00,10.00,M,29.77,M,6.00,M,OVC,M,M,M,900.00,M,M,M,BR,KEKN 010330Z AUTO 27010KT 6SM BR OVC009 A2977 RMK WND 23V30 CIG 7V13  MADISHF
EKN,2017-04-01 03:35,-79.8528,38.8853,M,M,M,270.00,9.00,M,29.77,M,6.00,M,OVC,M,M,M,900.00,M,M,M,BR,KEKN 010335Z AUTO 27009KT 6SM BR OVC009 A2977 RMK CIG 7V13  MADISHF
EKN,2017-04-01 03:40,-79.8528,38.8853,M,M,M,250.00,9.00,M,29.77,M,8.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEKN 010340Z AUTO 25009KT 8SM OVC011 A2977 RMK MADISHF
EKN,2017-04-01 03:43,-79.8528,38.8853,48.90,44.10,83.42,270.00,8.00,0.00,29.77,M,8.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEKN 010343Z AUTO 27008KT 8SM OVC011 09/07 A2977 RMK AO2 RAB13E21 P0000 T00940067
EKN,2017-04-01 03:45,-79.8528,38.8853,M,M,M,280.00,6.00,M,29.77,M,9.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEKN 010345Z AUTO 28006KT 9SM OVC011 A2977 RMK VRB06G14KT  MADISHF
EKN,2017-04-01 03:50,-79.8528,38.8853,M,M,M,280.00,11.00,M,29.77,M,10.00,16.00,OVC,M,M,M,1100.00,M,M,M,M,KEKN 010350Z AUTO 28011G16KT 10SM OVC011 A2977 RMK MADISHF
EKN,2017-04-01 03:51,-79.8528,38.8853,48.90,44.10,83.42,280.00,10.00,0.00,29.77,1008.40,10.00,16.00,OVC,M,M,M,1100.00,M,M,M,M,KEKN 010351Z AUTO 28010G16KT 10SM OVC011 09/07 A2977 RMK AO2 RAB13E21 SLP084 P0000 T00940067
EKN,2017-04-01 03:55,-79.8528,38.8853,M,M,M,260.00,10.00,M,29.77,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KEKN 010355Z AUTO 26010KT 10SM OVC011 A2977 RMK MADISHF
