#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EKO,2017-04-01 00:00,-115.7860,40.8242,M,M,M,360.00,11.00,M,29.97,M,10.00,M,SCT,OVC,M,M,4700.00,5500.00,M,M,M,KEKO 010000Z AUTO 36011KT 10SM SCT047 OVC055 A2997 RMK MADISHF
EKO,2017-04-01 00:05,-115.7860,40.8242,M,M,M,360.00,12.00,M,29.97,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010005Z AUTO 36012KT 10SM OVC055 A2997 RMK MADISHF
EKO,2017-04-01 00:10,-115.7860,40.8242,M,M,M,10.00,13.00,M,29.98,M,10.00,M,FEW,OVC,M,M,4700.00,5500.00,M,M,M,KEKO 010010Z AUTO 01013KT 10SM FEW047 OVC055 A2998 RMK MADISHF
EKO,2017-04-01 00:15,-115.7860,40.8242,M,M,M,360.00,9.00,M,29.98,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010015Z AUTO 36009KT 10SM OVC055 A2998 RMK MADISHF
EKO,2017-04-01 00:20,-115.7860,40.8242,M,M,M,10.00,11.00,M,29.98,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010020Z AUTO 01011KT 10SM OVC055 A2998 RMK MADISHF
EKO,2017-04-01 00:25,-115.7860,40.8242,M,M,M,10.00,9.00,M,29.99,M,10.00,M,FEW,OVC,M,M,4700.00,5500.00,M,M,M,KEKO 010025Z AUTO 01009KT 10SM FEW047 OVC055 A2999 RMK MADISHF
EKO,2017-04-01 00:30,-115.7860,40.8242,M,M,M,360.00,10.00,M,29.99,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010030Z AUTO 36010KT 10SM OVC055 A2999 RMK MADISHF
EKO,2017-04-01 00:35,-115.7860,40.8242,M,M,M,360.00,8.00,M,29.99,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010035Z AUTO 36008KT 10SM OVC055 A2999 RMK MADISHF
EKO,2017-04-01 00:40,-115.7860,40.8242,M,M,M,360.00,9.00,M,29.99,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010040Z AUTO 36009KT 10SM OVC055 A2999 RMK MADISHF
EKO,2017-04-01 00:45,-115.7860,40.8242,M,M,M,360.00,7.00,M,30.00,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010045Z AUTO 36007KT 10SM OVC055 A3000 RMK MADISHF
EKO,2017-04-01 00:50,-115.7860,40.8242,M,M,M,10.00,7.00,M,30.00,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010050Z AUTO 01007KT 10SM OVC055 A3000 RMK MADISHF
EKO,2017-04-01 00:55,-115.7860,40.8242,M,M,M,350.00,9.00,M,30.00,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010055Z AUTO 35009KT 10SM OVC055 A3000 RMK MADISHF
EKO,2017-04-01 00:56,-115.7860,40.8242,48.90,30.90,49.63,350.00,9.00,0.00,30.00,1015.60,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010056Z AUTO 35009KT 10SM OVC050 09/M01 A3000 RMK AO2 SLP156 T00941006
EKO,2017-04-01 01:00,-115.7860,40.8242,M,M,M,350.00,7.00,M,30.00,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010100Z AUTO 35007KT 10SM OVC050 A3000 RMK MADISHF
EKO,2017-04-01 01:05,-115.7860,40.8242,M,M,M,350.00,9.00,M,30.00,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010105Z AUTO 35009KT 10SM OVC050 A3000 RMK MADISHF
EKO,2017-04-01 01:10,-115.7860,40.8242,M,M,M,350.00,13.00,M,30.01,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010110Z AUTO 35013KT 10SM OVC050 A3001 RMK MADISHF
EKO,2017-04-01 01:15,-115.7860,40.8242,M,M,M,350.00,12.00,M,30.01,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010115Z AUTO 35012KT 10SM OVC050 A3001 RMK MADISHF
EKO,2017-04-01 01:20,-115.7860,40.8242,M,M,M,350.00,11.00,M,30.01,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010120Z AUTO 35011KT 10SM OVC050 A3001 RMK MADISHF
EKO,2017-04-01 01:25,-115.7860,40.8242,M,M,M,350.00,11.00,M,30.01,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010125Z AUTO 35011KT 10SM OVC055 A3001 RMK MADISHF
EKO,2017-04-01 01:30,-115.7860,40.8242,M,M,M,350.00,13.00,M,30.01,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010130Z AUTO 35013KT 10SM OVC055 A3001 RMK MADISHF
EKO,2017-04-01 01:35,-115.7860,40.8242,M,M,M,360.00,9.00,M,30.01,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010135Z AUTO 36009KT 10SM OVC055 A3001 RMK MADISHF
EKO,2017-04-01 01:40,-115.7860,40.8242,M,M,M,340.00,10.00,M,30.01,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010140Z AUTO 34010KT 10SM OVC055 A3001 RMK MADISHF
EKO,2017-04-01 01:45,-115.7860,40.8242,M,M,M,350.00,12.00,M,30.01,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010145Z AUTO 35012KT 10SM OVC055 A3001 RMK MADISHF
EKO,2017-04-01 01:50,-115.7860,40.8242,M,M,M,350.00,10.00,M,30.01,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010150Z AUTO 35010KT 10SM OVC055 A3001 RMK MADISHF
EKO,2017-04-01 01:55,-115.7860,40.8242,M,M,M,350.00,15.00,M,30.02,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010155Z AUTO 35015KT 10SM OVC050 A3002 RMK MADISHF
EKO,2017-04-01 01:56,-115.7860,40.8242,48.00,30.00,49.49,350.00,13.00,0.00,30.02,1016.20,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010156Z AUTO 35013KT 10SM OVC050 09/M01 A3002 RMK AO2 SLP162 T00891011
EKO,2017-04-01 02:00,-115.7860,40.8242,M,M,M,350.00,15.00,M,30.02,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KEKO 010200Z AUTO 35015KT 10SM OVC050 A3002 RMK MADISHF
EKO,2017-04-01 02:05,-115.7860,40.8242,M,M,M,M,M,M,30.02,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010205Z AUTO /////KT 10SM OVC055 A3002 RMK MADISHF
EKO,2017-04-01 02:10,-115.7860,40.8242,M,M,M,340.00,15.00,M,30.02,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010210Z AUTO 34015KT 10SM OVC055 A3002 RMK MADISHF
EKO,2017-04-01 02:15,-115.7860,40.8242,M,M,M,M,M,M,30.02,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010215Z AUTO /////KT 10SM OVC055 A3002 RMK MADISHF
EKO,2017-04-01 02:20,-115.7860,40.8242,M,M,M,340.00,14.00,M,30.02,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010220Z AUTO 34014KT 10SM OVC055 A3002 RMK MADISHF
EKO,2017-04-01 02:25,-115.7860,40.8242,M,M,M,M,M,M,30.02,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010225Z AUTO /////KT 10SM OVC055 A3002 RMK MADISHF
EKO,2017-04-01 02:30,-115.7860,40.8242,M,M,M,340.00,14.00,M,30.03,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010230Z AUTO 34014KT 10SM OVC055 A3003 RMK MADISHF
EKO,2017-04-01 02:35,-115.7860,40.8242,M,M,M,340.00,16.00,M,30.03,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010235Z AUTO 34016KT 10SM OVC055 A3003 RMK MADISHF
EKO,2017-04-01 02:40,-115.7860,40.8242,M,M,M,340.00,12.00,M,30.03,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010240Z AUTO 34012KT 10SM OVC055 A3003 RMK MADISHF
EKO,2017-04-01 02:45,-115.7860,40.8242,M,M,M,330.00,12.00,M,30.03,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010245Z AUTO 33012KT 10SM OVC055 A3003 RMK MADISHF
EKO,2017-04-01 02:50,-115.7860,40.8242,M,M,M,340.00,11.00,M,30.03,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010250Z AUTO 34011KT 10SM OVC055 A3003 RMK MADISHF
EKO,2017-04-01 02:55,-115.7860,40.8242,M,M,M,340.00,13.00,M,30.04,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010255Z AUTO 34013KT 10SM OVC055 A3004 RMK MADISHF
EKO,2017-04-01 02:56,-115.7860,40.8242,46.90,30.90,53.50,340.00,12.00,0.00,30.04,1016.80,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010256Z AUTO 34012KT 10SM OVC055 08/M01 A3004 RMK AO2 SLP168 T00831006 51020
EKO,2017-04-01 03:00,-115.7860,40.8242,M,M,M,340.00,13.00,M,30.04,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010300Z AUTO 34013KT 10SM OVC055 A3004 RMK MADISHF
EKO,2017-04-01 03:05,-115.7860,40.8242,M,M,M,350.00,10.00,M,30.05,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010305Z AUTO 35010KT 10SM OVC055 A3005 RMK MADISHF
EKO,2017-04-01 03:10,-115.7860,40.8242,M,M,M,350.00,12.00,M,30.05,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010310Z AUTO 35012KT 10SM OVC055 A3005 RMK MADISHF
EKO,2017-04-01 03:15,-115.7860,40.8242,M,M,M,350.00,10.00,M,30.05,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010315Z AUTO 35010KT 10SM OVC055 A3005 RMK MADISHF
EKO,2017-04-01 03:20,-115.7860,40.8242,M,M,M,350.00,11.00,M,30.05,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010320Z AUTO 35011KT 10SM OVC055 A3005 RMK MADISHF
EKO,2017-04-01 03:25,-115.7860,40.8242,M,M,M,360.00,11.00,M,30.06,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010325Z AUTO 36011KT 10SM OVC055 A3006 RMK MADISHF
EKO,2017-04-01 03:30,-115.7860,40.8242,M,M,M,10.00,7.00,M,30.06,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KEKO 010330Z AUTO 01007KT 10SM OVC055 A3006 RMK MADISHF
EKO,2017-04-01 03:35,-115.7860,40.8242,M,M,M,360.00,8.00,M,30.06,M,10.00,M,BKN,M,M,M,5500.00,M,M,M,M,KEKO 010335Z AUTO 36008KT 10SM BKN055 A3006 RMK MADISHF
EKO,2017-04-01 03:40,-115.7860,40.8242,M,M,M,360.00,10.00,M,30.06,M,10.00,M,BKN,M,M,M,5500.00,M,M,M,M,KEKO 010340Z AUTO 36010KT 10SM BKN055 A3006 RMK MADISHF
EKO,2017-04-01 03:45,-115.7860,40.8242,M,M,M,360.00,8.00,M,30.06,M,10.00,M,SCT,BKN,M,M,6000.00,7000.00,M,M,M,KEKO 010345Z AUTO 36008KT 10SM SCT060 BKN070 A3006 RMK MADISHF
EKO,2017-04-01 03:50,-115.7860,40.8242,M,M,M,20.00,6.00,M,30.07,M,10.00,M,SCT,BKN,M,M,6000.00,7000.00,M,M,M,KEKO 010350Z AUTO 02006KT 10SM SCT060 BKN070 A3007 RMK MADISHF
EKO,2017-04-01 03:55,-115.7860,40.8242,M,M,M,50.00,6.00,M,30.07,M,10.00,M,FEW,BKN,M,M,6000.00,7000.00,M,M,M,KEKO 010355Z AUTO 05006KT 10SM FEW060 BKN070 A3007 RMK MADISHF
EKO,2017-04-01 03:56,-115.7860,40.8242,46.00,30.90,55.36,40.00,7.00,0.00,30.07,1017.80,10.00,M,FEW,BKN,M,M,6000.00,7000.00,M,M,M,KEKO 010356Z AUTO 04007KT 10SM FEW060 BKN070 08/M01 A3007 RMK AO2 SLP178 T00781006
EKO,2017-04-01 04:00,-115.7860,40.8242,M,M,M,30.00,7.00,M,30.07,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,KEKO 010400Z AUTO 03007KT 10SM BKN070 A3007 RMK MADISHF
EKO,2017-04-01 04:05,-115.7860,40.8242,M,M,M,30.00,9.00,M,30.07,M,10.00,M,FEW,BKN,M,M,5500.00,7000.00,M,M,M,KEKO 010405Z AUTO 03009KT 10SM FEW055 BKN070 A3007 RMK MADISHF
EKO,2017-04-01 04:10,-115.7860,40.8242,M,M,M,10.00,6.00,M,30.07,M,10.00,M,FEW,BKN,M,M,5500.00,7000.00,M,M,M,KEKO 010410Z AUTO 01006KT 10SM FEW055 BKN070 A3007 RMK MADISHF
EKO,2017-04-01 04:15,-115.7860,40.8242,M,M,M,350.00,7.00,M,30.08,M,10.00,M,FEW,BKN,M,M,5500.00,7000.00,M,M,M,KEKO 010415Z AUTO 35007KT 10SM FEW055 BKN070 A3008 RMK MADISHF
EKO,2017-04-01 04:20,-115.7860,40.8242,M,M,M,360.00,6.00,M,30.08,M,10.00,M,FEW,SCT,M,M,5500.00,7000.00,M,M,M,KEKO 010420Z AUTO 36006KT 10SM FEW055 SCT070 A3008 RMK MADISHF
EKO,2017-04-01 04:25,-115.7860,40.8242,M,M,M,20.00,4.00,M,30.08,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KEKO 010425Z AUTO 02004KT 10SM SCT065 A3008 RMK VRB04KT  MADISHF
EKO,2017-04-01 04:30,-115.7860,40.8242,M,M,M,30.00,7.00,M,30.08,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KEKO 010430Z AUTO 03007KT 10SM SCT060 A3008 RMK MADISHF
EKO,2017-04-01 04:35,-115.7860,40.8242,M,M,M,10.00,10.00,M,30.08,M,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,KEKO 010435Z AUTO 01010KT 10SM FEW060 A3008 RMK MADISHF
EKO,2017-04-01 04:40,-115.7860,40.8242,M,M,M,20.00,7.00,M,30.09,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KEKO 010440Z AUTO 02007KT 10SM FEW065 A3009 RMK MADISHF
EKO,2017-04-01 04:45,-115.7860,40.8242,M,M,M,20.00,8.00,M,30.09,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KEKO 010445Z AUTO 02008KT 10SM FEW065 A3009 RMK MADISHF
EKO,2017-04-01 04:50,-115.7860,40.8242,M,M,M,30.00,6.00,M,30.09,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KEKO 010450Z AUTO 03006KT 10SM FEW065 A3009 RMK MADISHF
EKO,2017-04-01 04:55,-115.7860,40.8242,M,M,M,60.00,5.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010455Z AUTO 06005KT 10SM CLR A3009 RMK MADISHF
EKO,2017-04-01 04:56,-115.7860,40.8242,44.10,30.90,59.50,70.00,5.00,0.00,30.09,1018.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010456Z AUTO 07005KT 10SM CLR 07/M01 A3009 RMK AO2 SLP184 T00671006
EKO,2017-04-01 05:00,-115.7860,40.8242,M,M,M,50.00,4.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010500Z AUTO 05004KT 10SM CLR A3009 RMK MADISHF
EKO,2017-04-01 05:05,-115.7860,40.8242,M,M,M,30.00,7.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010505Z AUTO 03007KT 10SM CLR A3008 RMK MADISHF
EKO,2017-04-01 05:10,-115.7860,40.8242,M,M,M,60.00,5.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010510Z AUTO 06005KT 10SM CLR A3009 RMK MADISHF
EKO,2017-04-01 05:15,-115.7860,40.8242,M,M,M,80.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010515Z AUTO 08003KT 10SM CLR A3009 RMK VRB03KT  MADISHF
EKO,2017-04-01 05:20,-115.7860,40.8242,M,M,M,170.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010520Z AUTO 17003KT 10SM CLR A3009 RMK MADISHF
EKO,2017-04-01 05:25,-115.7860,40.8242,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010525Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 05:30,-115.7860,40.8242,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010530Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 05:35,-115.7860,40.8242,M,M,M,10.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010535Z AUTO 01003KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 05:40,-115.7860,40.8242,M,M,M,30.00,5.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010540Z AUTO 03005KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 05:45,-115.7860,40.8242,M,M,M,20.00,6.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010545Z AUTO 02006KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 05:50,-115.7860,40.8242,M,M,M,10.00,6.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010550Z AUTO 01006KT 10SM CLR A3009 RMK MADISHF
EKO,2017-04-01 05:55,-115.7860,40.8242,M,M,M,50.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010555Z AUTO 05003KT 10SM CLR A3010 RMK VRB03KT  MADISHF
EKO,2017-04-01 05:56,-115.7860,40.8242,42.10,30.90,64.24,0.00,0.00,0.00,30.10,1018.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010556Z AUTO 00000KT 10SM CLR 06/M01 A3010 RMK AO2 SLP187 T00561006 10100 20050 51017
EKO,2017-04-01 06:00,-115.7860,40.8242,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010600Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 06:05,-115.7860,40.8242,M,M,M,190.00,4.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010605Z AUTO 19004KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 06:10,-115.7860,40.8242,M,M,M,200.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010610Z AUTO 20003KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 06:15,-115.7860,40.8242,M,M,M,240.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010615Z AUTO 24003KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 06:20,-115.7860,40.8242,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010620Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 06:25,-115.7860,40.8242,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010625Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 06:30,-115.7860,40.8242,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010630Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
EKO,2017-04-01 06:35,-115.7860,40.8242,M,M,M,150.00,4.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKO 010635Z AUTO 15004KT 10SM CLR A3010 RMK MADISHF
