#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EKS,2017-04-01 00:15,-111.6486,45.2718,46.40,35.60,65.83,330.00,19.00,0.00,30.12,M,10.00,28.00,FEW,M,M,M,6000.00,M,M,M,M,KEKS 010015Z AUTO 33019G28KT 10SM FEW060 08/02 A3012 RMK A01
EKS,2017-04-01 00:35,-111.6486,45.2718,44.60,33.80,65.61,330.00,18.00,0.00,30.12,M,10.00,24.00,FEW,M,M,M,7000.00,M,M,M,M,KEKS 010035Z AUTO 33018G24KT 10SM FEW070 07/01 A3012 RMK A01
EKS,2017-04-01 00:55,-111.6486,45.2718,42.80,33.80,70.28,340.00,16.00,0.00,30.13,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,KEKS 010055Z AUTO 34016G22KT 10SM CLR 06/01 A3013 RMK A01
EKS,2017-04-01 01:15,-111.6486,45.2718,42.80,33.80,70.28,350.00,12.00,0.00,30.13,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,KEKS 010115Z AUTO 35012G18KT 10SM CLR 06/01 A3013 RMK A01
EKS,2017-04-01 01:35,-111.6486,45.2718,41.00,33.80,75.33,330.00,11.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKS 010135Z AUTO 33011KT 10SM CLR 05/01 A3013 RMK A01
EKS,2017-04-01 01:55,-111.6486,45.2718,39.20,35.60,86.79,350.00,11.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKS 010155Z AUTO 35011KT 10SM CLR 04/02 A3013 RMK A01
EKS,2017-04-01 02:15,-111.6486,45.2718,37.40,33.80,86.69,20.00,8.00,0.00,30.14,M,10.00,13.00,CLR,M,M,M,M,M,M,M,M,KEKS 010215Z AUTO 02008G13KT 10SM CLR 03/01 A3014 RMK A01
EKS,2017-04-01 02:35,-111.6486,45.2718,39.20,33.80,80.79,10.00,11.00,0.00,30.14,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,KEKS 010235Z AUTO 01011G16KT 10SM CLR 04/01 A3014 RMK A01
EKS,2017-04-01 02:55,-111.6486,45.2718,37.40,33.80,86.69,40.00,10.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKS 010255Z AUTO 04010KT 10SM CLR 03/01 A3015 RMK A01
EKS,2017-04-01 03:15,-111.6486,45.2718,39.20,32.00,75.16,30.00,8.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKS 010315Z AUTO 03008KT 10SM CLR 04/00 A3015 RMK A01
EKS,2017-04-01 03:35,-111.6486,45.2718,39.20,32.00,75.16,360.00,10.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKS 010335Z AUTO 36010KT 10SM CLR 04/00 A3015 RMK A01
EKS,2017-04-01 03:55,-111.6486,45.2718,37.40,32.00,80.65,30.00,8.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEKS 010355Z AUTO 03008KT 10SM CLR 03/M00 A3016 RMK A01
