#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ELD,2017-04-01 00:00,-92.8133,33.2210,M,M,M,110.00,5.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010000Z AUTO 11005KT 10SM CLR A2984 RMK MADISHF
ELD,2017-04-01 00:05,-92.8133,33.2210,M,M,M,100.00,5.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010005Z AUTO 10005KT 10SM CLR A2984 RMK MADISHF
ELD,2017-04-01 00:10,-92.8133,33.2210,M,M,M,100.00,6.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010010Z AUTO 10006KT 10SM CLR A2984 RMK MADISHF
ELD,2017-04-01 00:15,-92.8133,33.2210,M,M,M,110.00,6.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010015Z AUTO 11006KT 10SM CLR A2984 RMK MADISHF
ELD,2017-04-01 00:20,-92.8133,33.2210,M,M,M,110.00,6.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010020Z AUTO 11006KT 10SM CLR A2984 RMK MADISHF
ELD,2017-04-01 00:25,-92.8133,33.2210,M,M,M,110.00,5.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010025Z AUTO 11005KT 10SM CLR A2984 RMK MADISHF
ELD,2017-04-01 00:30,-92.8133,33.2210,M,M,M,110.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010030Z AUTO 11004KT 10SM CLR A2984 RMK MADISHF
ELD,2017-04-01 00:35,-92.8133,33.2210,M,M,M,110.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010035Z AUTO 11004KT 10SM CLR A2984 RMK MADISHF
ELD,2017-04-01 00:40,-92.8133,33.2210,M,M,M,100.00,4.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010040Z AUTO 10004KT 10SM CLR A2985 RMK MADISHF
ELD,2017-04-01 00:45,-92.8133,33.2210,M,M,M,100.00,4.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010045Z AUTO 10004KT 10SM CLR A2985 RMK MADISHF
ELD,2017-04-01 00:50,-92.8133,33.2210,M,M,M,100.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KELD 010050Z AUTO 10003KT 10SM CLR A2985 RMK MADISHF
