#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ELM,2017-04-01 00:00,-76.8916,42.1599,M,M,M,80.00,7.00,0.01,29.70,M,9.00,M,BKN,OVC,M,M,1300.00,1900.00,M,M,-RA,KELM 010000Z AUTO 08007KT 9SM -RA BKN013 OVC019 A2970 RMK P0001 MADISHF
ELM,2017-04-01 00:05,-76.8916,42.1599,M,M,M,80.00,7.00,0.01,29.70,M,10.00,M,BKN,OVC,M,M,1300.00,1900.00,M,M,-RA,KELM 010005Z AUTO 08007KT 10SM -RA BKN013 OVC019 A2970 RMK P0001 MADISHF
ELM,2017-04-01 00:10,-76.8916,42.1599,M,M,M,70.00,8.00,0.01,29.70,M,10.00,M,BKN,OVC,M,M,1300.00,1900.00,M,M,-RA,KELM 010010Z AUTO 07008KT 10SM -RA BKN013 OVC019 A2970 RMK P0001 MADISHF
ELM,2017-04-01 00:15,-76.8916,42.1599,M,M,M,100.00,9.00,0.01,29.71,M,10.00,M,BKN,OVC,M,M,1300.00,1800.00,M,M,-RA,KELM 010015Z AUTO 10009KT 10SM -RA BKN013 OVC018 A2971 RMK P0001 MADISHF
ELM,2017-04-01 00:20,-76.8916,42.1599,M,M,M,70.00,6.00,0.02,29.71,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KELM 010020Z AUTO 07006KT 10SM -RA OVC015 A2971 RMK P0002 MADISHF
ELM,2017-04-01 00:22,-76.8916,42.1599,39.90,36.00,85.81,40.00,5.00,0.02,29.71,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KELM 010022Z 04005KT 10SM -RA OVC015 04/02 A2971 RMK AO2 P0002 T00440022
ELM,2017-04-01 00:25,-76.8916,42.1599,M,M,M,40.00,5.00,0.02,29.71,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,-RA,KELM 010025Z AUTO 04005KT 10SM -RA OVC013 A2971 RMK P0002 MADISHF
ELM,2017-04-01 00:29,-76.8916,42.1599,39.90,36.00,85.81,30.00,6.00,0.02,29.71,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,-RA,KELM 010029Z 03006KT 10SM -RA OVC013 04/02 A2971 RMK AO2 P0002 T00440022
ELM,2017-04-01 00:30,-76.8916,42.1599,M,M,M,50.00,6.00,0.02,29.71,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,-RA,KELM 010030Z AUTO 05006KT 10SM -RA OVC013 A2971 RMK P0002 VRB06KT  MADISHF
ELM,2017-04-01 00:35,-76.8916,42.1599,M,M,M,80.00,7.00,0.02,29.71,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,-RA,KELM 010035Z AUTO 08007KT 10SM -RA OVC013 A2971 RMK P0002 MADISHF
ELM,2017-04-01 00:40,-76.8916,42.1599,M,M,M,80.00,6.00,0.03,29.71,M,9.00,M,OVC,M,M,M,1300.00,M,M,M,RA,KELM 010040Z AUTO 08006KT 9SM RA OVC013 A2971 RMK P0003 MADISHF
ELM,2017-04-01 00:45,-76.8916,42.1599,M,M,M,80.00,9.00,0.03,29.71,M,8.00,M,OVC,M,M,M,1300.00,M,M,M,RA,KELM 010045Z AUTO 08009KT 8SM RA OVC013 A2971 RMK P0003 MADISHF
ELM,2017-04-01 00:50,-76.8916,42.1599,M,M,M,90.00,8.00,0.04,29.71,M,8.00,M,OVC,M,M,M,1300.00,M,M,M,RA,KELM 010050Z AUTO 09008KT 8SM RA OVC013 A2971 RMK P0004 MADISHF
