#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ELY,2017-04-01 00:00,-114.8453,39.2950,M,M,M,350.00,12.00,M,29.91,M,M,M,SCT,OVC,M,M,2700.00,3300.00,M,M,M,KELY 010000Z AUTO 35012KT SCT027 OVC033 A2991 RMK MADISHF
ELY,2017-04-01 00:05,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.92,M,M,M,OVC,M,M,M,3000.00,M,M,M,M,KELY 010005Z AUTO 34012KT OVC030 A2992 RMK MADISHF
ELY,2017-04-01 00:10,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.92,M,M,M,OVC,M,M,M,3000.00,M,M,M,M,KELY 010010Z AUTO 34012KT OVC030 A2992 RMK MADISHF
ELY,2017-04-01 00:15,-114.8453,39.2950,M,M,M,340.00,11.00,M,29.92,M,M,M,FEW,OVC,M,M,1600.00,3000.00,M,M,M,KELY 010015Z AUTO 34011KT FEW016 OVC030 A2992 RMK MADISHF
ELY,2017-04-01 00:20,-114.8453,39.2950,M,M,M,340.00,9.00,M,29.92,M,M,M,FEW,OVC,M,M,1600.00,3000.00,M,M,M,KELY 010020Z AUTO 34009KT FEW016 OVC030 A2992 RMK MADISHF
ELY,2017-04-01 00:30,-114.8453,39.2950,M,M,M,330.00,14.00,M,29.92,M,M,M,BKN,BKN,OVC,M,1900.00,2700.00,3200.00,M,M,KELY 010030Z AUTO 33014KT BKN019 BKN027 OVC032 A2992 RMK MADISHF
ELY,2017-04-01 00:34,-114.8453,39.2950,37.00,34.00,88.78,340.00,11.00,0.00,29.92,M,M,19.00,SCT,BKN,OVC,M,1900.00,2900.00,3500.00,M,M,KELY 010034Z AUTO 34011G19KT SCT019 BKN029 OVC035 03/01 A2992 RMK AO2 T00280011 $
ELY,2017-04-01 00:40,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.92,M,M,M,FEW,SCT,OVC,M,1400.00,2100.00,3500.00,M,M,KELY 010040Z AUTO 34012KT FEW014 SCT021 OVC035 A2992 RMK MADISHF
ELY,2017-04-01 00:45,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.92,M,M,M,FEW,BKN,OVC,M,1500.00,2600.00,3300.00,M,M,KELY 010045Z AUTO 34012KT FEW015 BKN026 OVC033 A2992 RMK MADISHF
ELY,2017-04-01 00:50,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.92,M,M,18.00,FEW,SCT,OVC,M,1500.00,1999.00,3300.00,M,M,KELY 010050Z AUTO 34012G18KT FEW015 SCT019 OVC033 A2992 RMK MADISHF
ELY,2017-04-01 00:53,-114.8453,39.2950,37.00,34.00,88.78,340.00,10.00,0.00,29.92,1012.80,M,18.00,FEW,OVC,M,M,1800.00,3300.00,M,M,M,KELY 010053Z AUTO 34010G18KT FEW018 OVC033 03/01 A2992 RMK AO2 SLP128 T00280011 $
ELY,2017-04-01 00:55,-114.8453,39.2950,M,M,M,340.00,11.00,M,29.92,M,M,M,FEW,OVC,M,M,1800.00,3300.00,M,M,M,KELY 010055Z AUTO 34011KT FEW018 OVC033 A2992 RMK MADISHF
ELY,2017-04-01 01:00,-114.8453,39.2950,M,M,M,330.00,14.00,M,29.92,M,M,M,FEW,OVC,M,M,1600.00,3300.00,M,M,M,KELY 010100Z AUTO 33014KT FEW016 OVC033 A2992 RMK MADISHF
ELY,2017-04-01 01:05,-114.8453,39.2950,M,M,M,340.00,14.00,M,29.92,M,M,19.00,FEW,OVC,M,M,1600.00,3300.00,M,M,M,KELY 010105Z AUTO 34014G19KT FEW016 OVC033 A2992 RMK MADISHF
ELY,2017-04-01 01:15,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.93,M,M,M,OVC,M,M,M,3100.00,M,M,M,M,KELY 010115Z AUTO 34012KT OVC031 A2993 RMK MADISHF
ELY,2017-04-01 01:20,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.93,M,M,M,FEW,BKN,OVC,M,1999.00,2800.00,3300.00,M,M,KELY 010120Z AUTO 34012KT FEW019 BKN028 OVC033 A2993 RMK MADISHF
ELY,2017-04-01 01:24,-114.8453,39.2950,37.00,33.10,85.64,340.00,14.00,0.00,29.93,M,M,M,FEW,BKN,OVC,M,2000.00,2800.00,3300.00,M,M,KELY 010124Z AUTO 34014KT FEW020 BKN028 OVC033 03/01 A2993 RMK AO2 T00280006 $
ELY,2017-04-01 01:25,-114.8453,39.2950,M,M,M,340.00,14.00,M,29.93,M,M,M,FEW,BKN,OVC,M,1999.00,2800.00,3300.00,M,M,KELY 010125Z AUTO 34014KT FEW019 BKN028 OVC033 A2993 RMK MADISHF
ELY,2017-04-01 01:30,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.93,M,M,M,FEW,OVC,M,M,1999.00,3000.00,M,M,M,KELY 010130Z AUTO 34012KT FEW019 OVC030 A2993 RMK MADISHF
ELY,2017-04-01 01:35,-114.8453,39.2950,37.00,33.10,85.64,340.00,12.00,0.00,29.93,M,M,M,FEW,OVC,M,M,2000.00,3000.00,M,M,M,KELY 010135Z AUTO 34012KT FEW020 OVC030 03/01 A2993 RMK AO2 T00280006 $
ELY,2017-04-01 01:40,-114.8453,39.2950,M,M,M,340.00,11.00,M,29.93,M,M,M,FEW,OVC,M,M,1999.00,3000.00,M,M,M,KELY 010140Z AUTO 34011KT FEW019 OVC030 A2993 RMK MADISHF
ELY,2017-04-01 01:45,-114.8453,39.2950,M,M,M,340.00,12.00,M,29.94,M,M,M,FEW,OVC,M,M,1999.00,3000.00,M,M,M,KELY 010145Z AUTO 34012KT FEW019 OVC030 A2994 RMK MADISHF
ELY,2017-04-01 01:50,-114.8453,39.2950,M,M,M,350.00,12.00,M,29.94,M,M,M,OVC,M,M,M,3000.00,M,M,M,M,KELY 010150Z AUTO 35012KT OVC030 A2994 RMK MADISHF
ELY,2017-04-01 01:53,-114.8453,39.2950,37.00,33.10,85.64,350.00,12.00,0.00,29.94,1013.00,M,M,OVC,M,M,M,3000.00,M,M,M,M,KELY 010153Z AUTO 35012KT OVC030 03/01 A2994 RMK AO2 SLP130 T00280006 $
ELY,2017-04-01 01:55,-114.8453,39.2950,M,M,M,350.00,12.00,M,29.94,M,M,M,OVC,M,M,M,3000.00,M,M,M,M,KELY 010155Z AUTO 35012KT OVC030 A2994 RMK MADISHF
ELY,2017-04-01 02:05,-114.8453,39.2950,M,M,M,350.00,13.00,M,29.94,M,M,M,OVC,M,M,M,3000.00,M,M,M,M,KELY 010205Z AUTO 35013KT OVC030 A2994 RMK MADISHF
ELY,2017-04-01 02:10,-114.8453,39.2950,M,M,M,350.00,13.00,M,29.95,M,M,M,OVC,M,M,M,3000.00,M,M,M,M,KELY 010210Z AUTO 35013KT OVC030 A2995 RMK MADISHF
