#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ENL,2017-04-01 00:15,-89.0911,38.5151,47.30,42.80,84.28,320.00,8.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KENL 010015Z AUTO 32008KT 10SM OVC017 09/06 A2998 RMK AO2 T00850060
ENL,2017-04-01 00:35,-89.0911,38.5151,46.80,42.80,85.88,320.00,9.00,0.00,29.99,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KENL 010035Z AUTO 32009KT 10SM OVC015 08/06 A2999 RMK AO2 T00820060
ENL,2017-04-01 00:55,-89.0911,38.5151,46.60,43.30,88.20,340.00,8.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KENL 010055Z AUTO 34008KT 10SM OVC013 08/06 A3000 RMK AO2 T00810063
ENL,2017-04-01 01:15,-89.0911,38.5151,46.40,43.20,88.53,350.00,9.00,0.00,30.00,M,10.00,M,BKN,OVC,M,M,1300.00,2200.00,M,M,M,KENL 010115Z AUTO 35009KT 10SM BKN013 OVC022 08/06 A3000 RMK AO2 T00800062
ENL,2017-04-01 01:35,-89.0911,38.5151,46.20,43.20,89.21,360.00,8.00,0.00,30.01,M,10.00,M,SCT,OVC,M,M,1300.00,2100.00,M,M,M,KENL 010135Z AUTO 36008KT 10SM SCT013 OVC021 08/06 A3001 RMK AO2 T00790062
ENL,2017-04-01 01:55,-89.0911,38.5151,45.90,42.80,88.85,360.00,9.00,0.00,30.03,M,10.00,M,SCT,OVC,M,M,1300.00,2200.00,M,M,M,KENL 010155Z AUTO 36009KT 10SM SCT013 OVC022 08/06 A3003 RMK AO2 T00770060
ENL,2017-04-01 02:15,-89.0911,38.5151,45.90,42.80,88.85,360.00,7.00,0.00,30.03,M,10.00,M,SCT,OVC,M,M,1500.00,2000.00,M,M,M,KENL 010215Z AUTO 36007KT 10SM SCT015 OVC020 08/06 A3003 RMK AO2 T00770060
ENL,2017-04-01 02:35,-89.0911,38.5151,45.90,42.10,86.49,330.00,6.00,0.00,30.04,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KENL 010235Z AUTO 33006KT 10SM OVC020 08/06 A3004 RMK AO2 T00770056
ENL,2017-04-01 02:55,-89.0911,38.5151,45.30,42.40,89.51,10.00,8.00,0.00,30.05,M,10.00,M,BKN,OVC,M,M,1400.00,2000.00,M,M,M,KENL 010255Z AUTO 01008KT 10SM BKN014 OVC020 07/06 A3005 RMK AO2 T00740058
ENL,2017-04-01 03:15,-89.0911,38.5151,45.10,42.40,90.19,360.00,7.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KENL 010315Z AUTO 36007KT 10SM OVC014 07/06 A3005 RMK AO2 T00730058
