#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ERI,2017-04-01 00:00,-80.1800,42.0800,M,M,M,30.00,8.00,0.01,29.70,M,6.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010000Z AUTO 03008KT 6SM -RA BR OVC003 A2970 RMK P0001 MADISHF
ERI,2017-04-01 00:05,-80.1800,42.0800,M,M,M,20.00,8.00,0.01,29.71,M,6.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010005Z AUTO 02008KT 6SM -RA BR OVC003 A2971 RMK P0001 MADISHF
ERI,2017-04-01 00:10,-80.1800,42.0800,M,M,M,20.00,9.00,0.02,29.71,M,6.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010010Z AUTO 02009KT 6SM -RA BR OVC003 A2971 RMK P0002 MADISHF
ERI,2017-04-01 00:15,-80.1800,42.0800,M,M,M,20.00,8.00,0.02,29.71,M,6.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010015Z AUTO 02008KT 6SM -RA BR OVC003 A2971 RMK P0002 MADISHF
ERI,2017-04-01 00:20,-80.1800,42.0800,M,M,M,30.00,8.00,0.02,29.71,M,5.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010020Z AUTO 03008KT 5SM -RA BR OVC003 A2971 RMK P0002 MADISHF
ERI,2017-04-01 00:25,-80.1800,42.0800,M,M,M,30.00,9.00,0.02,29.71,M,5.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010025Z AUTO 03009KT 5SM -RA BR OVC003 A2971 RMK P0002 MADISHF
ERI,2017-04-01 00:30,-80.1800,42.0800,M,M,M,40.00,9.00,0.03,29.71,M,5.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010030Z AUTO 04009KT 5SM -RA BR OVC003 A2971 RMK P0003 MADISHF
ERI,2017-04-01 00:35,-80.1800,42.0800,M,M,M,40.00,7.00,0.03,29.72,M,5.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010035Z AUTO 04007KT 5SM -RA BR OVC003 A2972 RMK P0003 MADISHF
ERI,2017-04-01 00:40,-80.1800,42.0800,M,M,M,30.00,8.00,0.03,29.72,M,5.00,M,OVC,M,M,M,300.00,M,M,M,-RA BR,KERI 010040Z AUTO 03008KT 5SM -RA BR OVC003 A2972 RMK P0003 MADISHF
ERI,2017-04-01 00:45,-80.1800,42.0800,M,M,M,30.00,9.00,0.03,29.72,M,5.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KERI 010045Z AUTO 03009KT 5SM -RA BR OVC004 A2972 RMK P0003 MADISHF
ERI,2017-04-01 00:50,-80.1800,42.0800,M,M,M,40.00,7.00,0.04,29.72,M,6.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KERI 010050Z AUTO 04007KT 6SM -RA BR OVC004 A2972 RMK P0004 MADISHF
ERI,2017-04-01 00:51,-80.1800,42.0800,37.90,37.00,96.52,40.00,7.00,0.04,29.72,1006.80,5.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KERI 010051Z 04007KT 5SM -RA BR OVC004 03/03 A2972 RMK AO2 SLP068 P0004 T00330028
ERI,2017-04-01 00:55,-80.1800,42.0800,M,M,M,40.00,8.00,M,29.72,M,5.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KERI 010055Z AUTO 04008KT 5SM -RA BR OVC004 A2972 RMK MADISHF
ERI,2017-04-01 01:00,-80.1800,42.0800,M,M,M,40.00,7.00,M,29.72,M,5.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KERI 010100Z AUTO 04007KT 5SM -RA BR OVC004 A2972 RMK MADISHF
ERI,2017-04-01 01:05,-80.1800,42.0800,M,M,M,30.00,6.00,0.01,29.72,M,6.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KERI 010105Z AUTO 03006KT 6SM -RA BR OVC004 A2972 RMK P0001 MADISHF
ERI,2017-04-01 01:10,-80.1800,42.0800,M,M,M,30.00,6.00,0.01,29.72,M,6.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KERI 010110Z AUTO 03006KT 6SM -RA BR OVC004 A2972 RMK P0001 MADISHF
ERI,2017-04-01 01:15,-80.1800,42.0800,M,M,M,20.00,6.00,0.01,29.73,M,6.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KERI 010115Z AUTO 02006KT 6SM -RA BR OVC004 A2973 RMK P0001 MADISHF
ERI,2017-04-01 01:20,-80.1800,42.0800,M,M,M,30.00,7.00,0.01,29.73,M,7.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KERI 010120Z AUTO 03007KT 7SM -RA OVC004 A2973 RMK P0001 MADISHF
ERI,2017-04-01 01:25,-80.1800,42.0800,M,M,M,40.00,6.00,0.02,29.73,M,7.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KERI 010125Z AUTO 04006KT 7SM -RA OVC004 A2973 RMK P0002 MADISHF
ERI,2017-04-01 01:30,-80.1800,42.0800,M,M,M,40.00,6.00,0.02,29.73,M,8.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KERI 010130Z AUTO 04006KT 8SM -RA OVC004 A2973 RMK P0002 MADISHF
ERI,2017-04-01 01:35,-80.1800,42.0800,M,M,M,20.00,6.00,0.02,29.73,M,8.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KERI 010135Z AUTO 02006KT 8SM -RA OVC004 A2973 RMK P0002 MADISHF
ERI,2017-04-01 01:40,-80.1800,42.0800,M,M,M,20.00,6.00,0.02,29.74,M,8.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KERI 010140Z AUTO 02006KT 8SM -RA OVC004 A2974 RMK P0002 MADISHF
ERI,2017-04-01 01:45,-80.1800,42.0800,M,M,M,360.00,6.00,0.02,29.74,M,8.00,M,OVC,M,M,M,499.00,M,M,M,-RA,KERI 010145Z AUTO 36006KT 8SM -RA OVC004 A2974 RMK P0002 MADISHF
ERI,2017-04-01 01:47,-80.1800,42.0800,37.40,37.40,100.00,350.00,6.00,0.02,29.74,M,8.00,M,OVC,M,M,M,500.00,M,M,M,-RA,KERI 010147Z 35006KT 8SM -RA OVC005 03/03 A2974 RMK AO2 P0002
ERI,2017-04-01 01:50,-80.1800,42.0800,M,M,M,360.00,7.00,0.02,29.74,M,8.00,M,OVC,M,M,M,499.00,M,M,M,-RA,KERI 010150Z AUTO 36007KT 8SM -RA OVC004 A2974 RMK P0002 MADISHF
ERI,2017-04-01 01:51,-80.1800,42.0800,37.90,37.00,96.52,360.00,7.00,0.02,29.74,1007.60,8.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KERI 010151Z 36007KT 8SM -RA OVC004 03/03 A2974 RMK AO2 SLP076 P0002 T00330028
ERI,2017-04-01 01:55,-80.1800,42.0800,M,M,M,350.00,6.00,M,29.75,M,8.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KERI 010155Z AUTO 35006KT 8SM -RA OVC004 A2975 RMK MADISHF
ERI,2017-04-01 02:00,-80.1800,42.0800,M,M,M,350.00,8.00,M,29.75,M,7.00,M,OVC,M,M,M,400.00,M,M,M,M,KERI 010200Z AUTO 35008KT 7SM OVC004 A2975 RMK MADISHF
ERI,2017-04-01 02:05,-80.1800,42.0800,M,M,M,360.00,8.00,M,29.75,M,5.00,M,OVC,M,M,M,400.00,M,M,M,BR,KERI 010205Z AUTO 36008KT 5SM BR OVC004 A2975 RMK MADISHF
ERI,2017-04-01 02:10,-80.1800,42.0800,M,M,M,10.00,7.00,M,29.75,M,4.00,M,OVC,M,M,M,400.00,M,M,M,BR,KERI 010210Z AUTO 01007KT 4SM BR OVC004 A2975 RMK MADISHF
ERI,2017-04-01 02:15,-80.1800,42.0800,M,M,M,360.00,7.00,M,29.75,M,2.50,M,OVC,M,M,M,400.00,M,M,M,BR,KERI 010215Z AUTO 36007KT 2 1/2SM BR OVC004 A2975 RMK MADISHF
