#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ESN,2017-04-01 00:49,-76.0690,38.8042,53.60,51.80,93.60,300.00,7.00,0.00,29.67,M,3.00,M,OVC,M,M,M,400.00,M,M,M,BR,KESN 010049Z 30007KT 3SM BR OVC004 12/11 A2967
ESN,2017-04-01 01:45,-76.0690,38.8042,53.60,50.00,87.56,330.00,6.00,0.00,29.67,M,5.00,M,OVC,M,M,M,400.00,M,M,M,BR,KESN 010145Z 33006KT 5SM BR OVC004 12/10 A2967
ESN,2017-04-01 02:20,-76.0690,38.8042,52.50,50.00,91.17,340.00,7.00,0.00,29.68,M,7.00,M,OVC,M,M,M,400.00,M,M,M,M,KESN 010220Z AUTO 34007KT 7SM OVC004 11/10 A2968 RMK AO2 T01140100
ESN,2017-04-01 02:40,-76.0690,38.8042,52.00,49.60,91.49,350.00,5.00,0.00,29.67,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010240Z AUTO 35005KT 7SM OVC006 11/10 A2967 RMK AO2 T01110098
ESN,2017-04-01 03:00,-76.0690,38.8042,51.80,49.30,91.14,350.00,8.00,0.00,29.67,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010300Z AUTO 35008KT 10SM OVC006 11/10 A2967 RMK AO2 T01100096
ESN,2017-04-01 03:20,-76.0690,38.8042,51.40,49.10,91.81,340.00,8.00,0.00,29.67,M,7.00,M,OVC,M,M,M,600.00,M,M,M,-RA,KESN 010320Z AUTO 34008KT 7SM -RA OVC006 11/10 A2967 RMK AO2 T01080095
ESN,2017-04-01 03:40,-76.0690,38.8042,50.90,48.60,91.79,320.00,9.00,0.00,29.68,M,7.00,M,OVC,M,M,M,600.00,M,M,M,DZ,KESN 010340Z AUTO 32009KT 7SM DZ OVC006 11/09 A2968 RMK AO2 T01050092
ESN,2017-04-01 04:00,-76.0690,38.8042,50.00,47.70,91.76,320.00,6.00,0.00,29.68,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010400Z AUTO 32006KT 7SM OVC006 10/09 A2968 RMK AO2 T01000087
ESN,2017-04-01 04:20,-76.0690,38.8042,49.60,47.30,91.75,340.00,10.00,0.00,29.67,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010420Z AUTO 34010KT 7SM OVC006 10/09 A2967 RMK AO2 T00980085
ESN,2017-04-01 04:40,-76.0690,38.8042,49.50,46.90,90.71,330.00,6.00,0.00,29.67,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010440Z AUTO 33006KT 7SM OVC006 10/08 A2967 RMK AO2 T00970083
ESN,2017-04-01 05:00,-76.0690,38.8042,49.30,46.90,91.39,330.00,5.00,0.00,29.68,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010500Z AUTO 33005KT 7SM OVC006 10/08 A2968 RMK AO2 T00960083
ESN,2017-04-01 05:20,-76.0690,38.8042,49.10,46.60,91.04,320.00,8.00,0.00,29.68,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010520Z AUTO 32008KT 7SM OVC006 10/08 A2968 RMK AO2 T00950081
ESN,2017-04-01 05:40,-76.0690,38.8042,49.10,46.40,90.35,310.00,6.00,0.00,29.68,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010540Z AUTO 31006KT 7SM OVC006 10/08 A2968 RMK AO2 T00950080
ESN,2017-04-01 06:00,-76.0690,38.8042,49.10,46.40,90.35,320.00,4.00,0.00,29.69,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010600Z AUTO 32004KT 7SM OVC006 10/08 A2969 RMK AO2 T00950080
ESN,2017-04-01 06:20,-76.0690,38.8042,48.20,46.40,93.45,330.00,8.00,0.00,29.69,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010620Z AUTO 33008KT 7SM OVC006 09/08 A2969
ESN,2017-04-01 06:40,-76.0690,38.8042,48.70,46.00,90.34,330.00,8.00,0.00,29.70,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010640Z AUTO 33008KT 7SM OVC006 09/08 A2970 RMK AO2 T00930078
ESN,2017-04-01 07:00,-76.0690,38.8042,48.60,45.70,89.65,330.00,7.00,0.00,29.71,M,7.00,M,OVC,M,M,M,600.00,M,M,M,M,KESN 010700Z AUTO 33007KT 7SM OVC006 09/08 A2971 RMK AO2 T00920076
ESN,2017-04-01 07:20,-76.0690,38.8042,48.60,45.70,89.65,310.00,5.00,0.00,29.71,M,5.00,M,OVC,M,M,M,600.00,M,M,M,-RA,KESN 010720Z AUTO 31005KT 5SM -RA OVC006 09/08 A2971 RMK AO2 T00920076
ESN,2017-04-01 07:40,-76.0690,38.8042,48.40,45.70,90.33,320.00,5.00,0.00,29.72,M,5.00,M,OVC,M,M,M,600.00,M,M,M,DZ,KESN 010740Z AUTO 32005KT 5SM DZ OVC006 09/08 A2972 RMK AO2 T00910076
ESN,2017-04-01 08:00,-76.0690,38.8042,48.20,45.70,91.01,320.00,6.00,0.00,29.72,M,5.00,M,OVC,M,M,M,600.00,M,M,M,BR,KESN 010800Z AUTO 32006KT 5SM BR OVC006 09/08 A2972 RMK AO2 T00900076
ESN,2017-04-01 08:20,-76.0690,38.8042,48.20,45.70,91.01,340.00,7.00,0.00,29.73,M,5.00,M,OVC,M,M,M,800.00,M,M,M,BR,KESN 010820Z AUTO 34007KT 5SM BR OVC008 09/08 A2973 RMK AO2 T00900076
ESN,2017-04-01 08:40,-76.0690,38.8042,48.20,45.50,90.32,340.00,5.00,0.00,29.73,M,5.00,M,OVC,M,M,M,800.00,M,M,M,-DZ,KESN 010840Z AUTO 34005KT 5SM -DZ OVC008 09/08 A2973 RMK AO2 T00900075
ESN,2017-04-01 09:00,-76.0690,38.8042,47.50,44.60,89.60,340.00,10.00,0.00,29.74,M,7.00,M,BKN,BKN,BKN,M,800.00,3700.00,4500.00,M,DZ,KESN 010900Z AUTO 34010KT 7SM DZ BKN008 BKN037 BKN045 09/07 A2974 RMK AO2 T00860070
