#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EST,2017-04-01 00:00,-94.7476,43.4008,M,M,M,60.00,7.00,M,30.04,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KEST 010000Z AUTO 06007KT 10SM OVC024 A3004 RMK MADISHF
EST,2017-04-01 00:05,-94.7476,43.4008,M,M,M,50.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KEST 010005Z AUTO 05006KT 10SM OVC024 A3005 RMK MADISHF
EST,2017-04-01 00:10,-94.7476,43.4008,M,M,M,60.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,KEST 010010Z AUTO 06006KT 10SM OVC026 A3005 RMK MADISHF
EST,2017-04-01 00:15,-94.7476,43.4008,M,M,M,60.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,KEST 010015Z AUTO 06005KT 10SM OVC026 A3005 RMK MADISHF
EST,2017-04-01 00:20,-94.7476,43.4008,M,M,M,60.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,KEST 010020Z AUTO 06006KT 10SM OVC026 A3005 RMK MADISHF
EST,2017-04-01 00:25,-94.7476,43.4008,M,M,M,60.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,KEST 010025Z AUTO 06007KT 10SM OVC026 A3005 RMK MADISHF
EST,2017-04-01 00:30,-94.7476,43.4008,M,M,M,50.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,KEST 010030Z AUTO 05006KT 10SM OVC026 A3005 RMK MADISHF
EST,2017-04-01 00:35,-94.7476,43.4008,M,M,M,60.00,5.00,M,30.05,M,10.00,M,BKN,M,M,M,2600.00,M,M,M,M,KEST 010035Z AUTO 06005KT 10SM BKN026 A3005 RMK MADISHF
EST,2017-04-01 00:40,-94.7476,43.4008,M,M,M,60.00,5.00,M,30.05,M,10.00,M,BKN,M,M,M,2600.00,M,M,M,M,KEST 010040Z AUTO 06005KT 10SM BKN026 A3005 RMK MADISHF
EST,2017-04-01 00:45,-94.7476,43.4008,M,M,M,70.00,5.00,M,30.05,M,10.00,M,SCT,M,M,M,2600.00,M,M,M,M,KEST 010045Z AUTO 07005KT 10SM SCT026 A3005 RMK MADISHF
EST,2017-04-01 00:48,-94.7476,43.4008,41.00,37.40,86.89,70.00,4.00,0.00,30.06,M,10.00,M,SCT,M,M,M,2600.00,M,M,M,M,KEST 010048Z AUTO 07004KT 10SM SCT026 05/03 A3006 RMK AO2
EST,2017-04-01 00:50,-94.7476,43.4008,M,M,M,70.00,4.00,M,30.06,M,10.00,M,FEW,M,M,M,2600.00,M,M,M,M,KEST 010050Z AUTO 07004KT 10SM FEW026 A3006 RMK MADISHF
EST,2017-04-01 00:52,-94.7476,43.4008,41.00,37.90,88.62,80.00,4.00,0.00,30.06,1018.80,10.00,M,FEW,M,M,M,2600.00,M,M,M,M,KEST 010052Z AUTO 08004KT 10SM FEW026 05/03 A3006 RMK AO2 SLP188 T00500033
EST,2017-04-01 00:55,-94.7476,43.4008,M,M,M,90.00,4.00,M,30.06,M,10.00,M,FEW,M,M,M,2600.00,M,M,M,M,KEST 010055Z AUTO 09004KT 10SM FEW026 A3006 RMK MADISHF
EST,2017-04-01 01:00,-94.7476,43.4008,M,M,M,120.00,3.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEST 010100Z AUTO 12003KT 10SM CLR A3006 RMK MADISHF
EST,2017-04-01 01:15,-94.7476,43.4008,M,M,M,160.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEST 010115Z AUTO 16004KT 10SM CLR A3007 RMK MADISHF
EST,2017-04-01 01:20,-94.7476,43.4008,M,M,M,160.00,4.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEST 010120Z AUTO 16004KT 10SM CLR A3008 RMK MADISHF
