#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
EWB,2017-04-01 00:00,-70.9583,41.6764,M,M,M,80.00,10.00,0.01,30.01,M,8.00,M,OVC,M,M,M,800.00,M,M,M,-RA,KEWB 010000Z AUTO 08010KT 8SM -RA OVC008 A3001 RMK P0001 CIG 6V13  MADISHF
EWB,2017-04-01 00:05,-70.9583,41.6764,M,M,M,80.00,10.00,0.01,30.01,M,7.00,M,BKN,OVC,M,M,800.00,1600.00,M,M,-RA,KEWB 010005Z AUTO 08010KT 7SM -RA BKN008 OVC016 A3001 RMK P0001 CIG 6V12  MADISHF
EWB,2017-04-01 00:10,-70.9583,41.6764,M,M,M,80.00,12.00,0.01,30.01,M,7.00,M,BKN,BKN,OVC,M,900.00,1200.00,1900.00,M,-RA,KEWB 010010Z AUTO 08012KT 7SM -RA BKN009 BKN012 OVC019 A3001 RMK P0001 MADISHF
EWB,2017-04-01 00:15,-70.9583,41.6764,M,M,M,90.00,11.00,0.02,30.01,M,8.00,M,BKN,OVC,M,M,900.00,1699.00,M,M,-RA,KEWB 010015Z AUTO 09011KT 8SM -RA BKN009 OVC016 A3001 RMK P0002 CIG 6V12  MADISHF
EWB,2017-04-01 00:20,-70.9583,41.6764,M,M,M,70.00,11.00,0.02,30.00,M,7.00,M,BKN,OVC,M,M,900.00,1699.00,M,M,-RA,KEWB 010020Z AUTO 07011KT 7SM -RA BKN009 OVC016 A3000 RMK P0002 CIG 6V12  MADISHF
EWB,2017-04-01 00:25,-70.9583,41.6764,M,M,M,70.00,9.00,0.03,30.00,M,8.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,-RA,KEWB 010025Z AUTO 07009KT 8SM -RA BKN009 OVC014 A3000 RMK P0003 CIG 6V13  MADISHF
EWB,2017-04-01 00:30,-70.9583,41.6764,M,M,M,80.00,11.00,0.03,30.00,M,7.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,-RA,KEWB 010030Z AUTO 08011KT 7SM -RA BKN009 OVC014 A3000 RMK P0003 CIG 6V13  MADISHF
EWB,2017-04-01 00:35,-70.9583,41.6764,M,M,M,80.00,9.00,0.04,30.00,M,8.00,14.00,BKN,OVC,M,M,900.00,1400.00,M,M,-RA,KEWB 010035Z AUTO 08009G14KT 8SM -RA BKN009 OVC014 A3000 RMK P0004 CIG 7V12  MADISHF
EWB,2017-04-01 00:40,-70.9583,41.6764,M,M,M,80.00,10.00,0.05,30.00,M,8.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,RA,KEWB 010040Z AUTO 08010KT 8SM RA BKN009 OVC014 A3000 RMK P0005 MADISHF
EWB,2017-04-01 00:45,-70.9583,41.6764,M,M,M,80.00,12.00,0.05,30.00,M,7.00,M,OVC,M,M,M,900.00,M,M,M,RA,KEWB 010045Z AUTO 08012KT 7SM RA OVC009 A3000 RMK P0005 MADISHF
EWB,2017-04-01 00:50,-70.9583,41.6764,M,M,M,80.00,10.00,0.06,30.00,M,7.00,M,OVC,M,M,M,900.00,M,M,M,RA,KEWB 010050Z AUTO 08010KT 7SM RA OVC009 A3000 RMK P0006 MADISHF
EWB,2017-04-01 00:53,-70.9583,41.6764,35.10,33.10,92.32,90.00,8.00,0.07,30.00,1015.80,7.00,M,OVC,M,M,M,900.00,M,M,M,RA,KEWB 010053Z 09008KT 7SM RA OVC009 02/01 A3000 RMK AO2 SLP158 P0007 T00170006
EWB,2017-04-01 00:55,-70.9583,41.6764,M,M,M,70.00,10.00,M,30.00,M,7.00,M,OVC,M,M,M,900.00,M,M,M,RA,KEWB 010055Z AUTO 07010KT 7SM RA OVC009 A3000 RMK MADISHF
EWB,2017-04-01 01:00,-70.9583,41.6764,M,M,M,80.00,9.00,0.01,30.00,M,7.00,M,OVC,M,M,M,900.00,M,M,M,RA,KEWB 010100Z AUTO 08009KT 7SM RA OVC009 A3000 RMK P0001 MADISHF
EWB,2017-04-01 01:05,-70.9583,41.6764,M,M,M,70.00,11.00,0.01,29.99,M,7.00,M,OVC,M,M,M,900.00,M,M,M,-RA,KEWB 010105Z AUTO 07011KT 7SM -RA OVC009 A2999 RMK P0001 MADISHF
EWB,2017-04-01 01:10,-70.9583,41.6764,M,M,M,70.00,12.00,0.02,29.99,M,7.00,M,OVC,M,M,M,900.00,M,M,M,RA,KEWB 010110Z AUTO 07012KT 7SM RA OVC009 A2999 RMK P0002 CIG 7V12  MADISHF
EWB,2017-04-01 01:15,-70.9583,41.6764,M,M,M,80.00,9.00,0.03,29.99,M,6.00,M,OVC,M,M,M,800.00,M,M,M,RA BR,KEWB 010115Z AUTO 08009KT 6SM RA BR OVC008 A2999 RMK P0003 CIG 6V11  MADISHF
EWB,2017-04-01 01:20,-70.9583,41.6764,M,M,M,70.00,9.00,0.03,29.99,M,6.00,M,OVC,M,M,M,800.00,M,M,M,RA BR,KEWB 010120Z AUTO 07009KT 6SM RA BR OVC008 A2999 RMK P0003 MADISHF
EWB,2017-04-01 01:25,-70.9583,41.6764,M,M,M,80.00,10.00,0.04,29.98,M,7.00,M,BKN,OVC,M,M,800.00,1400.00,M,M,-RA,KEWB 010125Z AUTO 08010KT 7SM -RA BKN008 OVC014 A2998 RMK P0004 MADISHF
EWB,2017-04-01 01:30,-70.9583,41.6764,M,M,M,80.00,11.00,0.05,29.98,M,7.00,M,BKN,OVC,M,M,800.00,1400.00,M,M,RA,KEWB 010130Z AUTO 08011KT 7SM RA BKN008 OVC014 A2998 RMK P0005 MADISHF
EWB,2017-04-01 01:35,-70.9583,41.6764,M,M,M,70.00,11.00,0.05,29.98,M,6.00,M,OVC,M,M,M,900.00,M,M,M,RA BR,KEWB 010135Z AUTO 07011KT 6SM RA BR OVC009 A2998 RMK P0005 MADISHF
EWB,2017-04-01 01:40,-70.9583,41.6764,M,M,M,80.00,10.00,0.06,29.97,M,6.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,RA BR,KEWB 010140Z AUTO 08010KT 6SM RA BR BKN009 OVC014 A2997 RMK P0006 MADISHF
EWB,2017-04-01 01:45,-70.9583,41.6764,M,M,M,70.00,10.00,0.07,29.97,M,6.00,M,OVC,M,M,M,900.00,M,M,M,RA BR,KEWB 010145Z AUTO 07010KT 6SM RA BR OVC009 A2997 RMK P0007 MADISHF
EWB,2017-04-01 01:50,-70.9583,41.6764,M,M,M,80.00,11.00,0.08,29.97,M,6.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,RA BR,KEWB 010150Z AUTO 08011KT 6SM RA BR BKN009 OVC014 A2997 RMK P0008 MADISHF
EWB,2017-04-01 01:53,-70.9583,41.6764,35.10,33.10,92.32,80.00,9.00,0.09,29.97,1014.80,6.00,18.00,BKN,OVC,M,M,900.00,1700.00,M,M,RA BR,KEWB 010153Z AUTO 08009G18KT 6SM RA BR BKN009 OVC017 02/01 A2997 RMK AO2 SLP148 P0009 T00170006
EWB,2017-04-01 01:55,-70.9583,41.6764,M,M,M,70.00,13.00,M,29.96,M,7.00,M,OVC,M,M,M,900.00,M,M,M,RA,KEWB 010155Z AUTO 07013KT 7SM RA OVC009 A2996 RMK MADISHF
