#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
F44,2017-04-01 00:15,-95.8284,32.1638,77.00,50.00,38.74,170.00,5.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010015Z AUTO 17005KT 10SM CLR 25/10 A2976 RMK AO2
F44,2017-04-01 00:35,-95.8284,32.1638,75.20,50.00,41.14,150.00,4.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010035Z AUTO 15004KT 10SM CLR 24/10 A2976 RMK AO2
F44,2017-04-01 00:55,-95.8284,32.1638,71.60,50.00,46.43,150.00,4.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010055Z AUTO 15004KT 10SM CLR 22/10 A2976 RMK AO2
F44,2017-04-01 01:15,-95.8284,32.1638,69.80,50.00,49.37,140.00,3.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010115Z AUTO 14003KT 10SM CLR 21/10 A2977 RMK AO2
F44,2017-04-01 01:35,-95.8284,32.1638,66.20,51.80,59.74,0.00,0.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010135Z AUTO 00000KT 10SM CLR 19/11 A2978 RMK AO2
F44,2017-04-01 01:55,-95.8284,32.1638,66.20,51.80,59.74,0.00,0.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010155Z AUTO 00000KT 10SM CLR 19/11 A2979 RMK AO2
F44,2017-04-01 02:15,-95.8284,32.1638,64.40,51.80,63.60,0.00,0.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010215Z AUTO 00000KT 10SM CLR 18/11 A2979 RMK AO2
F44,2017-04-01 02:35,-95.8284,32.1638,64.40,51.80,63.60,0.00,0.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010235Z AUTO 00000KT 10SM CLR 18/11 A2980 RMK AO2
F44,2017-04-01 02:55,-95.8284,32.1638,66.20,51.80,59.74,150.00,5.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010255Z AUTO 15005KT 10SM CLR 19/11 A2981 RMK AO2
F44,2017-04-01 03:15,-95.8284,32.1638,68.00,51.80,56.13,140.00,5.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010315Z AUTO 14005KT 10SM CLR 20/11 A2982 RMK AO2
F44,2017-04-01 03:35,-95.8284,32.1638,68.00,51.80,56.13,150.00,6.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010335Z AUTO 15006KT 10SM CLR 20/11 A2982 RMK AO2
F44,2017-04-01 03:55,-95.8284,32.1638,68.00,50.00,52.51,160.00,7.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010355Z AUTO 16007KT 10SM CLR 20/10 A2982 RMK AO2
F44,2017-04-01 04:15,-95.8284,32.1638,68.00,50.00,52.51,160.00,6.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010415Z AUTO 16006KT 10SM CLR 20/10 A2982 RMK AO2
F44,2017-04-01 04:35,-95.8284,32.1638,66.20,50.00,55.88,160.00,5.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010435Z AUTO 16005KT 10SM CLR 19/10 A2983 RMK AO2
F44,2017-04-01 04:55,-95.8284,32.1638,64.40,50.00,59.50,160.00,4.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010455Z AUTO 16004KT 10SM CLR 18/10 A2983 RMK AO2
F44,2017-04-01 05:15,-95.8284,32.1638,64.40,50.00,59.50,160.00,3.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010515Z AUTO 16003KT 10SM CLR 18/10 A2984 RMK AO2
F44,2017-04-01 05:35,-95.8284,32.1638,62.60,50.00,63.38,150.00,4.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010535Z AUTO 15004KT 10SM CLR 17/10 A2984 RMK AO2
F44,2017-04-01 05:55,-95.8284,32.1638,60.80,51.80,72.20,0.00,0.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010555Z AUTO 00000KT 10SM CLR 16/11 A2986 RMK AO2
F44,2017-04-01 06:15,-95.8284,32.1638,59.00,51.80,76.98,0.00,0.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010615Z AUTO 00000KT 10SM CLR 15/11 A2986 RMK AO2
F44,2017-04-01 06:35,-95.8284,32.1638,57.20,51.80,82.12,110.00,3.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010635Z AUTO 11003KT 10SM CLR 14/11 A2986 RMK AO2
F44,2017-04-01 06:55,-95.8284,32.1638,55.40,51.80,87.65,120.00,4.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010655Z AUTO 12004KT 10SM CLR 13/11 A2986 RMK AO2
F44,2017-04-01 07:15,-95.8284,32.1638,53.60,51.80,93.60,130.00,5.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010715Z AUTO 13005KT 10SM CLR 12/11 A2986 RMK AO2
F44,2017-04-01 07:35,-95.8284,32.1638,57.20,51.80,82.12,130.00,5.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010735Z AUTO 13005KT 10SM CLR 14/11 A2986 RMK AO2
F44,2017-04-01 07:55,-95.8284,32.1638,57.20,51.80,82.12,130.00,4.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010755Z AUTO 13004KT 10SM CLR 14/11 A2986 RMK AO2
F44,2017-04-01 08:15,-95.8284,32.1638,57.20,51.80,82.12,140.00,3.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010815Z AUTO 14003KT 10SM CLR 14/11 A2986 RMK AO2
F44,2017-04-01 08:35,-95.8284,32.1638,55.40,51.80,87.65,130.00,3.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010835Z AUTO 13003KT 10SM CLR 13/11 A2985 RMK AO2
F44,2017-04-01 08:55,-95.8284,32.1638,55.40,53.60,93.65,130.00,3.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010855Z AUTO 13003KT 10SM CLR 13/12 A2986 RMK AO2
F44,2017-04-01 09:15,-95.8284,32.1638,55.40,53.60,93.65,140.00,4.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010915Z AUTO 14004KT 10SM CLR 13/12 A2986 RMK AO2
F44,2017-04-01 09:35,-95.8284,32.1638,55.40,55.40,100.00,130.00,4.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010935Z AUTO 13004KT 10SM CLR 13/13 A2986 RMK AO2
F44,2017-04-01 09:55,-95.8284,32.1638,55.40,55.40,100.00,120.00,6.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 010955Z AUTO 12006KT 10SM CLR 13/13 A2986 RMK AO2
F44,2017-04-01 10:15,-95.8284,32.1638,55.40,55.40,100.00,120.00,3.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 011015Z AUTO 12003KT 10SM CLR 13/13 A2986 RMK AO2
F44,2017-04-01 10:35,-95.8284,32.1638,57.20,57.20,100.00,120.00,6.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 011035Z AUTO 12006KT 10SM CLR 14/14 A2986 RMK AO2
F44,2017-04-01 10:55,-95.8284,32.1638,57.20,57.20,100.00,120.00,7.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 011055Z AUTO 12007KT 10SM CLR 14/14 A2987 RMK AO2
F44,2017-04-01 11:15,-95.8284,32.1638,57.20,57.20,100.00,130.00,7.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 011115Z AUTO 13007KT 10SM CLR 14/14 A2987 RMK AO2
F44,2017-04-01 11:35,-95.8284,32.1638,57.20,57.20,100.00,140.00,7.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KF44 011135Z AUTO 14007KT 10SM CLR 14/14 A2987 RMK AO2
