#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FAR,2017-04-01 00:00,-96.8111,46.9253,M,M,M,10.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010000Z AUTO 01006KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:05,-96.8111,46.9253,M,M,M,10.00,7.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010005Z AUTO 01007KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:10,-96.8111,46.9253,M,M,M,10.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010010Z AUTO 01006KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:15,-96.8111,46.9253,M,M,M,10.00,5.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010015Z AUTO 01005KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:20,-96.8111,46.9253,M,M,M,10.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010020Z AUTO 01006KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:25,-96.8111,46.9253,M,M,M,10.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010025Z AUTO 01006KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:30,-96.8111,46.9253,M,M,M,10.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010030Z AUTO 01006KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:35,-96.8111,46.9253,M,M,M,360.00,7.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010035Z AUTO 36007KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:40,-96.8111,46.9253,M,M,M,350.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010040Z AUTO 35006KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:45,-96.8111,46.9253,M,M,M,360.00,7.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010045Z AUTO 36007KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 00:50,-96.8111,46.9253,M,M,M,360.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010050Z AUTO 36006KT 10SM CLR A3008 RMK MADISHF
FAR,2017-04-01 00:53,-96.8111,46.9253,52.00,39.90,63.24,10.00,6.00,0.00,30.08,1019.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010053Z 01006KT 10SM CLR 11/04 A3008 RMK AO2 SLP196 T01110044
FAR,2017-04-01 00:55,-96.8111,46.9253,M,M,M,10.00,5.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010055Z AUTO 01005KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 01:00,-96.8111,46.9253,M,M,M,10.00,5.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010100Z AUTO 01005KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 01:05,-96.8111,46.9253,M,M,M,360.00,5.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010105Z AUTO 36005KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 01:10,-96.8111,46.9253,M,M,M,360.00,5.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010110Z AUTO 36005KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 01:15,-96.8111,46.9253,M,M,M,360.00,5.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010115Z AUTO 36005KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 01:20,-96.8111,46.9253,M,M,M,360.00,4.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010120Z AUTO 36004KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 01:25,-96.8111,46.9253,M,M,M,10.00,4.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010125Z AUTO 01004KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 01:30,-96.8111,46.9253,M,M,M,20.00,4.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010130Z AUTO 02004KT 10SM CLR A3009 RMK MADISHF
FAR,2017-04-01 01:35,-96.8111,46.9253,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010135Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
FAR,2017-04-01 01:40,-96.8111,46.9253,M,M,M,30.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010140Z AUTO 03003KT 10SM CLR A3010 RMK MADISHF
FAR,2017-04-01 01:45,-96.8111,46.9253,M,M,M,40.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010145Z AUTO 04003KT 10SM CLR A3010 RMK MADISHF
FAR,2017-04-01 01:50,-96.8111,46.9253,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010150Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
FAR,2017-04-01 01:53,-96.8111,46.9253,46.90,37.90,70.73,0.00,0.00,0.00,30.10,1020.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010153Z 00000KT 10SM CLR 08/03 A3010 RMK AO2 SLP200 T00830033
FAR,2017-04-01 01:55,-96.8111,46.9253,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010155Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
FAR,2017-04-01 02:00,-96.8111,46.9253,M,M,M,20.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010200Z AUTO 02003KT 10SM CLR A3010 RMK MADISHF
FAR,2017-04-01 02:05,-96.8111,46.9253,M,M,M,10.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010205Z AUTO 01003KT 10SM CLR A3010 RMK MADISHF
FAR,2017-04-01 02:10,-96.8111,46.9253,M,M,M,10.00,3.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010210Z AUTO 01003KT 10SM CLR A3011 RMK MADISHF
FAR,2017-04-01 02:15,-96.8111,46.9253,M,M,M,10.00,3.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010215Z AUTO 01003KT 10SM CLR A3011 RMK MADISHF
FAR,2017-04-01 02:20,-96.8111,46.9253,M,M,M,360.00,3.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010220Z AUTO 36003KT 10SM CLR A3011 RMK MADISHF
FAR,2017-04-01 02:25,-96.8111,46.9253,M,M,M,350.00,3.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFAR 010225Z AUTO 35003KT 10SM CLR A3011 RMK MADISHF
FAR,2017-04-01 02:30,-96.8111,46.9253,M,M,M,350.00,14.00,M,30.11,M,10.00,M,FEW,M,M,M,4900.00,M,M,M,M,KFAR 010230Z AUTO 35014KT 10SM FEW049 A3011 RMK MADISHF
FAR,2017-04-01 02:35,-96.8111,46.9253,M,M,M,360.00,12.00,M,30.13,M,10.00,M,SCT,M,M,M,4900.00,M,M,M,M,KFAR 010235Z AUTO 36012KT 10SM SCT049 A3013 RMK MADISHF
FAR,2017-04-01 02:40,-96.8111,46.9253,M,M,M,360.00,13.00,M,30.13,M,10.00,M,SCT,M,M,M,4900.00,M,M,M,M,KFAR 010240Z AUTO 36013KT 10SM SCT049 A3013 RMK MADISHF
