#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FCI,2017-04-01 00:00,-77.5248,37.4064,M,M,M,310.00,6.00,M,29.65,M,10.00,M,FEW,OVC,M,M,600.00,9500.00,M,M,M,KFCI 010000Z AUTO 31006KT 10SM FEW006 OVC095 A2965 RMK MADISHF
FCI,2017-04-01 00:05,-77.5248,37.4064,M,M,M,320.00,4.00,M,29.64,M,10.00,M,SCT,OVC,M,M,600.00,9500.00,M,M,M,KFCI 010005Z AUTO 32004KT 10SM SCT006 OVC095 A2964 RMK MADISHF
FCI,2017-04-01 00:10,-77.5248,37.4064,M,M,M,310.00,5.00,M,29.65,M,10.00,M,BKN,OVC,M,M,600.00,9500.00,M,M,M,KFCI 010010Z AUTO 31005KT 10SM BKN006 OVC095 A2965 RMK MADISHF
FCI,2017-04-01 00:15,-77.5248,37.4064,M,M,M,290.00,5.00,M,29.65,M,10.00,M,BKN,OVC,M,M,600.00,9500.00,M,M,M,KFCI 010015Z AUTO 29005KT 10SM BKN006 OVC095 A2965 RMK MADISHF
FCI,2017-04-01 00:20,-77.5248,37.4064,M,M,M,280.00,4.00,M,29.66,M,10.00,M,BKN,OVC,M,M,600.00,9500.00,M,M,M,KFCI 010020Z AUTO 28004KT 10SM BKN006 OVC095 A2966 RMK MADISHF
FCI,2017-04-01 00:25,-77.5248,37.4064,M,M,M,270.00,5.00,M,29.67,M,10.00,M,BKN,BKN,OVC,M,600.00,6000.00,9500.00,M,M,KFCI 010025Z AUTO 27005KT 10SM BKN006 BKN060 OVC095 A2967 RMK MADISHF
FCI,2017-04-01 00:30,-77.5248,37.4064,M,M,M,270.00,4.00,M,29.67,M,10.00,M,SCT,OVC,M,M,600.00,6000.00,M,M,M,KFCI 010030Z AUTO 27004KT 10SM SCT006 OVC060 A2967 RMK MADISHF
FCI,2017-04-01 00:35,-77.5248,37.4064,M,M,M,270.00,5.00,M,29.67,M,10.00,M,SCT,OVC,M,M,600.00,6000.00,M,M,M,KFCI 010035Z AUTO 27005KT 10SM SCT006 OVC060 A2967 RMK MADISHF
FCI,2017-04-01 00:40,-77.5248,37.4064,M,M,M,290.00,6.00,M,29.66,M,10.00,M,FEW,OVC,M,M,800.00,6000.00,M,M,M,KFCI 010040Z AUTO 29006KT 10SM FEW008 OVC060 A2966 RMK MADISHF
FCI,2017-04-01 00:45,-77.5248,37.4064,M,M,M,300.00,5.00,M,29.67,M,10.00,M,FEW,BKN,OVC,M,800.00,6000.00,7000.00,M,M,KFCI 010045Z AUTO 30005KT 10SM FEW008 BKN060 OVC070 A2967 RMK MADISHF
FCI,2017-04-01 00:50,-77.5248,37.4064,M,M,M,310.00,5.00,M,29.66,M,10.00,M,BKN,OVC,M,M,6000.00,7000.00,M,M,M,KFCI 010050Z AUTO 31005KT 10SM BKN060 OVC070 A2966 RMK MADISHF
FCI,2017-04-01 00:55,-77.5248,37.4064,M,M,M,320.00,6.00,M,29.66,M,10.00,M,SCT,BKN,OVC,M,6000.00,7000.00,10000.00,M,M,KFCI 010055Z AUTO 32006KT 10SM SCT060 BKN070 OVC100 A2966 RMK MADISHF
FCI,2017-04-01 01:00,-77.5248,37.4064,M,M,M,330.00,6.00,M,29.66,M,10.00,M,SCT,BKN,OVC,M,6000.00,7000.00,9000.00,M,M,KFCI 010100Z AUTO 33006KT 10SM SCT060 BKN070 OVC090 A2966 RMK MADISHF
FCI,2017-04-01 01:05,-77.5248,37.4064,M,M,M,320.00,5.00,M,29.66,M,10.00,M,FEW,SCT,OVC,M,6000.00,7000.00,9000.00,M,M,KFCI 010105Z AUTO 32005KT 10SM FEW060 SCT070 OVC090 A2966 RMK MADISHF
FCI,2017-04-01 01:10,-77.5248,37.4064,M,M,M,310.00,6.00,M,29.67,M,10.00,M,FEW,BKN,M,M,7000.00,9000.00,M,M,M,KFCI 010110Z AUTO 31006KT 10SM FEW070 BKN090 A2967 RMK MADISHF
FCI,2017-04-01 01:15,-77.5248,37.4064,M,M,M,300.00,6.00,M,29.67,M,10.00,M,FEW,BKN,M,M,7000.00,9000.00,M,M,M,KFCI 010115Z AUTO 30006KT 10SM FEW070 BKN090 A2967 RMK MADISHF
FCI,2017-04-01 01:20,-77.5248,37.4064,M,M,M,270.00,5.00,M,29.68,M,10.00,M,SCT,M,M,M,9000.00,M,M,M,M,KFCI 010120Z AUTO 27005KT 10SM SCT090 A2968 RMK MADISHF
FCI,2017-04-01 01:25,-77.5248,37.4064,M,M,M,270.00,4.00,M,29.68,M,10.00,M,SCT,M,M,M,9000.00,M,M,M,M,KFCI 010125Z AUTO 27004KT 10SM SCT090 A2968 RMK MADISHF
FCI,2017-04-01 01:30,-77.5248,37.4064,M,M,M,270.00,3.00,M,29.68,M,10.00,M,FEW,M,M,M,9000.00,M,M,M,M,KFCI 010130Z AUTO 27003KT 10SM FEW090 A2968 RMK MADISHF
FCI,2017-04-01 01:35,-77.5248,37.4064,M,M,M,280.00,4.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010135Z AUTO 28004KT 10SM CLR A2968 RMK MADISHF
FCI,2017-04-01 01:40,-77.5248,37.4064,M,M,M,310.00,4.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010140Z AUTO 31004KT 10SM CLR A2968 RMK MADISHF
FCI,2017-04-01 01:45,-77.5248,37.4064,M,M,M,330.00,4.00,M,29.67,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KFCI 010145Z AUTO 33004KT 10SM FEW120 A2967 RMK MADISHF
FCI,2017-04-01 01:50,-77.5248,37.4064,M,M,M,310.00,6.00,M,29.67,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KFCI 010150Z AUTO 31006KT 10SM SCT120 A2967 RMK MADISHF
FCI,2017-04-01 01:55,-77.5248,37.4064,M,M,M,300.00,5.00,M,29.68,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KFCI 010155Z AUTO 30005KT 10SM SCT120 A2968 RMK MADISHF
FCI,2017-04-01 02:00,-77.5248,37.4064,M,M,M,290.00,5.00,M,29.68,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KFCI 010200Z AUTO 29005KT 10SM FEW120 A2968 RMK MADISHF
FCI,2017-04-01 02:05,-77.5248,37.4064,M,M,M,290.00,6.00,M,29.68,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KFCI 010205Z AUTO 29006KT 10SM FEW120 A2968 RMK MADISHF
FCI,2017-04-01 02:10,-77.5248,37.4064,M,M,M,310.00,5.00,M,29.67,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KFCI 010210Z AUTO 31005KT 10SM FEW120 A2967 RMK MADISHF
FCI,2017-04-01 02:15,-77.5248,37.4064,M,M,M,300.00,6.00,M,29.68,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KFCI 010215Z AUTO 30006KT 10SM FEW120 A2968 RMK MADISHF
FCI,2017-04-01 02:20,-77.5248,37.4064,M,M,M,270.00,4.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010220Z AUTO 27004KT 10SM CLR A2968 RMK MADISHF
FCI,2017-04-01 02:25,-77.5248,37.4064,M,M,M,270.00,5.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010225Z AUTO 27005KT 10SM CLR A2968 RMK MADISHF
FCI,2017-04-01 02:30,-77.5248,37.4064,M,M,M,260.00,4.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010230Z AUTO 26004KT 10SM CLR A2969 RMK MADISHF
FCI,2017-04-01 02:35,-77.5248,37.4064,M,M,M,270.00,3.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010235Z AUTO 27003KT 10SM CLR A2969 RMK MADISHF
FCI,2017-04-01 02:40,-77.5248,37.4064,M,M,M,270.00,4.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010240Z AUTO 27004KT 10SM CLR A2969 RMK MADISHF
FCI,2017-04-01 02:45,-77.5248,37.4064,M,M,M,270.00,5.00,M,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010245Z AUTO 27005KT 10SM CLR A2970 RMK MADISHF
FCI,2017-04-01 02:55,-77.5248,37.4064,M,M,M,280.00,6.00,0.00,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010255Z AUTO 28006KT 10SM CLR A2970 RMK AO1 52020
FCI,2017-04-01 03:00,-77.5248,37.4064,M,M,M,270.00,4.00,M,29.70,M,10.00,M,FEW,M,M,M,800.00,M,M,M,M,KFCI 010300Z AUTO 27004KT 10SM FEW008 A2970 RMK MADISHF
FCI,2017-04-01 03:05,-77.5248,37.4064,M,M,M,280.00,5.00,M,29.69,M,10.00,M,FEW,FEW,M,M,800.00,12000.00,M,M,M,KFCI 010305Z AUTO 28005KT 10SM FEW008 FEW120 A2969 RMK MADISHF
FCI,2017-04-01 03:15,-77.5248,37.4064,M,M,M,280.00,5.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010315Z AUTO 28005KT 10SM CLR A2969 RMK MADISHF
FCI,2017-04-01 03:20,-77.5248,37.4064,M,M,M,290.00,4.00,M,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010320Z AUTO 29004KT 10SM CLR A2969 RMK MADISHF
FCI,2017-04-01 03:25,-77.5248,37.4064,M,M,M,270.00,4.00,M,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010325Z AUTO 27004KT 10SM CLR A2970 RMK MADISHF
FCI,2017-04-01 03:35,-77.5248,37.4064,M,M,M,250.00,3.00,M,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010335Z AUTO 25003KT 10SM CLR A2970 RMK MADISHF
FCI,2017-04-01 03:45,-77.5248,37.4064,M,M,M,0.00,0.00,M,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010345Z AUTO 00000KT 10SM CLR A2970 RMK MADISHF
FCI,2017-04-01 03:55,-77.5248,37.4064,M,M,M,0.00,0.00,M,29.70,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KFCI 010355Z AUTO 00000KT 10SM SCT120 A2970 RMK MADISHF
FCI,2017-04-01 04:05,-77.5248,37.4064,M,M,M,240.00,3.00,M,29.70,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KFCI 010405Z AUTO 24003KT 10SM SCT110 A2970 RMK MADISHF
FCI,2017-04-01 04:15,-77.5248,37.4064,M,M,M,0.00,0.00,M,29.71,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KFCI 010415Z AUTO 00000KT 10SM SCT110 A2971 RMK MADISHF
FCI,2017-04-01 04:24,-77.5248,37.4064,M,M,M,0.00,0.00,0.00,29.71,M,2.50,M,FEW,M,M,M,11000.00,M,M,M,M,KFCI 010424Z AUTO 00000KT 2 1/2SM FEW110 A2971 RMK AO1
FCI,2017-04-01 04:25,-77.5248,37.4064,M,M,M,0.00,0.00,M,29.71,M,1.25,M,SCT,M,M,M,11000.00,M,M,M,M,KFCI 010425Z AUTO 00000KT 1 1/2SM SCT110 A2971 RMK MADISHF
FCI,2017-04-01 04:36,-77.5248,37.4064,M,M,M,0.00,0.00,0.00,29.71,M,2.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010436Z AUTO 00000KT 2SM CLR A2971 RMK AO1
FCI,2017-04-01 04:39,-77.5248,37.4064,M,M,M,0.00,0.00,0.00,29.71,M,1.75,M,CLR,M,M,M,M,M,M,M,M,KFCI 010439Z AUTO 00000KT 1 3/4SM CLR A2971 RMK AO1 VIS 1 1/4V5
FCI,2017-04-01 04:40,-77.5248,37.4064,M,M,M,0.00,0.00,M,29.71,M,1.75,M,CLR,M,M,M,M,M,M,M,M,KFCI 010440Z AUTO 00000KT 2SM CLR A2971 RMK VSBY 125V200  MADISHF
FCI,2017-04-01 04:47,-77.5248,37.4064,M,M,M,0.00,0.00,0.00,29.71,M,0.75,M,VV ,M,M,M,500.00,M,M,M,M,KFCI 010447Z AUTO 00000KT 3/4SM VV005 A2971 RMK AO1
FCI,2017-04-01 04:50,-77.5248,37.4064,M,M,M,0.00,0.00,M,29.71,M,0.75,M,VV ,M,M,M,499.00,M,M,M,M,KFCI 010450Z AUTO 00000KT 1SM VV004 A2971 RMK MADISHF
FCI,2017-04-01 04:55,-77.5248,37.4064,M,M,M,0.00,0.00,M,29.71,M,0.50,M,VV ,M,M,M,499.00,M,M,M,M,KFCI 010455Z AUTO 00000KT 1/2SM VV004 A2971 RMK MADISHF
FCI,2017-04-01 05:00,-77.5248,37.4064,M,M,M,0.00,0.00,M,29.71,M,1.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010500Z AUTO 00000KT 1SM CLR A2971 RMK MADISHF
FCI,2017-04-01 05:03,-77.5248,37.4064,M,M,M,M,M,0.00,M,M,3.00,M,CLR,M,M,M,M,M,M,M,M,KFCI 010503Z AUTO 3SM CLR RMK AO1
FCI,2017-04-01 05:10,-77.5248,37.4064,M,M,M,250.00,4.00,M,29.71,M,10.00,M,FEW,M,M,M,7999.00,M,M,M,M,KFCI 010510Z AUTO 25004KT 10SM FEW079 A2971 RMK MADISHF
FCI,2017-04-01 05:20,-77.5248,37.4064,M,M,M,260.00,4.00,M,29.71,M,10.00,M,BKN,M,M,M,7999.00,M,M,M,M,KFCI 010520Z AUTO 26004KT 10SM BKN079 A2971 RMK MADISHF
FCI,2017-04-01 05:30,-77.5248,37.4064,M,M,M,260.00,6.00,M,29.71,M,10.00,M,BKN,M,M,M,7999.00,M,M,M,M,KFCI 010530Z AUTO 26006KT 10SM BKN079 A2971 RMK MADISHF
FCI,2017-04-01 05:40,-77.5248,37.4064,M,M,M,270.00,6.00,M,29.72,M,10.00,M,BKN,M,M,M,7999.00,M,M,M,M,KFCI 010540Z AUTO 27006KT 10SM BKN079 A2972 RMK MADISHF
FCI,2017-04-01 05:50,-77.5248,37.4064,M,M,M,270.00,6.00,M,29.71,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KFCI 010550Z AUTO 27006KT 10SM OVC079 A2971 RMK MADISHF
