#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FDK,2017-04-01 02:15,-77.3743,39.4176,46.40,46.40,100.00,0.00,0.00,0.00,29.70,M,7.00,M,OVC,M,M,M,900.00,M,M,M,M,KFDK 010215Z AUTO 00000KT 7SM OVC009 08/08 A2970 RMK AO2
FDK,2017-04-01 02:35,-77.3743,39.4176,46.40,46.40,100.00,360.00,4.00,0.00,29.69,M,7.00,M,SCT,OVC,M,M,900.00,11000.00,M,M,M,KFDK 010235Z AUTO 36004KT 7SM SCT009 OVC110 08/08 A2969 RMK AO2 LTG DSNT E AND SE
FDK,2017-04-01 02:55,-77.3743,39.4176,44.60,44.60,100.00,360.00,3.00,0.00,29.69,M,5.00,M,OVC,M,M,M,11000.00,M,M,M,BR,KFDK 010255Z AUTO 36003KT 5SM BR OVC110 07/07 A2969 RMK AO2 LTG DSNT E
FDK,2017-04-01 03:15,-77.3743,39.4176,44.60,44.60,100.00,0.00,0.00,0.00,29.69,M,5.00,M,BKN,M,M,M,12000.00,M,M,M,BR,KFDK 010315Z AUTO 00000KT 5SM BR BKN120 07/07 A2969 RMK AO2 LTG DSNT E
FDK,2017-04-01 03:35,-77.3743,39.4176,44.60,44.60,100.00,0.00,0.00,0.00,29.69,M,4.00,M,BKN,BKN,M,M,3600.00,12000.00,M,M,BR,KFDK 010335Z AUTO 00000KT 4SM BR BKN036 BKN120 07/07 A2969 RMK AO2 LTG DSNT E
FDK,2017-04-01 03:55,-77.3743,39.4176,44.60,44.60,100.00,360.00,3.00,0.00,29.69,M,4.00,M,OVC,M,M,M,3600.00,M,M,M,BR,KFDK 010355Z AUTO 36003KT 4SM BR OVC036 07/07 A2969 RMK AO2 LTG DSNT E AND SE
FDK,2017-04-01 04:15,-77.3743,39.4176,44.60,44.60,100.00,0.00,0.00,0.00,29.70,M,4.00,M,SCT,OVC,M,M,3400.00,6500.00,M,M,BR,KFDK 010415Z AUTO 00000KT 4SM BR SCT034 OVC065 07/07 A2970 RMK AO2 LTG DSNT E AND SE
FDK,2017-04-01 04:35,-77.3743,39.4176,44.60,44.60,100.00,0.00,0.00,0.00,29.70,M,3.00,M,SCT,OVC,M,M,1500.00,6500.00,M,M,BR,KFDK 010435Z AUTO 00000KT 3SM BR SCT015 OVC065 07/07 A2970 RMK AO2 LTG DSNT E
FDK,2017-04-01 04:55,-77.3743,39.4176,44.60,44.60,100.00,350.00,3.00,0.00,29.71,M,4.00,M,SCT,OVC,M,M,700.00,1500.00,M,M,BR,KFDK 010455Z AUTO 35003KT 4SM BR SCT007 OVC015 07/07 A2971 RMK AO2 LTG DSNT E AND SE
FDK,2017-04-01 05:15,-77.3743,39.4176,44.60,44.60,100.00,0.00,0.00,0.00,29.71,M,3.00,M,BKN,OVC,M,M,700.00,1700.00,M,M,BR,KFDK 010515Z AUTO 00000KT 3SM BR BKN007 OVC017 07/07 A2971 RMK AO2 LTG DSNT SE
