#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FEW,2017-04-01 00:03,-104.8672,41.1333,32.00,32.00,100.00,90.00,10.00,0.00,30.01,M,2.00,M,BKN,M,M,M,400.00,M,M,M,-FZDZ BR,KFEW 010003Z AUTO 09010KT 2SM -FZDZ BR BKN004 00/00 A3001 RMK AO2 $
FEW,2017-04-01 00:08,-104.8672,41.1333,32.00,32.00,100.00,80.00,7.00,0.00,30.01,M,1.75,M,OVC,M,M,M,400.00,M,M,M,-FZDZ BR,KFEW 010008Z AUTO 08007KT 1 3/4SM -FZDZ BR OVC004 00/00 A3001 RMK AO2 OVC V BKN $
FEW,2017-04-01 00:28,-104.8672,41.1333,32.00,32.00,100.00,80.00,10.00,0.00,30.01,M,1.62,M,OVC,M,M,M,400.00,M,M,M,-PL BR,KFEW 010028Z AUTO 08010KT 1 5/8SM -PL BR OVC004 00/00 A3001 RMK AO2 FZDZE28 $
FEW,2017-04-01 00:38,-104.8672,41.1333,32.00,32.00,100.00,80.00,10.00,0.00,30.02,M,2.25,M,OVC,M,M,M,400.00,M,M,M,-SN BR,KFEW 010038Z AUTO 08010KT 2 1/4SM -SN BR OVC004 00/00 A3002 RMK AO2 VIS 1 1/2V2 1/4 FZDZE28SNB35 $
FEW,2017-04-01 00:43,-104.8672,41.1333,32.00,32.00,100.00,90.00,7.00,0.00,30.02,M,4.00,M,OVC,M,M,M,400.00,M,M,M,-SN,KFEW 010043Z AUTO 09007KT 4SM -SN OVC004 00/00 A3002 RMK AO2 FZDZE28SNB35 $
FEW,2017-04-01 00:53,-104.8672,41.1333,32.00,32.00,100.00,80.00,9.00,0.00,30.02,M,3.00,M,OVC,M,M,M,500.00,M,M,M,-SN,KFEW 010053Z AUTO 08009KT 3SM -SN OVC005 00/00 A3002 RMK AO2 FZDZE28SNB35 $
FEW,2017-04-01 00:58,-104.8672,41.1333,31.50,31.50,100.00,90.00,7.00,0.02,30.03,1018.50,2.00,M,OVC,M,M,M,400.00,M,M,M,-SN,KFEW 010058Z AUTO 09007KT 2SM -SN OVC004 00/00 A3003 RMK AO2 VIS 2V4 FZDZE28SNB35 SLP185 P0002 T10031003 $
FEW,2017-04-01 01:03,-104.8672,41.1333,32.00,32.00,100.00,90.00,8.00,0.00,30.03,M,1.75,M,OVC,M,M,M,400.00,M,M,M,-SN BR,KFEW 010103Z AUTO 09008KT 1 3/4SM -SN BR OVC004 00/00 A3003 RMK AO2 VIS 1 3/4V3 $
FEW,2017-04-01 01:08,-104.8672,41.1333,32.00,32.00,100.00,90.00,11.00,0.00,30.03,M,2.50,M,OVC,M,M,M,400.00,M,M,M,-SN BR,KFEW 010108Z AUTO 09011KT 2 1/2SM -SN BR OVC004 00/00 A3003 RMK AO2 VIS 1 3/4V2 1/2 $
FEW,2017-04-01 01:13,-104.8672,41.1333,32.00,32.00,100.00,100.00,9.00,0.00,30.03,M,4.00,M,OVC,M,M,M,400.00,M,M,M,-SN,KFEW 010113Z AUTO 10009KT 4SM -SN OVC004 00/00 A3003 RMK AO2 $
