#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FFT,2017-04-01 00:00,-84.9033,38.1847,M,M,M,260.00,5.00,M,29.87,M,10.00,M,SCT,OVC,M,M,1699.00,2500.00,M,M,M,KFFT 010000Z AUTO 26005KT 10SM SCT016 OVC025 A2987 RMK MADISHF
FFT,2017-04-01 00:05,-84.9033,38.1847,M,M,M,280.00,6.00,M,29.87,M,10.00,M,BKN,OVC,M,M,1699.00,2500.00,M,M,M,KFFT 010005Z AUTO 28006KT 10SM BKN016 OVC025 A2987 RMK MADISHF
FFT,2017-04-01 00:10,-84.9033,38.1847,M,M,M,270.00,4.00,M,29.87,M,10.00,M,BKN,OVC,M,M,1699.00,2400.00,M,M,M,KFFT 010010Z AUTO 27004KT 10SM BKN016 OVC024 A2987 RMK MADISHF
FFT,2017-04-01 00:15,-84.9033,38.1847,M,M,M,280.00,7.00,M,29.88,M,10.00,M,BKN,OVC,M,M,1699.00,2300.00,M,M,M,KFFT 010015Z AUTO 28007KT 10SM BKN016 OVC023 A2988 RMK MADISHF
FFT,2017-04-01 00:20,-84.9033,38.1847,M,M,M,280.00,7.00,M,29.88,M,10.00,M,BKN,OVC,M,M,1699.00,2600.00,M,M,M,KFFT 010020Z AUTO 28007KT 10SM BKN016 OVC026 A2988 RMK MADISHF
FFT,2017-04-01 00:25,-84.9033,38.1847,M,M,M,280.00,6.00,M,29.88,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KFFT 010025Z AUTO 28006KT 10SM OVC016 A2988 RMK MADISHF
FFT,2017-04-01 00:30,-84.9033,38.1847,M,M,M,280.00,5.00,M,29.88,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KFFT 010030Z AUTO 28005KT 10SM OVC016 A2988 RMK MADISHF
FFT,2017-04-01 00:35,-84.9033,38.1847,M,M,M,280.00,7.00,M,29.88,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KFFT 010035Z AUTO 28007KT 10SM OVC016 A2988 RMK MADISHF
FFT,2017-04-01 00:40,-84.9033,38.1847,M,M,M,290.00,6.00,M,29.89,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KFFT 010040Z AUTO 29006KT 10SM OVC016 A2989 RMK MADISHF
FFT,2017-04-01 00:45,-84.9033,38.1847,M,M,M,290.00,7.00,M,29.89,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KFFT 010045Z AUTO 29007KT 10SM OVC016 A2989 RMK MADISHF
