#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FGX,2017-04-01 00:15,-83.7434,38.5418,52.70,48.20,84.61,280.00,8.00,0.00,29.83,M,10.00,M,BKN,OVC,M,M,2400.00,3000.00,M,M,M,KFGX 010015Z AUTO 28008KT 10SM BKN024 OVC030 12/09 A2983 RMK AO2 T01150090
FGX,2017-04-01 00:35,-83.7434,38.5418,53.10,46.80,79.10,290.00,11.00,0.00,29.85,M,10.00,17.00,OVC,M,M,M,2200.00,M,M,M,M,KFGX 010035Z AUTO 29011G17KT 10SM OVC022 12/08 A2985 RMK AO2 T01170082
FGX,2017-04-01 00:55,-83.7434,38.5418,50.90,46.80,85.79,290.00,13.00,0.00,29.87,M,10.00,26.00,SCT,OVC,M,M,1600.00,2000.00,M,M,M,KFGX 010055Z AUTO 29013G26KT 10SM SCT016 OVC020 11/08 A2987 RMK AO2 T01050082
FGX,2017-04-01 01:15,-83.7434,38.5418,49.50,47.10,91.40,290.00,11.00,0.00,29.88,M,10.00,19.00,BKN,BKN,OVC,M,1100.00,2000.00,2400.00,M,M,KFGX 010115Z AUTO 29011G19KT 10SM BKN011 BKN020 OVC024 10/08 A2988 RMK AO2 T00970084
FGX,2017-04-01 01:35,-83.7434,38.5418,48.70,47.30,94.88,300.00,12.00,0.00,29.89,M,10.00,18.00,BKN,BKN,OVC,M,900.00,1500.00,2000.00,M,M,KFGX 010135Z AUTO 30012G18KT 10SM BKN009 BKN015 OVC020 09/09 A2989 RMK AO2 T00930085
FGX,2017-04-01 01:55,-83.7434,38.5418,48.90,46.80,92.42,300.00,13.00,0.00,29.90,M,10.00,16.00,BKN,OVC,M,M,900.00,1500.00,M,M,M,KFGX 010155Z AUTO 30013G16KT 10SM BKN009 OVC015 09/08 A2990 RMK AO2 T00940082
FGX,2017-04-01 02:15,-83.7434,38.5418,48.60,46.90,93.81,310.00,9.00,0.00,29.90,M,10.00,14.00,OVC,M,M,M,700.00,M,M,M,M,KFGX 010215Z AUTO 31009G14KT 10SM OVC007 09/08 A2990 RMK AO2 T00920083
FGX,2017-04-01 02:35,-83.7434,38.5418,48.20,46.40,93.45,310.00,9.00,0.00,29.91,M,10.00,17.00,OVC,M,M,M,700.00,M,M,M,M,KFGX 010235Z AUTO 31009G17KT 10SM OVC007 09/08 A2991 RMK AO2 T00900080
FGX,2017-04-01 02:55,-83.7434,38.5418,47.80,45.70,92.38,310.00,9.00,0.00,29.92,M,10.00,14.00,OVC,M,M,M,900.00,M,M,M,M,KFGX 010255Z AUTO 31009G14KT 10SM OVC009 09/08 A2992 RMK AO2 T00880076
FGX,2017-04-01 03:15,-83.7434,38.5418,46.60,44.40,91.99,310.00,13.00,0.00,29.92,M,10.00,16.00,OVC,M,M,M,900.00,M,M,M,M,KFGX 010315Z AUTO 31013G16KT 10SM OVC009 08/07 A2992 RMK AO2 T00810069
FGX,2017-04-01 03:35,-83.7434,38.5418,46.40,43.20,88.53,300.00,10.00,0.00,29.93,M,10.00,15.00,SCT,OVC,M,M,900.00,1300.00,M,M,M,KFGX 010335Z AUTO 30010G15KT 10SM SCT009 OVC013 08/06 A2993 RMK AO2 T00800062
FGX,2017-04-01 03:55,-83.7434,38.5418,46.00,42.80,88.51,310.00,9.00,0.00,29.93,M,10.00,15.00,BKN,OVC,M,M,1100.00,1600.00,M,M,M,KFGX 010355Z AUTO 31009G15KT 10SM BKN011 OVC016 08/06 A2993 RMK AO2 T00780060
FGX,2017-04-01 04:15,-83.7434,38.5418,45.50,42.40,88.83,300.00,9.00,0.00,29.95,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KFGX 010415Z AUTO 30009KT 10SM OVC011 08/06 A2995 RMK AO2 T00750058
FGX,2017-04-01 04:35,-83.7434,38.5418,45.50,41.90,87.14,300.00,9.00,0.00,29.95,M,10.00,17.00,OVC,M,M,M,1100.00,M,M,M,M,KFGX 010435Z AUTO 30009G17KT 10SM OVC011 08/06 A2995 RMK AO2 T00750055
FGX,2017-04-01 04:55,-83.7434,38.5418,44.60,41.50,88.79,320.00,11.00,0.00,29.96,M,10.00,M,BKN,OVC,M,M,1100.00,1400.00,M,M,M,KFGX 010455Z AUTO 32011KT 10SM BKN011 OVC014 07/05 A2996 RMK AO2 T00700053
FGX,2017-04-01 05:15,-83.7434,38.5418,44.40,41.90,90.86,300.00,10.00,0.00,29.97,M,10.00,14.00,OVC,M,M,M,900.00,M,M,M,M,KFGX 010515Z AUTO 30010G14KT 10SM OVC009 07/06 A2997 RMK AO2 T00690055
FGX,2017-04-01 05:35,-83.7434,38.5418,44.20,41.50,90.15,300.00,9.00,0.00,29.97,M,10.00,15.00,OVC,M,M,M,900.00,M,M,M,M,KFGX 010535Z AUTO 30009G15KT 10SM OVC009 07/05 A2997 RMK AO2 T00680053
FGX,2017-04-01 05:55,-83.7434,38.5418,44.10,41.00,88.77,300.00,10.00,0.00,29.98,M,10.00,15.00,OVC,M,M,M,1100.00,M,M,M,M,KFGX 010555Z AUTO 30010G15KT 10SM OVC011 07/05 A2998 RMK AO2 T00670050 10117 20067 401420067
FGX,2017-04-01 06:15,-83.7434,38.5418,43.70,40.30,87.72,300.00,9.00,0.00,29.98,M,10.00,20.00,OVC,M,M,M,1100.00,M,M,M,M,KFGX 010615Z AUTO 30009G20KT 10SM OVC011 07/05 A2998 RMK AO2 T00650046
FGX,2017-04-01 06:35,-83.7434,38.5418,43.20,40.30,89.42,320.00,9.00,0.00,29.99,M,10.00,16.00,OVC,M,M,M,1100.00,M,M,M,M,KFGX 010635Z AUTO 32009G16KT 10SM OVC011 06/05 A2999 RMK AO2 T00620046
FGX,2017-04-01 06:55,-83.7434,38.5418,43.00,40.60,91.16,310.00,10.00,0.00,29.99,M,10.00,14.00,OVC,M,M,M,700.00,M,M,M,M,KFGX 010655Z AUTO 31010G14KT 10SM OVC007 06/05 A2999 RMK AO2 T00610048
FGX,2017-04-01 07:15,-83.7434,38.5418,42.80,40.50,91.51,300.00,10.00,0.00,30.00,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KFGX 010715Z AUTO 30010KT 10SM OVC007 06/05 A3000 RMK AO2 T00600047
FGX,2017-04-01 07:35,-83.7434,38.5418,42.30,40.10,91.84,290.00,11.00,0.00,30.01,M,10.00,18.00,OVC,M,M,M,700.00,M,M,M,M,KFGX 010735Z AUTO 29011G18KT 10SM OVC007 06/05 A3001 RMK AO2 T00570045
