#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FIG,2017-04-01 00:00,-78.4117,41.0467,M,M,M,30.00,3.00,M,29.65,M,10.00,M,OVC,M,M,M,999.00,M,M,M,-RA,KFIG 010000Z AUTO 03003KT 10SM -RA OVC009 A2965 RMK MADISHF
FIG,2017-04-01 00:05,-78.4117,41.0467,M,M,M,40.00,3.00,M,29.65,M,10.00,M,OVC,M,M,M,999.00,M,M,M,-RA,KFIG 010005Z AUTO 04003KT 10SM -RA OVC009 A2965 RMK MADISHF
FIG,2017-04-01 00:10,-78.4117,41.0467,M,M,M,30.00,3.00,M,29.65,M,10.00,M,OVC,M,M,M,999.00,M,M,M,-RA,KFIG 010010Z AUTO 03003KT 10SM -RA OVC009 A2965 RMK MADISHF
FIG,2017-04-01 00:15,-78.4117,41.0467,M,M,M,20.00,4.00,M,29.65,M,10.00,M,OVC,M,M,M,999.00,M,M,M,-RA,KFIG 010015Z AUTO 02004KT 10SM -RA OVC009 A2965 RMK MADISHF
FIG,2017-04-01 00:20,-78.4117,41.0467,M,M,M,30.00,3.00,M,29.65,M,10.00,M,OVC,M,M,M,999.00,M,M,M,-RA,KFIG 010020Z AUTO 03003KT 10SM -RA OVC009 A2965 RMK MADISHF
FIG,2017-04-01 00:25,-78.4117,41.0467,M,M,M,30.00,3.00,M,29.65,M,6.00,M,OVC,M,M,M,900.00,M,M,M,-RA BR,KFIG 010025Z AUTO 03003KT 6SM -RA BR OVC009 A2965 RMK MADISHF
FIG,2017-04-01 00:28,-78.4117,41.0467,39.90,39.90,100.00,30.00,3.00,0.01,29.65,M,4.00,M,OVC,M,M,M,900.00,M,M,M,-RA BR,KFIG 010028Z AUTO 03003KT 4SM -RA BR OVC009 04/04 A2965 RMK AO2 P0001 T00440044
FIG,2017-04-01 00:30,-78.4117,41.0467,M,M,M,20.00,3.00,0.01,29.65,M,3.00,M,OVC,M,M,M,900.00,M,M,M,RA BR,KFIG 010030Z AUTO 02003KT 3SM RA BR OVC009 A2965 RMK P0001 MADISHF
FIG,2017-04-01 00:35,-78.4117,41.0467,M,M,M,20.00,4.00,0.02,29.66,M,2.50,M,OVC,M,M,M,900.00,M,M,M,RA BR,KFIG 010035Z AUTO 02004KT 2 1/2SM RA BR OVC009 A2966 RMK P0002 MADISHF
FIG,2017-04-01 00:38,-78.4117,41.0467,39.90,39.90,100.00,20.00,3.00,0.02,29.66,M,2.00,M,OVC,M,M,M,900.00,M,M,M,-RA BR,KFIG 010038Z AUTO 02003KT 2SM -RA BR OVC009 04/04 A2966 RMK AO2 P0002 T00440044
