#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FKR,2017-04-01 00:15,-86.5622,40.2734,41.40,38.10,87.95,320.00,8.00,0.00,29.94,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010015Z AUTO 32008KT 10SM OVC010 05/03 A2994 RMK AO2 T00520034
FKR,2017-04-01 00:35,-86.5622,40.2734,41.00,37.80,88.27,340.00,11.00,0.00,29.94,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010035Z AUTO 34011KT 10SM OVC010 05/03 A2994 RMK AO2 T00500032
FKR,2017-04-01 00:55,-86.5622,40.2734,41.00,37.80,88.27,330.00,8.00,0.00,29.95,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010055Z AUTO 33008KT 10SM OVC010 05/03 A2995 RMK AO2 T00500032
FKR,2017-04-01 01:15,-86.5622,40.2734,41.00,37.90,88.62,320.00,9.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010115Z AUTO 32009KT 10SM OVC010 05/03 A2996 RMK AO2 T00500033
FKR,2017-04-01 01:35,-86.5622,40.2734,41.00,38.10,89.32,330.00,8.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010135Z AUTO 33008KT 10SM OVC010 05/03 A2997 RMK AO2 T00500034
FKR,2017-04-01 01:55,-86.5622,40.2734,40.60,37.60,88.95,340.00,9.00,0.00,29.98,M,10.00,14.00,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010155Z AUTO 34009G14KT 10SM OVC010 05/03 A2998 RMK AO2 T00480031
FKR,2017-04-01 02:15,-86.5622,40.2734,40.60,37.40,88.25,340.00,7.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010215Z AUTO 34007KT 10SM OVC010 05/03 A2998 RMK AO2 T00480030
FKR,2017-04-01 02:35,-86.5622,40.2734,40.50,37.80,90.00,340.00,7.00,0.00,29.99,M,10.00,14.00,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010235Z AUTO 34007G14KT 10SM OVC010 05/03 A2999 RMK AO2 T00470032
FKR,2017-04-01 02:55,-86.5622,40.2734,40.50,37.40,88.59,340.00,12.00,0.00,29.99,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010255Z AUTO 34012KT 10SM OVC010 05/03 A2999 RMK AO2 T00470030
FKR,2017-04-01 03:15,-86.5622,40.2734,40.60,37.40,88.25,330.00,8.00,0.00,30.01,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010315Z AUTO 33008KT 10SM OVC010 05/03 A3001 RMK AO2 T00480030
FKR,2017-04-01 03:35,-86.5622,40.2734,40.50,37.40,88.59,350.00,9.00,0.00,30.01,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010335Z AUTO 35009KT 10SM OVC010 05/03 A3001 RMK AO2 T00470030
FKR,2017-04-01 03:55,-86.5622,40.2734,40.60,37.60,88.95,340.00,8.00,0.00,30.01,M,10.00,14.00,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010355Z AUTO 34008G14KT 10SM OVC010 05/03 A3001 RMK AO2 T00480031
FKR,2017-04-01 04:15,-86.5622,40.2734,40.60,37.60,88.95,350.00,10.00,0.00,30.01,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010415Z AUTO 35010KT 10SM OVC010 05/03 A3001 RMK AO2 T00480031
FKR,2017-04-01 04:35,-86.5622,40.2734,40.60,37.40,88.25,350.00,9.00,0.00,30.02,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFKR 010435Z AUTO 35009KT 10SM OVC010 05/03 A3002 RMK AO2 T00480030
FKR,2017-04-01 04:55,-86.5622,40.2734,40.60,37.90,90.00,340.00,9.00,0.00,30.03,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KFKR 010455Z AUTO 34009KT 10SM OVC008 05/03 A3003 RMK AO2 T00480033
