#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FLG,2017-04-01 00:00,-111.6722,35.1403,M,M,M,230.00,6.00,M,29.77,M,1.50,M,OVC,M,M,M,600.00,M,M,M,-SN BR,KFLG 010000Z AUTO 23006KT 1 1/2SM -SN BR OVC006 A2977 RMK MADISHF
FLG,2017-04-01 00:05,-111.6722,35.1403,M,M,M,220.00,7.00,M,29.77,M,2.00,M,BKN,OVC,M,M,600.00,1100.00,M,M,-SN BR,KFLG 010005Z AUTO 22007KT 2SM -SN BR BKN006 OVC011 A2977 RMK MADISHF
FLG,2017-04-01 00:07,-111.6722,35.1403,30.00,28.00,92.15,210.00,6.00,0.00,29.77,M,2.00,M,SCT,BKN,OVC,M,600.00,1100.00,3800.00,M,-SN BR,KFLG 010007Z 21006KT 2SM -SN BR SCT006 BKN011 OVC038 M01/M02 A2977 RMK AO2 P0000 T10111022
FLG,2017-04-01 00:10,-111.6722,35.1403,M,M,M,220.00,6.00,M,29.77,M,2.50,M,BKN,BKN,OVC,M,800.00,1699.00,3800.00,M,-SN BR,KFLG 010010Z AUTO 22006KT 2 1/2SM -SN BR BKN008 BKN016 OVC038 A2977 RMK MADISHF
FLG,2017-04-01 00:12,-111.6722,35.1403,30.00,28.00,92.15,220.00,6.00,0.00,29.78,M,3.00,M,SCT,BKN,OVC,M,800.00,2300.00,3800.00,M,-SN BR,KFLG 010012Z 22006KT 3SM -SN BR SCT008 BKN023 OVC038 M01/M02 A2978 RMK AO2 P0000 T10111022
FLG,2017-04-01 00:15,-111.6722,35.1403,M,M,M,210.00,7.00,M,29.78,M,3.50,M,SCT,BKN,OVC,M,800.00,3000.00,3999.00,M,-SN BR,KFLG 010015Z AUTO 21007KT 3SM -SN BR SCT008 BKN030 OVC039 A2978 RMK MADISHF
FLG,2017-04-01 00:20,-111.6722,35.1403,M,M,M,230.00,6.00,M,29.78,M,6.00,M,SCT,OVC,M,M,800.00,3999.00,M,M,-SN BR,KFLG 010020Z AUTO 23006KT 6SM -SN BR SCT008 OVC039 A2978 RMK MADISHF
FLG,2017-04-01 00:21,-111.6722,35.1403,30.00,27.00,88.44,230.00,6.00,0.00,29.78,M,6.00,M,SCT,OVC,M,M,800.00,4000.00,M,M,-SN BR,KFLG 010021Z 23006KT 6SM -SN BR SCT008 OVC040 M01/M03 A2978 RMK AO2 P0000 T10111028
FLG,2017-04-01 00:25,-111.6722,35.1403,M,M,M,220.00,6.00,M,29.78,M,6.00,M,FEW,OVC,M,M,800.00,4200.00,M,M,-SN BR,KFLG 010025Z AUTO 22006KT 6SM -SN BR FEW008 OVC042 A2978 RMK MADISHF
FLG,2017-04-01 00:30,-111.6722,35.1403,M,M,M,220.00,7.00,M,29.79,M,2.00,M,FEW,BKN,OVC,M,800.00,3000.00,4100.00,M,-SN BR,KFLG 010030Z AUTO 22007KT 2SM -SN BR FEW008 BKN030 OVC041 A2979 RMK MADISHF
